link_id,name,from_node_id,to_node_id,directed,geometry_id,geometry,parent_link_id,dir_flag,length,grade,facility_type,capacity,free_speed,lanes,bike_facility,ped_facility,parking,allowed_uses,jurisdiction,row_width
0,,1237,1200,1,0,,,1,102.0057759886227,,residential,,,,,,,,,
1,,1200,1237,1,0,,0,-1,102.0057759886227,,residential,,,,,,,,,
2,Vassal Lane,1198,1200,1,1,,,1,27.61356068078122,,residential,,25 mph,1,,,,,,12.2
3,River Street,150,183,1,2,,,1,73.44154603890892,,secondary,,25 mph,2,,,,,,15.5
4,Putnam Avenue,183,204,1,3,,3,-1,64.21758412362118,,tertiary,,,2,,,,,,15.2
5,Putnam Avenue,204,183,1,3,,,1,64.21758412362118,,tertiary,,,2,,,,,,15.2
6,Putnam Avenue,183,425,1,4,,4,-1,104.85796591103197,,tertiary,,,2,,,,,,15.2
7,Putnam Avenue,425,183,1,4,,,1,104.85796591103197,,tertiary,,,2,,,,,,15.2
8,Blackstone Street,150,419,1,5,,,1,129.26226046742218,,residential,,25 mph,2,,,,,,13.7
9,Blackstone Street,419,150,1,5,,5,-1,129.26226046742218,,residential,,25 mph,2,,,,,,13.7
10,,173,419,1,6,,,1,62.50338310420172,,residential,,25 mph,,,,,,,
11,,419,173,1,6,,6,-1,62.50338310420172,,residential,,25 mph,,,,,,,
12,Blackstone Street,288,419,1,7,,,1,143.10709005943335,,residential,,25 mph,2,,,,,,13.7
13,Blackstone Street,419,288,1,7,,7,-1,143.10709005943335,,residential,,25 mph,2,,,,,,13.7
14,Blackstone Street,419,288,1,8,,,1,143.10709005943335,,residential,,25 mph,2,,,,,,13.7
15,Blackstone Street,288,419,1,8,,8,-1,143.10709005943335,,residential,,25 mph,2,,,,,,13.7
16,Western Avenue,291,288,1,9,,,1,77.91786630125732,,secondary,,,4,,,,,,19.8
17,Blackstone Street,419,150,1,10,,,1,129.26226046742218,,residential,,25 mph,2,,,,,,13.7
18,Blackstone Street,150,419,1,10,,10,-1,129.26226046742218,,residential,,25 mph,2,,,,,,13.7
19,River Street,132,150,1,11,,,1,144.95469850341448,,secondary,,25 mph,2,,,,,,15.5
20,,173,419,1,12,,12,-1,62.50338310420172,,residential,,25 mph,,,,,,,
21,,419,173,1,12,,,1,62.50338310420172,,residential,,25 mph,,,,,,,
22,Larchwood Drive,1068,1021,1,13,,13,-1,33.52609928918142,,residential,,,2,,,,,,10.4
23,Larchwood Drive,1021,1068,1,13,,,1,33.52609928918142,,residential,,,2,,,,,,10.4
24,Larchwood Drive,1067,1068,1,14,,,1,62.9272127184213,,residential,,,2,,,,,,10.4
25,Larchwood Drive,1068,1067,1,14,,14,-1,62.9272127184213,,residential,,,2,,,,,,10.4
26,Fresh Pond Lane,1021,1052,1,16,,,1,65.09890543393644,,residential,,,2,,,,,,11.6
27,Fresh Pond Lane,1052,1021,1,16,,16,-1,65.09890543393644,,residential,,,2,,,,,,11.6
28,Fresh Pond Parkway,1073,1052,1,17,,,1,82.37779302127127,,primary,,,4,,,,,,15.2
29,Fresh Pond Parkway,1052,1073,1,17,,17,-1,82.37779302127127,,primary,,,4,,,,,,15.2
30,Fresh Pond Parkway,1052,1014,1,18,,18,-1,219.90603476264528,,primary,,,4,,,,,,15.2
31,Fresh Pond Parkway,1014,1052,1,18,,,1,219.90603476264528,,primary,,,4,,,,,,15.2
32,Fresh Pond Lane,1068,1021,1,19,,19,-1,32.33870589476865,,residential,,,2,,,,,,11.6
33,Fresh Pond Lane,1021,1068,1,19,,,1,32.33870589476865,,residential,,,2,,,,,,11.6
34,Fresh Pond Lane,1068,999,1,21,,21,-1,59.51488071025749,,residential,,,2,,,,,,11.6
35,Fresh Pond Lane,999,1068,1,21,,,1,59.51488071025749,,residential,,,2,,,,,,11.6
36,Waverly Street,34,67,1,23,,,1,76.13172179337863,,tertiary,,25 mph,1,,,,,,13.7
37,Erie Street,70,67,1,24,,24,-1,133.3249078543199,,"['residential', 'tertiary']",,25 mph,2,,,,,,10.4
38,Erie Street,67,70,1,24,,,1,133.3249078543199,,"['residential', 'tertiary']",,25 mph,2,,,,,,10.4
39,Sidney Street,115,70,1,25,,,1,152.66814295641808,,tertiary,,,1,,,,,,12.2
40,Erie Street,70,110,1,26,,26,-1,136.77748831866464,,residential,,25 mph,2,,,,,,12.2
41,Erie Street,110,70,1,26,,,1,136.77748831866464,,residential,,25 mph,2,,,,,,12.2
42,Huron Avenue,1029,1020,1,27,,27,-1,59.49165104190671,,secondary,,,3,,,,,,21.3
43,Huron Avenue,1020,1029,1,27,,,1,59.49165104190671,,secondary,,,3,,,,,,21.3
44,Aberdeen Avenue,1061,1029,1,29,,,1,38.95842187803169,,secondary,,,1,,,,,,30.5
45,Huron Avenue,1040,1020,1,30,,30,-1,25.410031733664425,,secondary,,,2,,,,,,21.3
46,Huron Avenue,1020,1040,1,30,,,1,25.410031733664425,,secondary,,,2,,,,,,21.3
47,Larchwood Drive,1040,1067,1,31,,31,-1,45.754830460360694,,residential,,,2,,,,,,10.4
48,Larchwood Drive,1067,1040,1,31,,,1,45.754830460360694,,residential,,,2,,,,,,10.4
49,Huron Avenue,1040,1073,1,32,,32,-1,190.4352972013091,,secondary,,,"['2', '3']",,,,,,21.3
50,Huron Avenue,1073,1040,1,32,,,1,190.4352972013091,,secondary,,,"['2', '3']",,,,,,21.3
51,Huron Avenue,1022,1029,1,34,,,1,79.40376956776845,,tertiary,,,1,,,,,,21.3
52,Huron Avenue,1029,1020,1,35,,,1,59.49165104190671,,secondary,,,3,,,,,,21.3
53,Huron Avenue,1020,1029,1,35,,35,-1,59.49165104190671,,secondary,,,3,,,,,,21.3
54,,1061,1020,1,36,,,1,67.9970861711828,,secondary_link,,,1,,,,,,30.5
55,Huron Avenue,1040,1020,1,37,,,1,25.410031733664425,,secondary,,,2,,,,,,21.3
56,Huron Avenue,1020,1040,1,37,,37,-1,25.410031733664425,,secondary,,,2,,,,,,21.3
57,Huron Avenue,1029,1022,1,38,,,1,83.75475107821515,,tertiary,,,1,,,,,,21.3
58,Galileo Galilei Way,185,280,1,41,,,1,230.18725548183787,,secondary,,25 mph,"['2', '3']",,,,,,12.2
59,Galileo Galilei Way,280,185,1,42,,,1,235.3614068785526,,secondary,,25 mph,"['2', '3']",,,,,,12.2
60,Main Street,158,185,1,43,,,1,143.4339202135796,,secondary,,25 mph,"['1', '2']",,,,,,21.3
61,Vassar Street,185,108,1,44,,44,-1,499.8411521585457,,"['secondary', 'tertiary']",,25 mph,"['2', '3']",,,,,,17.1
62,Vassar Street,108,185,1,44,,,1,499.8411521585457,,"['secondary', 'tertiary']",,25 mph,"['2', '3']",,,,,,17.1
63,Main Street,185,192,1,45,,45,-1,170.29641000177003,,"['secondary', 'tertiary']",,25 mph,"['2', '3']",,,,,,21.3
64,Main Street,192,185,1,45,,,1,170.29641000177003,,"['secondary', 'tertiary']",,25 mph,"['2', '3']",,,,,,21.3
65,Berkeley Street,1003,1023,1,46,,46,-1,67.110587511192,,residential,,25 mph,2,,,,,,12.2
66,Berkeley Street,1023,1003,1,46,,,1,67.110587511192,,residential,,25 mph,2,,,,,,12.2
67,Berkeley Street,1003,1015,1,47,,47,-1,109.29910935538857,,residential,,25 mph,2,,,,,,12.2
68,Berkeley Street,1015,1003,1,47,,,1,109.29910935538857,,residential,,25 mph,2,,,,,,12.2
69,Berkeley Place,1003,1615,1,48,,48,-1,174.50087182215185,,residential,,25 mph,2,,,,,,10.7
70,Berkeley Place,1615,1003,1,48,,,1,174.50087182215185,,residential,,25 mph,2,,,,,,10.7
71,Craigie Street,1066,1023,1,49,,49,-1,26.276103285597788,,tertiary,,,2,,,,,,
72,Craigie Street,1023,1066,1,49,,,1,26.276103285597788,,tertiary,,,2,,,,,,
73,Craigie Circle,1051,1066,1,50,,,1,70.72775923620382,,residential,,25 mph,2,,,,,,9.1
74,Craigie Circle,1066,1051,1,50,,50,-1,70.72775923620382,,residential,,25 mph,2,,,,,,9.1
75,Craigie Street,991,1066,1,51,,,1,186.5879829579306,,tertiary,,,2,,,,,,
76,Craigie Street,1066,991,1,51,,51,-1,186.5879829579306,,tertiary,,,2,,,,,,
77,Craigie Street,1023,1047,1,52,,,1,102.50132694886969,,tertiary,,,2,,,,,,
78,Craigie Street,1047,1023,1,52,,52,-1,102.50132694886969,,tertiary,,,2,,,,,,
79,Concord Avenue,1074,1047,1,53,,,1,165.0393076178587,,tertiary,,25 mph,2,,,,,,15.2
80,Concord Avenue,1047,1074,1,53,,53,-1,165.0393076178587,,tertiary,,25 mph,2,,,,,,15.2
81,Concord Avenue,1060,1047,1,54,,,1,118.46074938461705,,tertiary,,25 mph,2,,,,,,15.2
82,Concord Avenue,1047,1060,1,54,,54,-1,118.46074938461705,,tertiary,,25 mph,2,,,,,,15.2
83,Broadway,267,280,1,58,,,1,135.18499521521366,,tertiary,,25 mph,"['2', '4', '5']",,,,,,24.4
84,Broadway,280,267,1,58,,58,-1,135.18499521521366,,tertiary,,25 mph,"['2', '4', '5']",,,,,,24.4
85,Holworthy Street,1005,998,1,59,,,1,65.50939505056411,,residential,,,2,,,,,,12.8
86,High Street,998,997,1,60,,60,-1,169.5596687681901,,residential,,,2,,,,,,10.4
87,High Street,997,998,1,60,,,1,169.5596687681901,,residential,,,2,,,,,,10.4
88,Holmes Street,1005,1011,1,61,,,1,134.14871955030026,,residential,,,2,,,,,,10.7
89,Holmes Street,1011,1005,1,61,,61,-1,134.14871955030026,,residential,,,2,,,,,,10.7
90,Park Avenue,1011,1609,1,62,,62,-1,51.96761188895791,,residential,,,2,,,,,,13.7
91,Park Avenue,1609,1011,1,62,,,1,51.96761188895791,,residential,,,2,,,,,,13.7
92,Park Avenue,1011,997,1,63,,63,-1,65.28456045876338,,residential,,,2,,,,,,13.7
93,Park Avenue,997,1011,1,63,,,1,65.28456045876338,,residential,,,2,,,,,,13.7
94,Concord Avenue,1047,1060,1,64,,,1,118.46074938461703,,tertiary,,25 mph,2,,,,,,15.2
95,Concord Avenue,1060,1047,1,64,,64,-1,118.46074938461703,,tertiary,,25 mph,2,,,,,,15.2
96,Concord Avenue,988,1060,1,65,,,1,81.44068482625778,,tertiary,,25 mph,2,,,,,,15.2
97,Concord Avenue,1060,988,1,65,,65,-1,81.44068482625778,,tertiary,,25 mph,2,,,,,,15.2
98,Chauncy Street,1064,1060,1,66,,,1,35.96800605995951,,tertiary,,,2,,,,,,12.8
99,Concord Avenue,1047,1074,1,67,,,1,165.0393076178587,,tertiary,,25 mph,2,,,,,,15.2
100,Concord Avenue,1074,1047,1,67,,67,-1,165.0393076178587,,tertiary,,25 mph,2,,,,,,15.2
101,Concord Avenue,1082,1074,1,68,,,1,22.493513210934445,,tertiary,,25 mph,2,,,,,,15.2
102,Concord Avenue,1074,1082,1,68,,68,-1,22.493513210934445,,tertiary,,25 mph,2,,,,,,15.2
103,Parker Street,1293,1074,1,69,,,1,93.91179227957021,,residential,,25 mph,2,,,,,,12.2
104,Parker Street,1074,1293,1,69,,69,-1,93.91179227957021,,residential,,25 mph,2,,,,,,12.2
105,Craigie Street,1023,1047,1,70,,70,-1,102.50132694886969,,tertiary,,,2,,,,,,
106,Craigie Street,1047,1023,1,70,,,1,102.50132694886969,,tertiary,,,2,,,,,,
107,Craigie Street,1023,1066,1,71,,71,-1,26.276103285597788,,tertiary,,,2,,,,,,
108,Craigie Street,1066,1023,1,71,,,1,26.276103285597788,,tertiary,,,2,,,,,,
109,Berkeley Street,1023,1003,1,72,,72,-1,67.110587511192,,residential,,25 mph,2,,,,,,12.2
110,Berkeley Street,1003,1023,1,72,,,1,67.110587511192,,residential,,25 mph,2,,,,,,12.2
111,Craigie Circle,1051,1066,1,73,,73,-1,70.72775923620382,,residential,,25 mph,2,,,,,,9.1
112,Craigie Circle,1066,1051,1,73,,,1,70.72775923620382,,residential,,25 mph,2,,,,,,9.1
113,Craigie Street,991,1066,1,74,,74,-1,186.5879829579306,,tertiary,,,2,,,,,,
114,Craigie Street,1066,991,1,74,,,1,186.5879829579306,,tertiary,,,2,,,,,,
115,Buckingham Street,1065,991,1,75,,,1,70.79629320548443,,residential,,25 mph,2,,,,,,11.6
116,Buckingham Street,991,1065,1,75,,75,-1,70.79629320548443,,residential,,25 mph,2,,,,,,11.6
117,Craigie Street,986,991,1,76,,,1,50.44766784575964,,tertiary,,,2,,,,,,
118,Craigie Street,991,986,1,76,,76,-1,50.44766784575964,,tertiary,,,2,,,,,,
119,Holworthy Street,1594,1614,1,77,,,1,30.17937447683205,,residential,,,2,,,,,,12.8
120,Holworthy Terrace,1606,1614,1,78,,,1,36.8194598308141,,residential,,,1,,,,,,6.7
121,Holworthy Terrace,1614,1606,1,78,,78,-1,36.8194598308141,,residential,,,1,,,,,,6.7
122,Park Avenue,1594,1609,1,79,,,1,94.87701013576095,,residential,,,2,,,,,,13.7
123,Park Avenue,1609,1594,1,79,,79,-1,94.87701013576095,,residential,,,2,,,,,,13.7
124,Park Avenue,1011,1609,1,80,,,1,51.967611888957904,,residential,,,2,,,,,,13.7
125,Park Avenue,1609,1011,1,80,,80,-1,51.967611888957904,,residential,,,2,,,,,,13.7
126,Holworthy Place,929,1609,1,81,,,1,168.6612251090474,,residential,,,1,,,,,,7.3
127,Holworthy Place,1609,929,1,81,,81,-1,168.6612251090474,,residential,,,1,,,,,,7.3
128,Rindgefield Street,1426,1435,1,82,,82,-1,155.75179849500094,,residential,,,2,,,,,,10.4
129,Rindgefield Street,1435,1426,1,82,,,1,155.75179849500094,,residential,,,2,,,,,,10.4
130,Rindge Avenue,1426,1410,1,83,,83,-1,89.17569824811443,,tertiary,,25 mph,2,,,,,,
131,Rindge Avenue,1410,1426,1,83,,,1,89.17569824811443,,tertiary,,25 mph,2,,,,,,
132,Rindge Avenue,1426,1419,1,84,,84,-1,41.864385165686116,,tertiary,,25 mph,2,,,,,,
133,Rindge Avenue,1419,1426,1,84,,,1,41.864385165686116,,tertiary,,25 mph,2,,,,,,
134,Hollis Street,1435,1443,1,85,,,1,122.42828253323252,,residential,,,1,,,,,,9.8
135,Massachusetts Avenue,1456,1443,1,86,,,1,47.37245819503162,,primary,,,2,,,,,,26.8
136,Brattle Circle,901,952,1,89,,89,-1,35.07340501193352,,residential,,,1,,,,,,6.1
137,Brattle Circle,952,901,1,89,,,1,35.07340501193352,,residential,,,1,,,,,,6.1
138,Brattle Circle,901,952,1,90,,,1,35.07340501193352,,residential,,,1,,,,,,6.1
139,Brattle Circle,952,901,1,90,,90,-1,35.07340501193352,,residential,,,1,,,,,,6.1
140,Brattle Street,952,962,1,91,,91,-1,70.0391008514089,,secondary,,,2,,,,,,16.2
141,Brattle Street,962,952,1,91,,,1,70.0391008514089,,secondary,,,2,,,,,,16.2
142,Brattle Street,952,944,1,92,,92,-1,43.32184308219234,,secondary,,,2,,,,,,16.2
