road_link_id,name,from_node,to_node,link_geom_id,dir_flag,capacity,free_speed,lanes,bike_facility,ped_facility,parking,allowed_uses,facility_type,grade
0,,1221,1312,0,1,,,,,,,,residential,
1,,1312,1221,0,-1,,,,,,,,residential,
2,Vassal Lane,1310,1312,1,1,,25 mph,1,,,,,residential,
3,River Street,152,176,2,1,,25 mph,2,,,,,secondary,
4,Putnam Avenue,176,202,3,-1,,,2,,,,,tertiary,
5,Putnam Avenue,202,176,3,1,,,2,,,,,tertiary,
6,Putnam Avenue,176,380,4,-1,,,2,,,,,tertiary,
7,Putnam Avenue,380,176,4,1,,,2,,,,,tertiary,
8,Blackstone Street,152,378,5,1,,25 mph,2,,,,,residential,
9,Blackstone Street,378,152,5,-1,,25 mph,2,,,,,residential,
10,,369,378,6,1,,25 mph,,,,,,residential,
11,,378,369,6,-1,,25 mph,,,,,,residential,
12,Blackstone Street,353,378,7,1,,25 mph,2,,,,,residential,
13,Blackstone Street,378,353,7,-1,,25 mph,2,,,,,residential,
14,Blackstone Street,353,378,8,-1,,25 mph,2,,,,,residential,
15,Blackstone Street,378,353,8,1,,25 mph,2,,,,,residential,
16,Western Avenue,358,353,9,1,,,4,,,,,secondary,
17,Blackstone Street,378,152,10,1,,25 mph,2,,,,,residential,
18,Blackstone Street,152,378,10,-1,,25 mph,2,,,,,residential,
19,River Street,135,152,11,1,,25 mph,2,,,,,secondary,
20,,369,378,12,-1,,25 mph,,,,,,residential,
21,,378,369,12,1,,25 mph,,,,,,residential,
22,Larchwood Drive,1032,1110,13,-1,,,2,,,,,residential,
23,Larchwood Drive,1110,1032,13,1,,,2,,,,,residential,
24,Larchwood Drive,1032,1029,14,-1,,,2,,,,,residential,
25,Larchwood Drive,1029,1032,14,1,,,2,,,,,residential,
26,Fresh Pond Lane,1121,1110,16,-1,,,2,,,,,residential,
27,Fresh Pond Lane,1110,1121,16,1,,,2,,,,,residential,
28,Fresh Pond Parkway,1083,1121,17,1,,,4,,,,,primary,
29,Fresh Pond Parkway,1121,1083,17,-1,,,4,,,,,primary,
30,Fresh Pond Parkway,972,1121,18,1,,,4,,,,,primary,
31,Fresh Pond Parkway,1121,972,18,-1,,,4,,,,,primary,
32,Fresh Pond Lane,1110,1032,19,1,,,2,,,,,residential,
33,Fresh Pond Lane,1032,1110,19,-1,,,2,,,,,residential,
34,Fresh Pond Lane,1032,1045,21,-1,,,2,,,,,residential,
35,Fresh Pond Lane,1045,1032,21,1,,,2,,,,,residential,
36,Waverly Street,110,55,23,1,,25 mph,1,,,,,tertiary,
37,Erie Street,66,55,24,-1,,25 mph,2,,,,,"['residential', 'tertiary']",
38,Erie Street,55,66,24,1,,25 mph,2,,,,,"['residential', 'tertiary']",
39,Sidney Street,84,66,25,1,,,1,,,,,tertiary,
40,Erie Street,76,66,26,1,,25 mph,2,,,,,residential,
41,Erie Street,66,76,26,-1,,25 mph,2,,,,,residential,
42,Huron Avenue,1024,1019,27,1,,,3,,,,,secondary,
43,Huron Avenue,1019,1024,27,-1,,,3,,,,,secondary,
44,Aberdeen Avenue,1025,1019,29,1,,,1,,,,,secondary,
45,Huron Avenue,1112,1024,30,-1,,,2,,,,,secondary,
46,Huron Avenue,1024,1112,30,1,,,2,,,,,secondary,
47,Larchwood Drive,1112,1029,31,-1,,,2,,,,,residential,
48,Larchwood Drive,1029,1112,31,1,,,2,,,,,residential,
49,Huron Avenue,1083,1112,32,1,,,"['3', '2']",,,,,secondary,
50,Huron Avenue,1112,1083,32,-1,,,"['3', '2']",,,,,secondary,
51,Huron Avenue,1111,1019,34,1,,,1,,,,,tertiary,
52,Huron Avenue,1024,1019,35,-1,,,3,,,,,secondary,
53,Huron Avenue,1019,1024,35,1,,,3,,,,,secondary,
54,,1025,1024,36,1,,,1,,,,,secondary_link,
55,Huron Avenue,1024,1112,37,-1,,,2,,,,,secondary,
56,Huron Avenue,1112,1024,37,1,,,2,,,,,secondary,
57,Huron Avenue,1019,1111,38,1,,,1,,,,,tertiary,
58,Galileo Galilei Way,177,352,41,1,,25 mph,"['3', '2']",,,,,secondary,
59,Galileo Galilei Way,352,177,42,1,,25 mph,"['3', '2']",,,,,secondary,
60,Main Street,181,177,43,1,,25 mph,"['1', '2']",,,,,secondary,
61,Vassar Street,177,88,44,-1,,25 mph,"['3', '2']",,,,,"['tertiary', 'secondary']",
62,Vassar Street,88,177,44,1,,25 mph,"['3', '2']",,,,,"['tertiary', 'secondary']",
63,Main Street,192,177,45,1,,25 mph,"['3', '2']",,,,,"['tertiary', 'secondary']",
64,Main Street,177,192,45,-1,,25 mph,"['3', '2']",,,,,"['tertiary', 'secondary']",
65,Berkeley Street,1016,1013,46,1,,25 mph,2,,,,,residential,
66,Berkeley Street,1013,1016,46,-1,,25 mph,2,,,,,residential,
67,Berkeley Street,1013,971,47,-1,,25 mph,2,,,,,residential,
68,Berkeley Street,971,1013,47,1,,25 mph,2,,,,,residential,
69,Berkeley Place,995,1013,48,1,,25 mph,2,,,,,residential,
70,Berkeley Place,1013,995,48,-1,,25 mph,2,,,,,residential,
71,Craigie Street,1016,1028,49,1,,,2,,,,,tertiary,
72,Craigie Street,1028,1016,49,-1,,,2,,,,,tertiary,
73,Craigie Circle,1120,1028,50,1,,25 mph,2,,,,,residential,
74,Craigie Circle,1028,1120,50,-1,,25 mph,2,,,,,residential,
75,Craigie Street,1040,1028,51,1,,,2,,,,,tertiary,
76,Craigie Street,1028,1040,51,-1,,,2,,,,,tertiary,
77,Craigie Street,1016,1107,52,1,,,2,,,,,tertiary,
78,Craigie Street,1107,1016,52,-1,,,2,,,,,tertiary,
79,Concord Avenue,1107,1084,53,-1,,25 mph,2,,,,,tertiary,
80,Concord Avenue,1084,1107,53,1,,25 mph,2,,,,,tertiary,
81,Concord Avenue,1107,1026,54,-1,,25 mph,2,,,,,tertiary,
82,Concord Avenue,1026,1107,54,1,,25 mph,2,,,,,tertiary,
83,Broadway,352,291,58,-1,,25 mph,"['5', '4', '2']",,,,,tertiary,
84,Broadway,291,352,58,1,,25 mph,"['5', '4', '2']",,,,,tertiary,
85,Holworthy Street,978,1011,59,1,,,2,,,,,residential,
86,High Street,1011,1010,60,-1,,,2,,,,,residential,
87,High Street,1010,1011,60,1,,,2,,,,,residential,
88,Holmes Street,978,979,61,1,,,2,,,,,residential,
89,Holmes Street,979,978,61,-1,,,2,,,,,residential,
90,Park Avenue,986,979,62,1,,,2,,,,,residential,
91,Park Avenue,979,986,62,-1,,,2,,,,,residential,
92,Park Avenue,1010,979,63,1,,,2,,,,,residential,
93,Park Avenue,979,1010,63,-1,,,2,,,,,residential,
94,Concord Avenue,1107,1026,64,1,,25 mph,2,,,,,tertiary,
95,Concord Avenue,1026,1107,64,-1,,25 mph,2,,,,,tertiary,
96,Concord Avenue,1026,1039,65,-1,,25 mph,2,,,,,tertiary,
97,Concord Avenue,1039,1026,65,1,,25 mph,2,,,,,tertiary,
98,Chauncy Street,1027,1026,66,1,,,2,,,,,tertiary,
99,Concord Avenue,1107,1084,67,1,,25 mph,2,,,,,tertiary,
100,Concord Avenue,1084,1107,67,-1,,25 mph,2,,,,,tertiary,
101,Concord Avenue,1082,1084,68,1,,25 mph,2,,,,,tertiary,
102,Concord Avenue,1084,1082,68,-1,,25 mph,2,,,,,tertiary,
103,Parker Street,1061,1084,69,1,,25 mph,2,,,,,residential,
104,Parker Street,1084,1061,69,-1,,25 mph,2,,,,,residential,
105,Craigie Street,1107,1016,70,1,,,2,,,,,tertiary,
106,Craigie Street,1016,1107,70,-1,,,2,,,,,tertiary,
107,Craigie Street,1028,1016,71,1,,,2,,,,,tertiary,
108,Craigie Street,1016,1028,71,-1,,,2,,,,,tertiary,
109,Berkeley Street,1016,1013,72,-1,,25 mph,2,,,,,residential,
110,Berkeley Street,1013,1016,72,1,,25 mph,2,,,,,residential,
111,Craigie Circle,1028,1120,73,1,,25 mph,2,,,,,residential,
112,Craigie Circle,1120,1028,73,-1,,25 mph,2,,,,,residential,
113,Craigie Street,1040,1028,74,-1,,,2,,,,,tertiary,
114,Craigie Street,1028,1040,74,1,,,2,,,,,tertiary,
115,Buckingham Street,1040,1030,75,-1,,25 mph,2,,,,,residential,
116,Buckingham Street,1030,1040,75,1,,25 mph,2,,,,,residential,
117,Craigie Street,1040,1037,76,-1,,,2,,,,,tertiary,
118,Craigie Street,1037,1040,76,1,,,2,,,,,tertiary,
119,Holworthy Street,962,992,77,1,,,2,,,,,residential,
120,Holworthy Terrace,992,981,78,-1,,,1,,,,,residential,
121,Holworthy Terrace,981,992,78,1,,,1,,,,,residential,
122,Park Avenue,986,962,79,-1,,,2,,,,,residential,
123,Park Avenue,962,986,79,1,,,2,,,,,residential,
124,Park Avenue,986,979,80,-1,,,2,,,,,residential,
125,Park Avenue,979,986,80,1,,,2,,,,,residential,
126,Holworthy Place,884,986,81,1,,,1,,,,,residential,
127,Holworthy Place,986,884,81,-1,,,1,,,,,residential,
