node_id,name,x_coord,y_coord,z_coord,node_type,ctrl_type,zone_id,parent_node_id
1,,322754,4698346,,EXTERNAL,,,
2,,322992,4698276,,EXTERNAL,,,
3,,322989,4698062,,INTERSECTION,SIGNAL,,
4,,322674,4697988,,EXTERNAL,,,
5,,322716,4698212,,EXTERNAL,,,
6,,322842,4698158,,INTERSECTION,SIGNAL,,
7,,322924,4698107,,INTERSECTION,SIGNAL,,
8,,322917,4698000,,EXTERNAL,,,
21,,322973,4698279,,EXTERNAL,,,
22,,322986,4698250,,EXTERNAL,,,
41,,322687,4697987,,EXTERNAL,,,
42,,322674,4698002,,EXTERNAL,,,
51,,322722,4698220,,EXTERNAL,,,
52,,322720,4698202,,EXTERNAL,,,
61,,322841,4698178,,WALK_INTERSECTION,SIGNAL,,6
62,,322864,4698158,,WALK_INTERSECTION,SIGNAL,,6
63,,322835,4698136,,WALK_INTERSECTION,SIGNAL,,6
64,,322819,4698150,,WALK_INTERSECTION,SIGNAL,,6
71,,322936,4698115,,WALK_INTERSECTION,SIGNAL,,7
72,,322922,4698093,,WALK_INTERSECTION,SIGNAL,,7
