signal_phase_mvmt_id,timing_phase_id,mvmt_id,link_id,protection
1,4,1,,protected
2,4,2,,protected
3,4,3,,protected
4,7,4,,protected
5,4,5,,protected
6,5,6,,protected
7,1,7,,protected
8,6,8,,protected
9,7,10,,protected
10,6,11,,protected
11,6,12,,permitted
12,3,13,,protected
13,3,14,,protected
14,8,15,,protected
15,1,16,,protected
16,5,17,,protected
17,2,18,,protected
18,2,19,,protected
19,3,20,,protected
20,2,21,,protected
21,2,22,,protected
22,2,23,,protected
23,11,24,,protected
24,11,25,,permitted
25,6,26,,protected
26,6,27,,protected
27,6,28,,permitted
28,6,,2122,protected
29,8,,3132,protected
30,2,,4040,protected
31,4,,5050,protected
32,11,,7172,protected
33,18,1,,protected
34,18,2,,protected
35,18,3,,protected
36,17,4,,protected
37,18,5,,protected
38,13,6,,protected
39,14,7,,protected
40,15,8,,protected
41,17,10,,protected
42,15,11,,protected
43,15,12,,permitted
44,16,13,,protected
45,16,14,,protected
46,19,15,,protected
47,14,16,,protected
48,13,17,,protected
49,12,18,,protected
50,12,19,,protected
51,16,20,,protected
52,12,21,,protected
53,12,22,,protected
54,12,23,,protected
55,22,24,,protected
56,22,25,,permitted
57,15,26,,protected
58,15,27,,protected
59,15,28,,permitted
60,15,,2122,protected
61,19,,3132,protected
62,12,,4040,protected
63,18,,5050,protected
64,22,,7172,protected
65,29,1,,protected
66,29,2,,protected
67,29,3,,protected
68,28,4,,protected
69,29,5,,protected
70,24,6,,protected
71,25,7,,protected
72,26,8,,protected
73,28,10,,protected
74,26,11,,protected
75,26,12,,permitted
76,27,13,,protected
77,27,14,,protected
78,30,15,,protected
79,25,16,,protected
80,24,17,,protected
81,23,18,,protected
82,23,19,,protected
83,27,20,,protected
84,23,21,,protected
85,23,22,,protected
86,23,23,,protected
87,33,24,,protected
88,33,25,,permitted
89,26,26,,protected
90,26,27,,protected
91,26,28,,permitted
92,26,,2122,protected
93,30,,3132,protected
94,23,,4040,protected
95,29,,5050,protected
96,33,,7172,protected
97,40,1,,protected
98,40,2,,protected
99,40,3,,protected
100,39,4,,protected
101,40,5,,protected
102,35,6,,protected
103,36,7,,protected
104,37,8,,protected
105,39,10,,protected
106,37,11,,protected
107,37,12,,permitted
108,38,13,,protected
109,38,14,,protected
110,41,15,,protected
111,36,16,,protected
112,35,17,,protected
113,34,18,,protected
114,34,19,,protected
115,38,20,,protected
116,34,21,,protected
117,34,22,,protected
118,34,23,,protected
119,44,24,,protected
120,44,25,,permitted
121,37,26,,protected
122,37,27,,protected
123,37,28,,permitted
124,37,,2122,protected
125,41,,3132,protected
126,34,,4040,protected
127,40,,5050,protected
128,44,,7172,protected
