node_id,name,x_coord,y_coord
0,,-71.0781741,42.365296
1,,-71.0783173,42.3629329
2,,-71.0783356,42.3630497
3,,-71.0786621,42.363234
4,,-71.08457513,42.36530355
5,,-71.084273,42.3652858
6,,-71.0829047,42.3651102
7,,-71.0827668,42.3650925
8,,-71.0886049,42.3644761
9,,-71.0884258,42.3643765
10,,-71.0876533,42.3640414
11,,-71.0876002,42.3640185
13,,-71.0788447,42.3623391
14,,-71.0788922,42.3620912
15,,-71.0844274,42.3659976
16,,-71.084409,42.366076
18,,-71.0838883,42.3603319
19,,-71.0839401,42.3604162
20,,-71.0839558,42.3604419
21,,-71.0842966,42.3609969
22,,-71.0843674,42.3611122
23,,-71.08824105,42.36657301
25,,-71.0847663,42.3643983
26,,-71.0843574,42.3642191
27,,-71.0842952,42.3641918
28,,-71.0836013,42.3639045
29,,-71.083472,42.363851
30,,-71.0801809,42.3640831
31,,-71.08015,42.3641397
32,,-71.0800209,42.364678
33,,-71.0800048,42.364745
34,,-71.0799885,42.3648174
35,,-71.0798918,42.3652462
38,,-71.0798355,42.365501
48,,-71.0860392,42.3662841
49,,-71.085965,42.3666
52,,-71.0875415,42.3600485
53,,-71.0867182,42.3603244
54,,-71.0866434,42.3603494
55,,-71.0864092,42.3604299
56,,-71.0862068,42.3604958
57,,-71.0855476,42.3607175
58,,-71.0853823,42.3607721
59,,-71.0853101,42.3607963
60,,-71.0852161,42.3608278
61,,-71.0848588,42.3609475
62,,-71.0844975,42.3610665
63,,-71.0837378,42.3634434
64,,-71.0834159,42.3639496
65,,-71.0833631,42.3640425
66,,-71.0831669,42.3643879
67,,-71.0831239,42.3644637
68,,-71.0828096,42.3650171
69,,-71.0827262,42.3651636
72,,-71.0853767,42.3608467
73,,-71.0851746,42.3622752
74,,-71.085167,42.362326
75,,-71.0871126,42.3622291
76,,-71.0870908,42.3624001
77,,-71.0870814,42.3624726
78,,-71.0880928,42.36644
79,,-71.0881095,42.3664611
81,,-71.0782386,42.3650192
82,,-71.0783335,42.3646112
83,,-71.0783574,42.3645378
84,,-71.0863989,42.3605044
85,,-71.0862707,42.3614391
86,,-71.0801749,42.3618102
87,,-71.0800703,42.3617685
88,,-71.0800444,42.3617378
89,,-71.0801823,42.3614674
90,,-71.08465715,42.36491503
91,,-71.0797189,42.3614614
92,,-71.0799523,42.3614864
93,,-71.0850712,42.3631377
97,,-71.0843284,42.3641464
101,,-71.0802144,42.3640204
102,,-71.0813873,42.3607086
103,,-71.078815,42.3610787
104,,-71.0785271,42.3615223
105,,-71.0826385,42.3650764
106,,-71.081971,42.3649924
107,,-71.0789786,42.3622883
108,,-71.0795876,42.3619807
109,,-71.0796162,42.3619556
110,,-71.0797865,42.361915
115,,-71.0872319,42.3640146
116,,-71.0869251,42.364402
117,,-71.0863489,42.3651511
118,,-71.0860548,42.3660312
125,,-71.0840693,42.3599605
126,,-71.0838642,42.3602927
127,,-71.0876096,42.3599593
128,,-71.0875811,42.3599063
129,,-71.0872416,42.3593552
130,,-71.0872225,42.3593218
131,,-71.0871703,42.3592337
144,,-71.0791052,42.3612757
145,,-71.0789557,42.3616273
146,,-71.0796223,42.3614062
147,,-71.0820149,42.3643176
148,,-71.0819832,42.364313
149,,-71.0819266,42.3643055
150,,-71.0817513,42.3642808
151,,-71.0812761,42.3642195
152,,-71.0812367,42.3642147
153,,-71.0802628,42.3640972
154,,-71.0798952,42.364041
155,,-71.0786378,42.3638788
156,,-71.0785374,42.3638666
157,,-71.0860813,42.3623302
159,,-71.0814817,42.3611242
160,,-71.0816146,42.361151
161,,-71.0816521,42.3611898
164,,-71.082131,42.3620991
165,,-71.0821225,42.3621644
166,,-71.0821204,42.3621907
167,,-71.0820839,42.3624612
168,,-71.0820815,42.3624792
169,,-71.0820699,42.3625844
170,,-71.0821756,42.3627762
171,,-71.0824092,42.3630222
172,,-71.0836945,42.3633275
173,,-71.0837369,42.3633417
174,,-71.0837939,42.3633621
175,,-71.0821027,42.3627646
176,,-71.0820863,42.3627619
177,,-71.0794558,42.3623803
178,,-71.0790527,42.3623303
179,,-71.0792531,42.3618728
180,,-71.0794196,42.3619453
181,,-71.0794315,42.3619698
182,,-71.0790051,42.362199
183,,-71.0852791,42.3607386
185,,-71.0879238,42.3663353
186,,-71.0872545,42.3662506
189,,-71.0830598,42.3621794
190,,-71.0837455,42.3623568
192,,-71.0844681,42.3626017
193,,-71.0847261,42.3623986
194,,-71.0851555,42.3623725
195,,-71.081962,42.3619439
196,,-71.0819655,42.3619089
197,,-71.0819672,42.3618914
198,,-71.0876824,42.3600842
199,,-71.0881849,42.3609241
200,,-71.0881972,42.3609441
201,,-71.088271,42.3610656
202,,-71.0882959,42.3611079
203,,-71.0881927,42.3624196
204,,-71.0881874,42.3624447
266,,-71.0878559,42.3635467
267,,-71.0879186,42.3635741
268,,-71.0887134,42.3639061
269,,-71.0889003,42.3639819
270,,-71.0893961,42.3641731
271,,-71.0895135,42.3642093
278,,-71.081758,42.3649656
279,,-71.0817707,42.3649158
280,,-71.0819182,42.3643415
286,,-71.0880029,42.3644632
289,,-71.0877578,42.3655752
295,,-71.0885394,42.3645621
296,,-71.0885199,42.3645876
297,,-71.0873698,42.3660959
298,,-71.0873136,42.3661712
299,,-71.0881008,42.3643271
300,,-71.0880765,42.3643673
301,,-71.0880584,42.3643923
302,,-71.0877689,42.3647682
303,,-71.0871886,42.3655035
304,,-71.0867406,42.3661031
305,,-71.0866621,42.3661787
308,,-71.0864414,42.36519
315,,-71.0819908,42.3609763
316,,-71.0827428,42.3607085
317,,-71.0790958,42.3612866
318,,-71.0809397,42.3608645
319,,-71.0811088,42.360866
320,,-71.081257,42.3608674
321,,-71.081473,42.3608697
322,,-71.0819977,42.3608736
323,,-71.0871549,42.3619034
324,,-71.0862179,42.3618236
325,,-71.0790177,42.3621564
326,,-71.0790016,42.3619541
327,,-71.0891752,42.3646955
334,,-71.0775193,42.365107
335,,-71.0780435,42.365179
337,,-71.0881289,42.3664383
338,,-71.088196,42.3664308
339,,-71.0892874,42.3655145
342,,-71.08908,42.3635899
343,,-71.0889883,42.363326
344,,-71.0889654,42.3635159
355,,-71.0870384,42.3590175
356,,-71.0869608,42.358995
