geometry_id,geometry
9001,"LINESTRING (-71.0896646 42.3649006,-71.089583 42.3648581,-71.0894745 42.3648023,-71.0893532 42.3647385,-71.0892015 42.3646628,-71.0886105 42.3644342,-71.0884584 42.3643696,-71.087608 42.3640086,-71.0873963 42.3639282)"
9002,"LINESTRING (-71.0881584 42.3626232,-71.0881469 42.3626905,-71.088128 42.3627951,-71.0881079 42.3628996,-71.0880929 42.3629763,-71.0880755 42.363039,-71.0880463 42.3630974,-71.0880087 42.3631516,-71.0879597 42.3632123,-71.0877357 42.3635091,-71.0876898 42.3635606,-71.0874724 42.3638309,-71.0873963 42.3639282)"
9003,"LINESTRING (-71.0873963 42.3639282,-71.0873359 42.363905,-71.087253 42.3638732,-71.086308 42.3634642,-71.0859256 42.363305,-71.0855886 42.3631648,-71.0844086 42.3626504)"
9004,"LINESTRING (-71.0873319 42.3640097,-71.0875298 42.3640974,-71.0880978 42.3643416,-71.0881729 42.3643722,-71.0882845 42.3644189,-71.0893354 42.364812)"
9005,"LINESTRING (-71.0843176 42.3627195,-71.0851184 42.3630762,-71.0851603 42.3630949,-71.0858614 42.3633871,-71.0861137 42.3634923,-71.0862468 42.3635475,-71.086527 42.3636639,-71.0865843 42.3636885,-71.0866469 42.3637153,-71.0873319 42.3640097)"
9006,"LINESTRING (-71.0844086 42.3626504,-71.084253 42.3625512,-71.0841515 42.3624895,-71.0840416 42.3624178,-71.0839262 42.3623447,-71.0838224 42.3622846)"
9007,"LINESTRING (-71.0830222 42.3621793,-71.0830611 42.3621819,-71.083093 42.3621841,-71.0831653 42.3621926,-71.083231 42.3622025,-71.083299 42.3622145,-71.0833665 42.3622278,-71.0834356 42.3622436,-71.0834956 42.3622602,-71.0835589 42.3622803,-71.0836681 42.362321,-71.0837455 42.3623568,-71.0838147 42.3623935,-71.0838909 42.3624386,-71.084191 42.3626403,-71.0843176 42.3627195)"
9008,"LINESTRING (-71.0861564 42.3661139,-71.0863145 42.3653651,-71.0869504 42.3644949,-71.0872319 42.3640097)"
9009,"LINESTRING (-71.0873359 42.363905,-71.0879905 42.3630931,-71.0880814 42.3626176)"
9010,"LINESTRING (-71.0843176 42.3627195,-71.0838463 42.3632839,-71.0837886 42.3633639,-71.0837329 42.3634424,-71.0836711 42.3635345,-71.0836144 42.3636217,-71.083472 42.363851,-71.0834159 42.3639496,-71.0831239 42.3644637,-71.0827668 42.3650925,-71.0827235 42.3651668)"
9011,"LINESTRING (-71.0844086 42.3626504,-71.0846134 42.3624745,-71.0846856 42.3624208,-71.0847634 42.3623862,-71.0848122 42.3623744,-71.0848595 42.3623719,-71.0851190 42.3623480)"
9012,"LINESTRING (-71.0838224 42.3622846,-71.0837303 42.3622442,-71.0836478 42.3622115,-71.0835587 42.3621821,-71.0834669 42.3621575,-71.0834003 42.3621414,-71.083178 42.3620937,-71.0830483 42.3620675,-71.082912 42.3620421,-71.0827978 42.3620211)"
9013,"LINESTRING (-71.0881669 42.3625586,-71.0879984 42.3625454,-71.0871228 42.3624759,-71.0870814 42.3624726,-71.0862604 42.3624095,-71.0861542 42.3624019,-71.0860376 42.3623925,-71.085167 42.362326,-71.0850211 42.3623099)"
9014,"LINESTRING (-71.0850211 42.3623099,-71.0849092 42.3622976,-71.0847306 42.3622759,-71.084223 42.3622044,-71.0841325 42.3622015,-71.0840639 42.3622008,-71.0840032 42.3622068,-71.0839448 42.3622175,-71.0838974 42.3622341,-71.0838571 42.3622573,-71.0838224 42.3622846)"
9015,"LINESTRING (-71.0881584 42.3626232,-71.0883758 42.3626364,-71.0888452 42.3626678,-71.0889017 42.3626725,-71.0889476 42.3626789,-71.0890098 42.3626908,-71.0890545 42.3626969,-71.0891149 42.3627005,-71.0892129 42.3627063,-71.0898 42.36275)"
9016,"LINESTRING (-71.0850211 42.3623099,-71.0848315 42.3623286,-71.0847338 42.3623491,-71.0846428 42.3623908,-71.0844662 42.3625529,-71.0844072 42.3625996,-71.0844086 42.3626504)"
9017,"LINESTRING (-71.0899422 42.3627194,-71.0896637 42.3626741,-71.0883553 42.3625756,-71.0881669 42.3625586)"
