signal_phase_mvmt_id,timing_phase_id,mvmt_id,link_id,protection,opt_notes
1110,5,1101,,protected,Ames NB R to Broadway
1111,5,1106,,protected,Ames Cycletrack R to Broadway
1112,5,1112,,protected,Broadway WB L to Ames
1113,5,1117,,permitted,Broadway WB L to Ames cycletrack
1114,5,1119,,permitted,Volpe path to Broadway WB
1120,6,1107,,protected,Broadway EB thru @ Ames
1121,6,1110,,permitted,Broadway EB R to Ames (bike)
1122,6,1111,,permitted,Broadway EB L to Volpe path
1123,6,,11003,permitted,Crosswalk - south side crossing Ames
1130,7,1113,,protected,Broadway WB thru @ Ames
1131,7,1116,,permitted,Broadway WB R to Volpe path
1132,7,,11004,permitted,Crosswalk - north side crossing bikepath
1140,9,,11002,permitted,Crosswalk - west side crossing Bwy
1150,8,1102,,protected,Ames NB L to Broadway
1151,8,1104,,protected,Ames Cycletrack to Volpe path
1152,8,1105,,permitted,Ames Cycletrack L to Broadway
1153,8,1106,,permitted,Ames Cycletrack R to Broadway
1154,8,1108,,protected,Broadway EB R to Ames
1155,8,1110,,protected,Broadway EB R to Ames (bike)
1156,8,1118,,protected,Volpe path to Ames cycletrack
1157,8,1120,,permitted,Volpe path to Broadway EB
1158,8,,11001,permitted,Crosswalk - east side crossing Bwy
