link_id,name,from_node_id,to_node_id,directed,geometry_id,geometry,parent_link_id,dir_flag,length,grade,facility_type,capacity,free_speed,lanes,bike_facility,ped_facility,parking,allowed_uses,toll,jurisdiction,row_width
578653,US3 NB,5,1,1,578653,,,1,2193.040865,,Ramp,,55,1,None,None,None,AUTO,,,
578527,R50175,5,2,1,578527,,578608,-1,1069.059956,,Ramp,,35,1,None,None,None,AUTO,,,
578608,I95 SB,12,3,1,578608,,,1,2973.000171,,Freeway,,55,4,None,None,None,AUTO,,,
578761,N1344 SB,4,13,1,578761,,,1,2098.428922,,Arterial,,35,3,None,Sidewalk,None,ALL,,,
5787619,,13,4,1,578761,,5787619,-1,2098.428922,,Arterial,,35,3,None,None,None,ALL,,,
578556,US3 NB,10,5,1,578556,,578608,1,639.3739261,,Ramp,,55,2,None,None,None,AUTO,,,
578570,N1344 SB,9,13,1,578570,,,-1,530.8352402,,Arterial,,35,3,None,None,None,ALL,,,
5785709,,13,9,1,578570,,5785709,1,530.8352402,,Arterial,,35,2,None,None,Sidewalk,ALL,,,
578571,US3 NB,11,10,1,578571,,578608,1,621.3929635,,Ramp,,55,1,None,None,None,AUTO,,,
578597,R12677,13,10,1,578597,,,1,1020.259522,,Ramp,,35,1,None,None,None,AUTO,,,
578607,R12675,12,11,1,578607,,578608,-1,779.8103991,,Ramp,,35,2,None,None,None,AUTO,,,
578600,R12676,11,13,1,578600,,,1,1117.246779,,Ramp,,35,1,None,None,None,AUTO,,,
