link_id,name,from_node_id,to_node_id,directed,geometry_id,geometry,parent_link_id,dir_flag,length,grade,facility_type,capacity,free_speed,lanes,bike_facility,ped_facility,parking,allowed_uses,toll,jurisdiction,row_width
1,0,1,100002,1,1,"LINESTRING(1523373 1003235,1523448.678 1002967.757)",0,1,277,,hot,1800,25,1,,,,c,,,
2,0,1,101990,1,2,"LINESTRING(1523373 1003235,1523365.11 1003474.169)",0,1,239,,hot,1800,25,1,,,,c,,,
3,0,1,101997,1,3,"LINESTRING(1523373 1003235,1523666.177 1003224.848)",0,1,293,,hot,1800,25,1,,,,c,,,
4,0,1,101998,1,4,"LINESTRING(1523373 1003235,1523143 1003235)",0,1,230,,hot,1800,25,1,,,,c,,,
5,0,2,100004,1,5,"LINESTRING(1523873 1003225,1523854.344 1002961.414)",0,1,264,,hot,1800,25,1,,,,c,,,
6,0,2,101992,1,6,"LINESTRING(1523873 1003225,1523854.344 1003450.648)",0,1,226,,hot,1800,25,1,,,,c,,,
7,0,2,101996,1,7,"LINESTRING(1523873 1003225,1524150.707 1003215.44)",0,1,277,,hot,1800,25,1,,,,c,,,
8,0,2,101997,1,8,"LINESTRING(1523873 1003225,1523666.177 1003224.848)",0,1,206,,hot,1800,25,1,,,,c,,,
9,0,3,101995,1,9,"LINESTRING(1524263 1003205,1524432.957 1003196.623)",0,1,170,,hot,1800,25,1,,,,c,,,
10,0,3,101996,1,10,"LINESTRING(1524263 1003205,1524150.707 1003215.44)",0,1,112,,hot,1800,25,1,,,,c,,,
11,0,4,100020,1,11,"LINESTRING(1524224 1002265,1524428.253 1002274.606)",0,1,204,,hot,1800,25,1,,,,c,,,
12,0,4,100021,1,12,"LINESTRING(1524224 1002265,1524128.379 1002273.724)",0,1,96,,hot,1800,25,1,,,,c,,,
13,0,5,100004,1,13,"LINESTRING(1523854 1002765,1523854.344 1002961.414)",0,1,196,,hot,1800,25,1,,,,c,,,
14,0,5,100007,1,14,"LINESTRING(1523854 1002765,1524141.299 1002763.839)",0,1,287,,hot,1800,25,1,,,,c,,,
15,0,5,100008,1,15,"LINESTRING(1523854 1002765,1523666.177 1002777.952)",0,1,188,,hot,1800,25,1,,,,c,,,
16,0,5,100017,1,16,"LINESTRING(1523854 1002765,1523854 1002505)",0,1,260,,hot,1800,25,1,,,,c,,,
17,0,6,100002,1,17,"LINESTRING(1523354 1002745,1523448.678 1002967.757)",0,1,242,,hot,1800,25,1,,,,c,,,
18,0,6,100008,1,18,"LINESTRING(1523354 1002745,1523666.177 1002777.952)",0,1,313,,hot,1800,25,1,,,,c,,,
19,0,6,100009,1,19,"LINESTRING(1523354 1002745,1523129 1002769)",0,1,226,,hot,1800,25,1,,,,c,,,
20,0,6,100014,1,20,"LINESTRING(1523354 1002745,1523334 1002515)",0,1,230,,hot,1800,25,1,,,,c,,,
21,0,7,100014,1,21,"LINESTRING(1523324 1002284,1523334 1002515)",0,1,231,,hot,1800,25,1,,,,c,,,
22,0,7,100022,1,22,"LINESTRING(1523324 1002284,1523656.769 1002284.014)",0,1,332,,hot,1800,25,1,,,,c,,,
23,0,7,100023,1,23,"LINESTRING(1523324 1002284,1523123.576 1002307.867)",0,1,201,,hot,1800,25,1,,,,c,,,
24,0,7,100030,1,24,"LINESTRING(1523324 1002284,1523341.59 1001992.355)",0,1,292,,hot,1800,25,1,,,,c,,,
25,0,8,100017,1,25,"LINESTRING(1523844 1002275,1523854 1002505)",0,1,230,,hot,1800,25,1,,,,c,,,
26,0,8,100021,1,26,"LINESTRING(1523844 1002275,1524128.379 1002273.724)",0,1,284,,hot,1800,25,1,,,,c,,,
27,0,8,100022,1,27,"LINESTRING(1523844 1002275,1523656.769 1002284.014)",0,1,187,,hot,1800,25,1,,,,c,,,
28,0,8,100032,1,28,"LINESTRING(1523844 1002275,1523783.803 1001983.927)",0,1,297,,hot,1800,25,1,,,,c,,,
29,0,9,100035,1,29,"LINESTRING(1524695 1001515,1524113.746 1001766.444)",0,1,633,,hot,1800,25,1,,,,c,,,
30,0,9,100100,1,30,"LINESTRING(1524695 1001515,1524404.732 1001361.997)",0,1,328,,hot,1800,25,1,,,,c,,,
31,0,10,100032,1,31,"LINESTRING(1523804 1001755,1523783.803 1001983.927)",0,1,229,,hot,1800,25,1,,,,c,,,
32,0,10,100035,1,32,"LINESTRING(1523804 1001755,1524113.746 1001766.444)",0,1,309,,hot,1800,25,1,,,,c,,,
33,0,10,100036,1,33,"LINESTRING(1523804 1001755,1523628.544 1001775.964)",0,1,176,,hot,1800,25,1,,,,c,,,
34,0,10,100046,1,34,"LINESTRING(1523804 1001755,1523816.711 1001498.418)",0,1,256,,hot,1800,25,1,,,,c,,,
35,0,11,100030,1,35,"LINESTRING(1523374 1001765,1523341.59 1001992.355)",0,1,229,,hot,1800,25,1,,,,c,,,
36,0,11,100036,1,36,"LINESTRING(1523374 1001765,1523628.544 1001775.964)",0,1,254,,hot,1800,25,1,,,,c,,,
37,0,11,100037,1,37,"LINESTRING(1523374 1001765,1523124 1001764)",0,1,250,,hot,1800,25,1,,,,c,,,
38,0,11,100044,1,38,"LINESTRING(1523374 1001765,1523318.069 1001507.826)",0,1,263,,hot,1800,25,1,,,,c,,,
39,0,12,100044,1,39,"LINESTRING(1523304 1001264,1523318.069 1001507.826)",0,1,244,,hot,1800,25,1,,,,c,,,
40,0,12,100050,1,40,"LINESTRING(1523304 1001264,1523628.544 1001267.913)",0,1,324,,hot,1800,25,1,,,,c,,,
41,0,12,100051,1,41,"LINESTRING(1523304 1001264,1523115.789 1001272.617)",0,1,188,,hot,1800,25,1,,,,c,,,
42,0,12,100055,1,42,"LINESTRING(1523304 1001264,1523318.069 1000995.071)",0,1,269,,hot,1800,25,1,,,,c,,,
43,0,13,100046,1,43,"LINESTRING(1523815 1001245,1523816.711 1001498.418)",0,1,253,,hot,1800,25,1,,,,c,,,
44,0,13,100049,1,44,"LINESTRING(1523815 1001245,1524108.369 1001263.209)",0,1,293,,hot,1800,25,1,,,,c,,,
45,0,13,100050,1,45,"LINESTRING(1523815 1001245,1523628.544 1001267.913)",0,1,187,,hot,1800,25,1,,,,c,,,
46,0,13,100057,1,46,"LINESTRING(1523815 1001245,1523807.302 1000985.663)",0,1,259,,hot,1800,25,1,,,,c,,,
47,0,14,101975,1,47,"LINESTRING(1523402 1004955,1523420.635 1005974.716)",0,1,1019,,hot,1800,25,1,,,,c,,,
48,0,14,101983,1,48,"LINESTRING(1523402 1004955,1523704.49 1004933.912)",0,1,303,,hot,1800,25,1,,,,c,,,
49,0,14,101984,1,49,"LINESTRING(1523402 1004955,1523174.626 1004943.374)",0,1,227,,hot,1800,25,1,,,,c,,,
50,0,15,100143,1,50,"LINESTRING(1523952.454 1004620.162,1523997.7 1004348.689)",0,1,275,,hot,1800,25,1,,,,c,,,
51,0,15,101983,1,51,"LINESTRING(1523952.454 1004620.162,1523704.49 1004933.912)",0,1,399,,hot,1800,25,1,,,,c,,,
52,0,16,101900,1,52,"LINESTRING(1522041 1011125,1521427.106 1010202.493)",0,1,1108,,hot,1800,25,1,,,,c,,,
53,0,16,101961,1,53,"LINESTRING(1522041 1011125,1522370.548 1011046.904)",0,1,338,,hot,1800,25,1,,,,c,,,
54,0,17,101932,1,54,"LINESTRING(1523748 1012078,1523303.765 1012581.485)",0,1,671,,hot,1800,25,1,,,,c,,,
55,0,17,101936,1,55,"LINESTRING(1523748 1012078,1522813.264 1011988.835)",0,1,938,,hot,1800,25,1,,,,c,,,
56,0,17,101939,1,56,"LINESTRING(1523748 1012078,1523817.216 1011037.182)",0,1,1043,,hot,1800,25,1,,,,c,,,
57,0,18,100232,1,57,"LINESTRING(1511204 1011999,1510613 1011636)",0,1,693,,hot,1800,25,1,,,,c,,,
58,0,18,100235,1,58,"LINESTRING(1511204 1011999,1511483 1011209)",0,1,837,,hot,1800,25,1,,,,c,,,
59,0,18,100305,1,59,"LINESTRING(1511204 1011999,1511898.172 1012037.959)",0,1,695,,hot,1800,25,1,,,,c,,,
60,0,19,101940,1,60,"LINESTRING(1523309 1009956,1523796.709 1009962.028)",0,1,487,,hot,1800,25,1,,,,c,,,
61,0,19,101941,1,61,"LINESTRING(1523309 1009956,1522780.88 1009950.849)",0,1,528,,hot,1800,25,1,,,,c,,,
62,0,20,101940,1,62,"LINESTRING(1524720 1009927,1523796.709 1009962.028)",0,1,923,,hot,1800,25,1,,,,c,,,
63,0,20,101946,1,63,"LINESTRING(1524720 1009927,1524722.011 1008957.413)",0,1,969,,hot,1800,25,1,,,,c,,,
64,0,21,101946,1,64,"LINESTRING(1524681 1007287,1524722.011 1008957.413)",0,1,1670,,hot,1800,25,1,,,,c,,,
65,0,21,101967,1,65,"LINESTRING(1524681 1007287,1524650.676 1006343.729)",0,1,943,,hot,1800,25,1,,,,c,,,
66,0,21,101969,1,66,"LINESTRING(1524681 1007287,1523751.913 1007321.591)",0,1,929,,hot,1800,25,1,,,,c,,,
67,0,22,100172,1,67,"LINESTRING(1523211 1007546,1523242.797 1006199.04)",0,1,1347,,hot,1800,25,1,,,,c,,,
68,0,22,100208,1,68,"LINESTRING(1523211 1007546,1522977 1008354)",0,1,841,,hot,1800,25,1,,,,c,,,
69,0,22,101944,1,69,"LINESTRING(1523211 1007546,1523241.527 1008930.976)",0,1,1385,,hot,1800,25,1,,,,c,,,
70,0,22,101970,1,70,"LINESTRING(1523211 1007546,1523742.338 1007554.846)",0,1,531,,hot,1800,25,1,,,,c,,,
71,0,23,100207,1,71,"LINESTRING(1522100 1007725,1522530 1008354)",0,1,761,,hot,1800,25,1,,,,c,,,
72,0,23,100265,1,72,"LINESTRING(1522100 1007725,1521662 1007392)",0,1,550,,hot,1800,25,1,,,,c,,,
73,0,23,101892,1,73,"LINESTRING(1522100 1007725,1522077.051 1005984.178)",0,1,1740,,hot,1800,25,1,,,,c,,,
