link_geometry_id,name,facility_type,grade,geometry,length,row_width,jurisdiction
1,"",HOT,0,"LINESTRING(1523373 1003235,1523448.678 1002967.757)",277,,
2,"",HOT,0,"LINESTRING(1523373 1003235,1523365.11 1003474.169)",239,,
3,"",HOT,0,"LINESTRING(1523373 1003235,1523666.177 1003224.848)",293,,
4,"",HOT,0,"LINESTRING(1523373 1003235,1523143 1003235)",230,,
5,"",HOT,0,"LINESTRING(1523873 1003225,1523854.344 1002961.414)",264,,
6,"",HOT,0,"LINESTRING(1523873 1003225,1523854.344 1003450.648)",226,,
7,"",HOT,0,"LINESTRING(1523873 1003225,1524150.707 1003215.44)",277,,
8,"",HOT,0,"LINESTRING(1523873 1003225,1523666.177 1003224.848)",206,,
9,"",HOT,0,"LINESTRING(1524263 1003205,1524432.957 1003196.623)",170,,
10,"",HOT,0,"LINESTRING(1524263 1003205,1524150.707 1003215.44)",112,,
11,"",HOT,0,"LINESTRING(1524224 1002265,1524428.253 1002274.606)",204,,
12,"",HOT,0,"LINESTRING(1524224 1002265,1524128.379 1002273.724)",96,,
13,"",HOT,0,"LINESTRING(1523854 1002765,1523854.344 1002961.414)",196,,
14,"",HOT,0,"LINESTRING(1523854 1002765,1524141.299 1002763.839)",287,,
15,"",HOT,0,"LINESTRING(1523854 1002765,1523666.177 1002777.952)",188,,
16,"",HOT,0,"LINESTRING(1523854 1002765,1523854 1002505)",260,,
17,"",HOT,0,"LINESTRING(1523354 1002745,1523448.678 1002967.757)",242,,
18,"",HOT,0,"LINESTRING(1523354 1002745,1523666.177 1002777.952)",313,,
19,"",HOT,0,"LINESTRING(1523354 1002745,1523129 1002769)",226,,
20,"",HOT,0,"LINESTRING(1523354 1002745,1523334 1002515)",230,,
21,"",HOT,0,"LINESTRING(1523324 1002284,1523334 1002515)",231,,
22,"",HOT,0,"LINESTRING(1523324 1002284,1523656.769 1002284.014)",332,,
23,"",HOT,0,"LINESTRING(1523324 1002284,1523123.576 1002307.867)",201,,
24,"",HOT,0,"LINESTRING(1523324 1002284,1523341.59 1001992.355)",292,,
25,"",HOT,0,"LINESTRING(1523844 1002275,1523854 1002505)",230,,
26,"",HOT,0,"LINESTRING(1523844 1002275,1524128.379 1002273.724)",284,,
27,"",HOT,0,"LINESTRING(1523844 1002275,1523656.769 1002284.014)",187,,
28,"",HOT,0,"LINESTRING(1523844 1002275,1523783.803 1001983.927)",297,,
29,"",HOT,0,"LINESTRING(1524695 1001515,1524113.746 1001766.444)",633,,
30,"",HOT,0,"LINESTRING(1524695 1001515,1524404.732 1001361.997)",328,,
31,"",HOT,0,"LINESTRING(1523804 1001755,1523783.803 1001983.927)",229,,
32,"",HOT,0,"LINESTRING(1523804 1001755,1524113.746 1001766.444)",309,,
33,"",HOT,0,"LINESTRING(1523804 1001755,1523628.544 1001775.964)",176,,
34,"",HOT,0,"LINESTRING(1523804 1001755,1523816.711 1001498.418)",256,,
35,"",HOT,0,"LINESTRING(1523374 1001765,1523341.59 1001992.355)",229,,
36,"",HOT,0,"LINESTRING(1523374 1001765,1523628.544 1001775.964)",254,,
37,"",HOT,0,"LINESTRING(1523374 1001765,1523124 1001764)",250,,
38,"",HOT,0,"LINESTRING(1523374 1001765,1523318.069 1001507.826)",263,,
39,"",HOT,0,"LINESTRING(1523304 1001264,1523318.069 1001507.826)",244,,
40,"",HOT,0,"LINESTRING(1523304 1001264,1523628.544 1001267.913)",324,,
41,"",HOT,0,"LINESTRING(1523304 1001264,1523115.789 1001272.617)",188,,
42,"",HOT,0,"LINESTRING(1523304 1001264,1523318.069 1000995.071)",269,,
43,"",HOT,0,"LINESTRING(1523815 1001245,1523816.711 1001498.418)",253,,
44,"",HOT,0,"LINESTRING(1523815 1001245,1524108.369 1001263.209)",293,,
45,"",HOT,0,"LINESTRING(1523815 1001245,1523628.544 1001267.913)",187,,
46,"",HOT,0,"LINESTRING(1523815 1001245,1523807.302 1000985.663)",259,,
47,"",HOT,0,"LINESTRING(1523402 1004955,1523420.635 1005974.716)",1019,,
48,"",HOT,0,"LINESTRING(1523402 1004955,1523704.49 1004933.912)",303,,
49,"",HOT,0,"LINESTRING(1523402 1004955,1523174.626 1004943.374)",227,,
50,"",HOT,0,"LINESTRING(1523952.454 1004620.162,1523997.7 1004348.689)",275,,
51,"",HOT,0,"LINESTRING(1523952.454 1004620.162,1523704.49 1004933.912)",399,,
52,"",HOT,0,"LINESTRING(1522041 1011125,1521427.106 1010202.493)",1108,,
53,"",HOT,0,"LINESTRING(1522041 1011125,1522370.548 1011046.904)",338,,
54,"",HOT,0,"LINESTRING(1523748 1012078,1523303.765 1012581.485)",671,,
55,"",HOT,0,"LINESTRING(1523748 1012078,1522813.264 1011988.835)",938,,
56,"",HOT,0,"LINESTRING(1523748 1012078,1523817.216 1011037.182)",1043,,
57,"",HOT,0,"LINESTRING(1511204 1011999,1510613 1011636)",693,,
58,"",HOT,0,"LINESTRING(1511204 1011999,1511483 1011209)",837,,
59,"",HOT,0,"LINESTRING(1511204 1011999,1511898.172 1012037.959)",695,,
60,"",HOT,0,"LINESTRING(1523309 1009956,1523796.709 1009962.028)",487,,
61,"",HOT,0,"LINESTRING(1523309 1009956,1522780.88 1009950.849)",528,,
62,"",HOT,0,"LINESTRING(1524720 1009927,1523796.709 1009962.028)",923,,
