"Physical_Link_ID","Name","A_Node","B_Node","AB_Link","BA_Link","Grade","Geometry","Length","ROWWidth","Jurisdiction"
1,NA,1,100002,"1 100002","100002 1",0,"LINESTRING(1523373 1003235,1523448.678 1002967.757)",277,NA,NA
2,NA,1,101990,"1 101990","101990 1",0,"LINESTRING(1523373 1003235,1523365.11 1003474.169)",239,NA,NA
3,NA,1,101997,"1 101997","101997 1",0,"LINESTRING(1523373 1003235,1523666.177 1003224.848)",293,NA,NA
4,NA,1,101998,"1 101998","101998 1",0,"LINESTRING(1523373 1003235,1523143 1003235)",230,NA,NA
5,NA,2,100004,"2 100004","100004 2",0,"LINESTRING(1523873 1003225,1523854.344 1002961.414)",264,NA,NA
6,NA,2,101992,"2 101992","101992 2",0,"LINESTRING(1523873 1003225,1523854.344 1003450.648)",226,NA,NA
7,NA,2,101996,"2 101996","101996 2",0,"LINESTRING(1523873 1003225,1524150.707 1003215.44)",277,NA,NA
8,NA,2,101997,"2 101997","101997 2",0,"LINESTRING(1523873 1003225,1523666.177 1003224.848)",206,NA,NA
9,NA,3,101995,"3 101995","101995 3",0,"LINESTRING(1524263 1003205,1524432.957 1003196.623)",170,NA,NA
10,NA,3,101996,"3 101996","101996 3",0,"LINESTRING(1524263 1003205,1524150.707 1003215.44)",112,NA,NA
11,NA,4,100020,"4 100020","100020 4",0,"LINESTRING(1524224 1002265,1524428.253 1002274.606)",204,NA,NA
12,NA,4,100021,"4 100021","100021 4",0,"LINESTRING(1524224 1002265,1524128.379 1002273.724)",96,NA,NA
13,NA,5,100004,"5 100004","100004 5",0,"LINESTRING(1523854 1002765,1523854.344 1002961.414)",196,NA,NA
14,NA,5,100007,"5 100007","100007 5",0,"LINESTRING(1523854 1002765,1524141.299 1002763.839)",287,NA,NA
15,NA,5,100008,"5 100008","100008 5",0,"LINESTRING(1523854 1002765,1523666.177 1002777.952)",188,NA,NA
16,NA,5,100017,"5 100017","100017 5",0,"LINESTRING(1523854 1002765,1523854 1002505)",260,NA,NA
17,NA,6,100002,"6 100002","100002 6",0,"LINESTRING(1523354 1002745,1523448.678 1002967.757)",242,NA,NA
18,NA,6,100008,"6 100008","100008 6",0,"LINESTRING(1523354 1002745,1523666.177 1002777.952)",313,NA,NA
19,NA,6,100009,"6 100009","100009 6",0,"LINESTRING(1523354 1002745,1523129 1002769)",226,NA,NA
20,NA,6,100014,"6 100014","100014 6",0,"LINESTRING(1523354 1002745,1523334 1002515)",230,NA,NA
21,NA,7,100014,"7 100014","100014 7",0,"LINESTRING(1523324 1002284,1523334 1002515)",231,NA,NA
22,NA,7,100022,"7 100022","100022 7",0,"LINESTRING(1523324 1002284,1523656.769 1002284.014)",332,NA,NA
23,NA,7,100023,"7 100023","100023 7",0,"LINESTRING(1523324 1002284,1523123.576 1002307.867)",201,NA,NA
24,NA,7,100030,"7 100030","100030 7",0,"LINESTRING(1523324 1002284,1523341.59 1001992.355)",292,NA,NA
25,NA,8,100017,"8 100017","100017 8",0,"LINESTRING(1523844 1002275,1523854 1002505)",230,NA,NA
26,NA,8,100021,"8 100021","100021 8",0,"LINESTRING(1523844 1002275,1524128.379 1002273.724)",284,NA,NA
27,NA,8,100022,"8 100022","100022 8",0,"LINESTRING(1523844 1002275,1523656.769 1002284.014)",187,NA,NA
28,NA,8,100032,"8 100032","100032 8",0,"LINESTRING(1523844 1002275,1523783.803 1001983.927)",297,NA,NA
29,NA,9,100035,"9 100035","100035 9",0,"LINESTRING(1524695 1001515,1524113.746 1001766.444)",633,NA,NA
30,NA,9,100100,"9 100100","100100 9",0,"LINESTRING(1524695 1001515,1524404.732 1001361.997)",328,NA,NA
31,NA,10,100032,"10 100032","100032 10",0,"LINESTRING(1523804 1001755,1523783.803 1001983.927)",229,NA,NA
32,NA,10,100035,"10 100035","100035 10",0,"LINESTRING(1523804 1001755,1524113.746 1001766.444)",309,NA,NA
33,NA,10,100036,"10 100036","100036 10",0,"LINESTRING(1523804 1001755,1523628.544 1001775.964)",176,NA,NA
34,NA,10,100046,"10 100046","100046 10",0,"LINESTRING(1523804 1001755,1523816.711 1001498.418)",256,NA,NA
35,NA,11,100030,"11 100030","100030 11",0,"LINESTRING(1523374 1001765,1523341.59 1001992.355)",229,NA,NA
36,NA,11,100036,"11 100036","100036 11",0,"LINESTRING(1523374 1001765,1523628.544 1001775.964)",254,NA,NA
37,NA,11,100037,"11 100037","100037 11",0,"LINESTRING(1523374 1001765,1523124 1001764)",250,NA,NA
38,NA,11,100044,"11 100044","100044 11",0,"LINESTRING(1523374 1001765,1523318.069 1001507.826)",263,NA,NA
39,NA,12,100044,"12 100044","100044 12",0,"LINESTRING(1523304 1001264,1523318.069 1001507.826)",244,NA,NA
40,NA,12,100050,"12 100050","100050 12",0,"LINESTRING(1523304 1001264,1523628.544 1001267.913)",324,NA,NA
41,NA,12,100051,"12 100051","100051 12",0,"LINESTRING(1523304 1001264,1523115.789 1001272.617)",188,NA,NA
42,NA,12,100055,"12 100055","100055 12",0,"LINESTRING(1523304 1001264,1523318.069 1000995.071)",269,NA,NA
43,NA,13,100046,"13 100046","100046 13",0,"LINESTRING(1523815 1001245,1523816.711 1001498.418)",253,NA,NA
44,NA,13,100049,"13 100049","100049 13",0,"LINESTRING(1523815 1001245,1524108.369 1001263.209)",293,NA,NA
45,NA,13,100050,"13 100050","100050 13",0,"LINESTRING(1523815 1001245,1523628.544 1001267.913)",187,NA,NA
46,NA,13,100057,"13 100057","100057 13",0,"LINESTRING(1523815 1001245,1523807.302 1000985.663)",259,NA,NA
47,NA,14,101975,"14 101975","101975 14",0,"LINESTRING(1523402 1004955,1523420.635 1005974.716)",1019,NA,NA
48,NA,14,101983,"14 101983","101983 14",0,"LINESTRING(1523402 1004955,1523704.49 1004933.912)",303,NA,NA
49,NA,14,101984,"14 101984","101984 14",0,"LINESTRING(1523402 1004955,1523174.626 1004943.374)",227,NA,NA
50,NA,15,100143,"15 100143","100143 15",0,"LINESTRING(1523952.454 1004620.162,1523997.7 1004348.689)",275,NA,NA
51,NA,15,101983,"15 101983","101983 15",0,"LINESTRING(1523952.454 1004620.162,1523704.49 1004933.912)",399,NA,NA
52,NA,16,101900,"16 101900","101900 16",0,"LINESTRING(1522041 1011125,1521427.106 1010202.493)",1108,NA,NA
53,NA,16,101961,"16 101961","101961 16",0,"LINESTRING(1522041 1011125,1522370.548 1011046.904)",338,NA,NA
54,NA,17,101932,"17 101932","101932 17",0,"LINESTRING(1523748 1012078,1523303.765 1012581.485)",671,NA,NA
55,NA,17,101936,"17 101936","101936 17",0,"LINESTRING(1523748 1012078,1522813.264 1011988.835)",938,NA,NA
56,NA,17,101939,"17 101939","101939 17",0,"LINESTRING(1523748 1012078,1523817.216 1011037.182)",1043,NA,NA
57,NA,18,100232,"18 100232","100232 18",0,"LINESTRING(1511204 1011999,1510613 1011636)",693,NA,NA
58,NA,18,100235,"18 100235","100235 18",0,"LINESTRING(1511204 1011999,1511483 1011209)",837,NA,NA
59,NA,18,100305,"18 100305","100305 18",0,"LINESTRING(1511204 1011999,1511898.172 1012037.959)",695,NA,NA
60,NA,19,101940,"19 101940","101940 19",0,"LINESTRING(1523309 1009956,1523796.709 1009962.028)",487,NA,NA
61,NA,19,101941,"19 101941","101941 19",0,"LINESTRING(1523309 1009956,1522780.88 1009950.849)",528,NA,NA
62,NA,20,101940,"20 101940","101940 20",0,"LINESTRING(1524720 1009927,1523796.709 1009962.028)",923,NA,NA
63,NA,20,101946,"20 101946","101946 20",0,"LINESTRING(1524720 1009927,1524722.011 1008957.413)",969,NA,NA
64,NA,21,101946,"21 101946","101946 21",0,"LINESTRING(1524681 1007287,1524722.011 1008957.413)",1670,NA,NA
65,NA,21,101967,"21 101967","101967 21",0,"LINESTRING(1524681 1007287,1524650.676 1006343.729)",943,NA,NA
66,NA,21,101969,"21 101969","101969 21",0,"LINESTRING(1524681 1007287,1523751.913 1007321.591)",929,NA,NA
67,NA,22,100172,"22 100172","100172 22",0,"LINESTRING(1523211 1007546,1523242.797 1006199.04)",1347,NA,NA
68,NA,22,100208,"22 100208","100208 22",0,"LINESTRING(1523211 1007546,1522977 1008354)",841,NA,NA
69,NA,22,101944,"22 101944","101944 22",0,"LINESTRING(1523211 1007546,1523241.527 1008930.976)",1385,NA,NA
70,NA,22,101970,"22 101970","101970 22",0,"LINESTRING(1523211 1007546,1523742.338 1007554.846)",531,NA,NA
71,NA,23,100207,"23 100207","100207 23",0,"LINESTRING(1522100 1007725,1522530 1008354)",761,NA,NA
72,NA,23,100265,"23 100265","100265 23",0,"LINESTRING(1522100 1007725,1521662 1007392)",550,NA,NA
73,NA,23,101892,"23 101892","101892 23",0,"LINESTRING(1522100 1007725,1522077.051 1005984.178)",1740,NA,NA
74,NA,24,101783,"24 101783","101783 24",0,"LINESTRING(1514001 1019473,1509824.635 1019373.68)",4177,NA,NA
75,NA,24,101786,"24 101786","101786 24",0,"LINESTRING(1514001 1019473,1514014.935 1016848.925)",2624,NA,NA
76,NA,24,101909,"24 101909","101909 24",0,"LINESTRING(1514001 1019473,1517544.305 1020351.857)",3650,NA,NA
77,NA,25,101906,"25 101906","101906 25",0,"LINESTRING(1520931 1021918,1520292 1019557)",2445,NA,NA
78,NA,25,101922,"25 101922","101922 25",0,"LINESTRING(1520931 1021918,1522961 1022240)",2055,NA,NA
79,NA,26,101919,"26 101919","101919 26",0,"LINESTRING(1525292 1022231,1525330 1024882)",2651,NA,NA
80,NA,26,101922,"26 101922","101922 26",0,"LINESTRING(1525292 1022231,1522961 1022240)",2331,NA,NA
81,NA,27,100131,"27 100131","100131 27",0,"LINESTRING(1530894 1021975,1533572.191 1023488.576)",3076,NA,NA
82,NA,27,101917,"27 101917","101917 27",0,"LINESTRING(1530894 1021975,1530272 1024915)",3005,NA,NA
83,NA,27,101926,"27 101926","101926 27",0,"LINESTRING(1530894 1021975,1528798.62 1019625.949)",3147,NA,NA
84,NA,28,101924,"28 101924","101924 28",0,"LINESTRING(1524925 1016980,1524943 1019640)",2660,NA,NA
85,NA,28,101929,"28 101929","101929 28",0,"LINESTRING(1524925 1016980,1522831.345 1013765.698)",3836,NA,NA
86,NA,29,100268,"29 100268","100268 29",0,"LINESTRING(1520967 1017101,1521967.108 1012958.852)",4261,NA,NA
87,NA,29,101906,"29 101906","101906 29",0,"LINESTRING(1520967 1017101,1520292 1019557)",2547,NA,NA
88,NA,29,101928,"29 101928","101928 29",0,"LINESTRING(1520967 1017101,1522894 1016948)",1933,NA,NA
89,NA,30,100751,"30 100751","100751 30",0,"LINESTRING(1507425 1024921,1507150 1029906)",4992,NA,NA
90,NA,30,101775,"30 101775","101775 30",0,"LINESTRING(1507425 1024921,1503985.231 1025627.783)",3511,NA,NA
91,NA,30,101781,"30 101781","101781 30",0,"LINESTRING(1507425 1024921,1509747.818 1024816.096)",2325,NA,NA
92,NA,31,101781,"31 101781","101781 31",0,"LINESTRING(1513827 1024725,1509747.818 1024816.096)",4080,NA,NA
93,NA,31,101907,"31 101907","101907 31",0,"LINESTRING(1513827 1024725,1517564.023 1024728.936)",3737,NA,NA
94,NA,32,101908,"32 101908","101908 32",0,"LINESTRING(1519421.348 1027000.82,1517583.961 1027318.066)",1864,NA,NA
95,NA,32,101912,"32 101912","101912 32",0,"LINESTRING(1519421.348 1027000.82,1521842.24 1026442.485)",2484,NA,NA
96,NA,33,100133,"33 100133","100133 33",0,"LINESTRING(1528420 1027515,1533578.962 1027030.119)",5181,NA,NA
97,NA,33,101915,"33 101915","101915 33",0,"LINESTRING(1528420 1027515,1528508 1030136)",2622,NA,NA
98,NA,33,101916,"33 101916","101916 33",0,"LINESTRING(1528420 1027515,1525429 1027533)",2991,NA,NA
99,NA,33,101918,"33 101918","101918 33",0,"LINESTRING(1528420 1027515,1528367.371 1024866.64)",2648,NA,NA
100,NA,34,100144,"34 100144","100144 34",0,"LINESTRING(1525423 1005196,1525254.52 1004348.689)",863,NA,NA
101,NA,34,100212,"34 100212","100212 34",0,"LINESTRING(1525423 1005196,1525470 1005621)",427,NA,NA
102,NA,35,100096,"35 100096","100096 35",0,"LINESTRING(1525674 1003396,1525549.76 1002927.561)",484,NA,NA
103,NA,35,101952,"35 101952","101952 35",0,"LINESTRING(1525674 1003396,1525170 1003456)",507,NA,NA
104,NA,36,101935,"36 101935","101935 36",0,"LINESTRING(1526310 1010389,1528086.894 1010461.225)",1778,NA,NA
105,NA,36,101948,"36 101948","101948 36",0,"LINESTRING(1526310 1010389,1526313.469 1008981.403)",1407,NA,NA
106,NA,37,100213,"37 100213","100213 37",0,"LINESTRING(1525471 1007787,1525448 1006848)",939,NA,NA
107,NA,37,101947,"37 101947","101947 37",0,"LINESTRING(1525471 1007787,1525499.773 1009039.572)",1252,NA,NA
108,NA,38,101949,"38 101949","101949 38",0,"LINESTRING(1527361 1007748,1527417.053 1009359.197)",1612,NA,NA
109,NA,38,101951,"38 101951","101951 38",0,"LINESTRING(1527361 1007748,1528043.404 1007723.345)",682,NA,NA
110,NA,38,101964,"38 101964","101964 38",0,"LINESTRING(1527361 1007748,1527392.259 1006695.344)",1053,NA,NA
111,NA,39,100214,"39 100214","100214 39",0,"LINESTRING(1530722.073 1010795.08,1530704.612 1007598.863)",3196,NA,NA
112,NA,39,100220,"39 100220","100220 39",0,"LINESTRING(1530722.073 1010795.08,1530785.114 1014333.419)",3538,NA,NA
113,NA,40,101962,"40 101962","101962 40",0,"LINESTRING(1529813 1006220,1529088.586 1006999.35)",1064,NA,NA
114,NA,41,100175,"41 100175","100175 41",0,"LINESTRING(1508488 1001637,1508631.919 1001198.99)",461,NA,NA
115,NA,41,100744,"41 100744","100744 41",0,"LINESTRING(1508488 1001637,1508485.469 1002263.197)",626,NA,NA
116,NA,42,100102,"42 100102","100102 42",0,"LINESTRING(1528345 1003328,1528369.186 1002890.151)",438,NA,NA
117,NA,43,101927,"43 101927","101927 43",0,"LINESTRING(1529627 1016182,1528166 1016221)",1461,NA,NA
118,NA,43,101934,"43 101934","101934 43",0,"LINESTRING(1529627 1016182,1529573.242 1014297.733)",1885,NA,NA
119,NA,44,100183,"44 100183","100183 44",0,"LINESTRING(1537870 1013607,1537475.844 1014323.652)",817,NA,NA
120,NA,44,100185,"44 100185","100185 44",0,"LINESTRING(1537870 1013607,1538700 1013547)",832,NA,NA
121,NA,45,100125,"45 100125","100125 45",0,"LINESTRING(1541263 1011698,1541280.484 1009186.036)",2512,NA,NA
122,NA,45,100166,"45 100166","100166 45",0,"LINESTRING(1541263 1011698,1538746.257 1011710.929)",2516,NA,NA
123,NA,45,100182,"45 100182","100182 45",0,"LINESTRING(1541263 1011698,1541386.08 1015255.958)",3560,NA,NA
124,NA,46,100125,"46 100125","100125 46",0,"LINESTRING(1538323.502 1007384.282,1541280.484 1009186.036)",3462,NA,NA
125,NA,47,100126,"47 100126","100126 47",0,"LINESTRING(1537052 1025750,1534289.407 1024965.057)",2871,NA,NA
126,NA,47,100568,"47 100568","100568 47",0,"LINESTRING(1537052 1025750,1538929.54 1025410.799)",1907,NA,NA
127,NA,48,100198,"48 100198","100198 48",0,"LINESTRING(1547583 1027882,1549509.019 1028098.244)",1938,NA,NA
128,NA,49,100196,"49 100196","100196 49",0,"LINESTRING(1550594 1022186,1549417.161 1021407.168)",1411,NA,NA
129,NA,50,100194,"50 100194","100194 50",0,"LINESTRING(1550372 1016409,1549316.334 1016315.382)",1059,NA,NA
130,NA,51,100155,"51 100155","100155 51",0,"LINESTRING(1550657 1011827,1549249.116 1011694.124)",1414,NA,NA
131,NA,52,100128,"52 100128","100128 52",0,"LINESTRING(1543746 1005428,1542551.912 1003728.689)",2076,NA,NA
