lane_id,road_link_id,segment_id,lane_num,allowed_uses,r_barrier,l_barrier,width
1,1 100002,,1,,,,
2,1 101990,,1,,,,
3,1 101997,,1,,,,
4,1 101998,,1,,,,
5,10 100032,,1,,,,
6,10 100035,,1,,,,
7,10 100036,,1,,,,
8,10 100046,,1,,,,
9,100 100263,,1,,,,
10,100 100497,,1,,,,
11,100000 100001,,1,,,,
12,100000 100001,977,-1,,,,
13,100000 100283,,1,,,,
14,100000 100289,,1,,,,
15,100000 100289,,2,,,,
16,100001 100000,,1,,,,
17,100001 100000,980,-1,,,,
18,100001 100002,,1,,,,
19,100001 101998,,1,,,,
20,100001 101998,,2,,,,
21,100002 1,,1,,,,
22,100002 100001,,1,,,,
23,100002 100003,,1,,,,
24,100002 100003,986,-1,,,,
25,100002 6,,1,,,,
26,100003 100002,,1,,,,
27,100003 100004,,1,,,,
28,100003 100008,,1,,,,
29,100003 101997,,1,,,,
30,100003 101997,,2,,,,
31,100004 100003,,1,,,,
32,100004 100003,993,-1,,,,
33,100004 100005,,1,,,,
34,100004 2,,1,,,,
35,100004 5,,1,,,,
36,100005 100004,,1,,,,
37,100005 100004,,2,,,,
38,100005 100006,,1,,,,
39,100005 100006,,2,,,,
40,100005 100007,,1,,,,
41,100005 100007,,2,,,,
42,100006 100005,,1,,,,
43,100006 100005,,2,,,,
44,100006 100097,,1,,,,
45,100006 100097,,2,,,,
46,100006 100097,999,-1,,,,
47,100006 101995,,1,,,,
48,100006 101995,,2,,,,
49,100007 100018,,1,,,,
50,100007 100018,,2,,,,
51,100007 5,,1,,,,
52,100008 100003,,1,,,,
53,100008 100016,,1,,,,
54,100008 5,,1,,,,
55,100008 6,,1,,,,
56,100009 100001,,1,,,,
57,100009 100001,,2,,,,
58,100009 6,,1,,,,
59,100010 100011,,1,,,,
60,100010 100011,,2,,,,
61,100010 100025,,1,,,,
62,100010 100290,,1,,,,
63,100011 100012,,1,,,,
64,100011 100012,,2,,,,
65,100011 135,,1,,,,
66,100011 187,,1,,,,
67,100012 100013,,1,,,,
68,100012 100013,,2,,,,
69,100012 100024,,1,,,,
70,100012 100024,,2,,,,
71,100013 100009,,1,,,,
