mvmt_id,node_id,name,ib_link_id,ib_lane,ob_link_id,ob_lane,type,penalty,capacity,ctrl_type
1,1,,100002 1,1,1 100002,1,U-Turn,,,
2,1,,101990 1,1,1 101990,1,U-Turn,,,
3,1,,101997 1,1,1 101997,1,U-Turn,,,
4,1,,101998 1,1,1 101998,1,U-Turn,,,
5,2,,100004 2,1,2 100004,1,U-Turn,,,
6,2,,101992 2,1,2 101992,1,U-Turn,,,
7,2,,101996 2,1,2 101996,1,U-Turn,,,
8,2,,101997 2,1,2 101997,1,U-Turn,,,
9,3,,101995 3,1,3 101995,1,U-Turn,,,
10,3,,101996 3,1,3 101996,1,U-Turn,,,
11,4,,100020 4,1,4 100020,1,U-Turn,,,
12,4,,100021 4,1,4 100021,1,U-Turn,,,
13,5,,100004 5,1,5 100004,1,U-Turn,,,
14,5,,100007 5,1,5 100007,1,U-Turn,,,
15,5,,100008 5,1,5 100008,1,U-Turn,,,
16,5,,100017 5,1,5 100017,1,U-Turn,,,
17,6,,100002 6,1,6 100002,1,U-Turn,,,
18,6,,100008 6,1,6 100008,1,U-Turn,,,
19,6,,100009 6,1,6 100009,1,U-Turn,,,
20,6,,100014 6,1,6 100014,1,U-Turn,,,
21,7,,100014 7,1,7 100014,1,U-Turn,,,
22,7,,100022 7,1,7 100022,1,U-Turn,,,
23,7,,100023 7,1,7 100023,1,U-Turn,,,
24,7,,100030 7,1,7 100030,1,U-Turn,,,
25,8,,100017 8,1,8 100017,1,U-Turn,,,
26,8,,100021 8,1,8 100021,1,U-Turn,,,
27,8,,100022 8,1,8 100022,1,U-Turn,,,
28,8,,100032 8,1,8 100032,1,U-Turn,,,
29,9,,100035 9,1,9 100035,1,U-Turn,,,
30,9,,100100 9,1,9 100100,1,U-Turn,,,
31,10,,100032 10,1,10 100032,1,U-Turn,,,
32,10,,100035 10,1,10 100035,1,U-Turn,,,
33,10,,100036 10,1,10 100036,1,U-Turn,,,
34,10,,100046 10,1,10 100046,1,U-Turn,,,
35,11,,100030 11,1,11 100030,1,U-Turn,,,
36,11,,100036 11,1,11 100036,1,U-Turn,,,
37,11,,100037 11,1,11 100037,1,U-Turn,,,
38,11,,100044 11,1,11 100044,1,U-Turn,,,
39,12,,100044 12,1,12 100044,1,U-Turn,,,
40,12,,100050 12,1,12 100050,1,U-Turn,,,
41,12,,100051 12,1,12 100051,1,U-Turn,,,
42,12,,100055 12,1,12 100055,1,U-Turn,,,
43,13,,100046 13,1,13 100046,1,U-Turn,,,
44,13,,100049 13,1,13 100049,1,U-Turn,,,
45,13,,100050 13,1,13 100050,1,U-Turn,,,
46,13,,100057 13,1,13 100057,1,U-Turn,,,
47,14,,101975 14,1,14 101975,1,U-Turn,,,
48,14,,101983 14,1,14 101983,1,U-Turn,,,
49,14,,101984 14,1,14 101984,1,U-Turn,,,
50,15,,100143 15,1,15 100143,1,U-Turn,,,
51,15,,101983 15,1,15 101983,1,U-Turn,,,
52,16,,101900 16,1,16 101900,1,U-Turn,,,
53,16,,101961 16,1,16 101961,1,U-Turn,,,
54,17,,101932 17,1,17 101932,1,U-Turn,,,
55,17,,101936 17,1,17 101936,1,U-Turn,,,
56,17,,101939 17,1,17 101939,1,U-Turn,,,
57,18,,100232 18,1,18 100232,1,U-Turn,,,
58,18,,100235 18,1,18 100235,1,U-Turn,,,
59,18,,100305 18,1,18 100305,1,U-Turn,,,
60,19,,101940 19,1,19 101940,1,U-Turn,,,
61,19,,101941 19,1,19 101941,1,U-Turn,,,
62,20,,101940 20,1,20 101940,1,U-Turn,,,
63,20,,101946 20,1,20 101946,1,U-Turn,,,
64,21,,101946 21,1,21 101946,1,U-Turn,,,
65,21,,101967 21,1,21 101967,1,U-Turn,,,
66,21,,101969 21,1,21 101969,1,U-Turn,,,
67,22,,100172 22,1,22 100172,1,U-Turn,,,
68,22,,100208 22,1,22 100208,1,U-Turn,,,
69,22,,101944 22,1,22 101944,1,U-Turn,,,
70,22,,101970 22,1,22 101970,1,U-Turn,,,
71,23,,100207 23,1,23 100207,1,U-Turn,,,
72,23,,100265 23,1,23 100265,1,U-Turn,,,
73,23,,101892 23,1,23 101892,1,U-Turn,,,
74,24,,101783 24,1,24 101783,1,U-Turn,,,
75,24,,101786 24,1,24 101786,1,U-Turn,,,
76,24,,101909 24,1,24 101909,1,U-Turn,,,
77,25,,101906 25,1,25 101906,1,U-Turn,,,
78,25,,101922 25,1,25 101922,1,U-Turn,,,
79,26,,101919 26,1,26 101919,1,U-Turn,,,
80,26,,101922 26,1,26 101922,1,U-Turn,,,
81,27,,100131 27,1,27 100131,1,U-Turn,,,
82,27,,101917 27,1,27 101917,1,U-Turn,,,
83,27,,101926 27,1,27 101926,1,U-Turn,,,
84,28,,101924 28,1,28 101924,1,U-Turn,,,
85,28,,101929 28,1,28 101929,1,U-Turn,,,
86,29,,100268 29,1,29 100268,1,U-Turn,,,
87,29,,101906 29,1,29 101906,1,U-Turn,,,
88,29,,101928 29,1,29 101928,1,U-Turn,,,
89,30,,100751 30,1,30 100751,1,U-Turn,,,
90,30,,101775 30,1,30 101775,1,U-Turn,,,
91,30,,101781 30,1,30 101781,1,U-Turn,,,
92,31,,101781 31,1,31 101781,1,U-Turn,,,
93,31,,101907 31,1,31 101907,1,U-Turn,,,
94,32,,101908 32,1,32 101908,1,U-Turn,,,
95,32,,101912 32,1,32 101912,1,U-Turn,,,
96,33,,100133 33,1,33 100133,1,U-Turn,,,
97,33,,101915 33,1,33 101915,1,U-Turn,,,
98,33,,101916 33,1,33 101916,1,U-Turn,,,
99,33,,101918 33,1,33 101918,1,U-Turn,,,
100,34,,100144 34,1,34 100144,1,U-Turn,,,
101,34,,100212 34,1,34 100212,1,U-Turn,,,
102,35,,100096 35,1,35 100096,1,U-Turn,,,
103,35,,101952 35,1,35 101952,1,U-Turn,,,
104,36,,101935 36,1,36 101935,1,U-Turn,,,
105,36,,101948 36,1,36 101948,1,U-Turn,,,
106,37,,100213 37,1,37 100213,1,U-Turn,,,
107,37,,101947 37,1,37 101947,1,U-Turn,,,
108,38,,101949 38,1,38 101949,1,U-Turn,,,
109,38,,101951 38,1,38 101951,1,U-Turn,,,
110,38,,101964 38,1,38 101964,1,U-Turn,,,
111,39,,100214 39,1,39 100214,1,U-Turn,,,
112,39,,100220 39,1,39 100220,1,U-Turn,,,
113,40,,101962 40,1,40 101962,1,U-Turn,,,
114,41,,100175 41,1,41 100175,1,U-Turn,,,
115,41,,100744 41,1,41 100744,1,U-Turn,,,
116,42,,100102 42,1,42 100102,1,U-Turn,,,
117,43,,101927 43,1,43 101927,1,U-Turn,,,
118,43,,101934 43,1,43 101934,1,U-Turn,,,
119,44,,100183 44,1,44 100183,1,U-Turn,,,
120,44,,100185 44,1,44 100185,1,U-Turn,,,
121,45,,100125 45,1,45 100125,1,U-Turn,,,
122,45,,100166 45,1,45 100166,1,U-Turn,,,
123,45,,100182 45,1,45 100182,1,U-Turn,,,
124,46,,100125 46,1,46 100125,1,U-Turn,,,
125,47,,100126 47,1,47 100126,1,U-Turn,,,
126,47,,100568 47,1,47 100568,1,U-Turn,,,
127,48,,100198 48,1,48 100198,1,U-Turn,,,
128,49,,100196 49,1,49 100196,1,U-Turn,,,
129,50,,100194 50,1,50 100194,1,U-Turn,,,
130,51,,100155 51,1,51 100155,1,U-Turn,,,
131,52,,100128 52,1,52 100128,1,U-Turn,,,
132,52,,100152 52,1,52 100152,1,U-Turn,,,
133,53,,100094 53,1,53 100094,1,U-Turn,,,
134,53,,100095 53,1,53 100095,1,U-Turn,,,
135,54,,100089 54,1,54 100089,1,U-Turn,,,
136,54,,101957 54,1,54 101957,1,U-Turn,,,
137,55,,100087 55,1,55 100087,1,U-Turn,,,
138,55,,100099 55,1,55 100099,1,U-Turn,,,
139,55,,100258 55,1,55 100258,1,U-Turn,,,
140,56,,100084 56,1,56 100084,1,U-Turn,,,
141,57,,100103 57,1,57 100103,1,U-Turn,,,
142,57,,100106 57,1,57 100106,1,U-Turn,,,
143,58,,100104 58,1,58 100104,1,U-Turn,,,
144,58,,100110 58,1,58 100110,1,U-Turn,,,
145,59,,100106 59,1,59 100106,1,U-Turn,,,
146,59,,100218 59,1,59 100218,1,U-Turn,,,
147,59,,100223 59,1,59 100223,1,U-Turn,,,
148,60,,100085 60,1,60 100085,1,U-Turn,,,
149,61,,100110 61,1,61 100110,1,U-Turn,,,
150,62,,100599 62,1,62 100599,1,U-Turn,,,
151,63,,100238 63,1,63 100238,1,U-Turn,,,
152,63,,100242 63,1,63 100242,1,U-Turn,,,
153,63,,100243 63,1,63 100243,1,U-Turn,,,
154,64,,100161 64,1,64 100161,1,U-Turn,,,
155,65,,100117 65,1,65 100117,1,U-Turn,,,
156,65,,100655 65,1,65 100655,1,U-Turn,,,
157,66,,100239 66,1,66 100239,1,U-Turn,,,
158,66,,102554 66,1,66 102554,1,U-Turn,,,
159,67,,100199 67,1,67 100199,1,U-Turn,,,
160,67,,100645 67,1,67 100645,1,U-Turn,,,
161,68,,100154 68,1,68 100154,1,U-Turn,,,
162,68,,100652 68,1,68 100652,1,U-Turn,,,
163,68,,100654 68,1,68 100654,1,U-Turn,,,
164,69,,100646 69,1,69 100646,1,U-Turn,,,
165,69,,100648 69,1,69 100648,1,U-Turn,,,
166,70,,100663 70,1,70 100663,1,U-Turn,,,
167,71,,100157 71,1,71 100157,1,U-Turn,,,
168,71,,100160 71,1,71 100160,1,U-Turn,,,
169,72,,100657 72,1,72 100657,1,U-Turn,,,
170,72,,100699 72,1,72 100699,1,U-Turn,,,
171,73,,100662 73,1,73 100662,1,U-Turn,,,
172,73,,100665 73,1,73 100665,1,U-Turn,,,
173,73,,103415 73,1,73 103415,1,U-Turn,,,
174,73,,103978 73,1,73 103978,1,U-Turn,,,
175,74,,100057 74,1,74 100057,1,U-Turn,,,
176,74,,100062 74,1,74 100062,1,U-Turn,,,
177,75,,100060 75,1,75 100060,1,U-Turn,,,
178,75,,100061 75,1,75 100061,1,U-Turn,,,
179,76,,100070 76,1,76 100070,1,U-Turn,,,
180,76,,100072 76,1,76 100072,1,U-Turn,,,
181,76,,100073 76,1,76 100073,1,U-Turn,,,
182,76,,100080 76,1,76 100080,1,U-Turn,,,
183,77,,100206 77,1,77 100206,1,U-Turn,,,
184,77,,100575 77,1,77 100575,1,U-Turn,,,
185,77,,100580 77,1,77 100580,1,U-Turn,,,
186,78,,100205 78,1,78 100205,1,U-Turn,,,
187,78,,100259 78,1,78 100259,1,U-Turn,,,
188,78,,100571 78,1,78 100571,1,U-Turn,,,
