node_id,name,x_coord,y_coord,z_coord,node_type,ctrl_type,zone
1,,1523373,1003235,,,,1
2,,1523873,1003225,,,,2
3,,1524263,1003205,,,,3
4,,1524224,1002265,,,,4
5,,1523854,1002765,,,,5
6,,1523354,1002745,,,,6
7,,1523324,1002284,,,,7
8,,1523844,1002275,,,,8
9,,1524695,1001515,,,,9
10,,1523804,1001755,,,,10
11,,1523374,1001765,,,,11
12,,1523304,1001264,,,,12
13,,1523815,1001245,,,,13
14,,1523402,1004955,,,,14
15,,1523952.454,1004620.162,,,,15
16,,1522041,1011125,,,,16
17,,1523748,1012078,,,,17
18,,1511204,1011999,,,,18
19,,1523309,1009956,,,,19
20,,1524720,1009927,,,,20
21,,1524681,1007287,,,,21
22,,1523211,1007546,,,,22
23,,1522100,1007725,,,,23
24,,1514001,1019473,,,,24
25,,1520931,1021918,,,,25
26,,1525292,1022231,,,,26
27,,1530894,1021975,,,,27
28,,1524925,1016980,,,,28
29,,1520967,1017101,,,,29
30,,1507425,1024921,,,,30
31,,1513827,1024725,,,,31
32,,1519421.348,1027000.82,,,,32
33,,1528420,1027515,,,,33
34,,1525423,1005196,,,,34
35,,1525674,1003396,,,,35
36,,1526310,1010389,,,,36
37,,1525471,1007787,,,,37
38,,1527361,1007748,,,,38
39,,1530722.073,1010795.08,,,,39
40,,1529813,1006220,,,,40
41,,1508488,1001637,,,,41
42,,1528345,1003328,,,,42
43,,1529627,1016182,,,,43
44,,1537870,1013607,,,,44
45,,1541263,1011698,,,,45
46,,1538323.502,1007384.282,,,,46
47,,1537052,1025750,,,,47
48,,1547583,1027882,,,,48
49,,1550594,1022186,,,,49
50,,1550372,1016409,,,,50
51,,1550657,1011827,,,,51
52,,1543746,1005428,,,,52
53,,1525964,1002456,,,,53
54,,1524945,1001756,,,,54
55,,1526576,1000136,,,,55
56,,1527987,999027,,,,56
57,,1529216,1002028,,,,57
58,,1530866,999978,,,,58
59,,1528828,1000599,,,,59
60,,1529628,997957,,,,60
61,,1530919,997728,,,,61
62,,1530110,994476,,,,62
63,,1534967,998908,,,,63
64,,1545740,1001048,,,,64
65,,1544813,995175,,,,65
66,,1534063.084,998195.062,,,,66
67,,1532629,996816,,,,67
68,,1536999,997172,,,,68
69,,1533814,990698,,,,69
70,,1544886,989303,,,,70
71,,1551650,1002132,,,,71
72,,1550957.567,993231.938,,,,72
73,,1549142,981383,,,,73
74,,1523795,1000815,,,,74
75,,1524505,1000835,,,,75
76,,1523896,999420,,,,76
77,,1524016,997682,,,,77
78,,1526554,997415,,,,78
79,,1527270,994835,,,,79
80,,1524669,994923,,,,80
81,,1524121,992095,,,,81
82,,1524230.643,989624.25,,,,82
83,,1526921,990858,,,,83
84,,1529873,988602,,,,84
85,,1524997,982880,,,,85
86,,1530660,979992,,,,86
87,,1535529,982777,,,,87
88,,1540821,979579,,,,88
89,,1525265,969027,,,,89
90,,1533338,972945,,,,90
91,,1548642.553,971686.688,,,,91
92,,1523285,1000764,,,,92
93,,1523306,999424,,,,93
94,,1522083,999061,,,,94
95,,1520116,997501,,,,95
96,,1522097,997292,,,,96
97,,1523342,997697,,,,97
98,,1522173,994087,,,,98
99,,1521724,992769,,,,99
100,,1518308,993869,,,,100
101,,1511720,988604,,,,101
102,,1509143,983200,,,,102
103,,1517101,987986,,,,103
104,,1519133,986857,,,,104
105,,1506435,978807,,,,105
106,,1512856,978801,,,,106
107,,1518350,974704,,,,107
108,,1520493,1001822,,,,108
109,,1522624,1001774,,,,109
110,,1521875,1000633,,,,110
111,,1520444,1000482,,,,111
112,,1513412,1001708,,,,112
113,,1516817,1001525,,,,113
114,,1517404,999920,,,,114
115,,1514293,999968,,,,115
116,,1514264,997838,,,,116
117,,1508281,1000714,,,,117
118,,1509462,1000025,,,,118
119,,1512160.82,994008.525,,,,119
120,,1508885,994663,,,,120
121,,1506743.03,990864.869,,,,121
122,,1502729.852,993094.412,,,,122
123,,1506541.825,984781.791,,,,123
124,,1493295,990622,,,,124
125,,1498545,992005,,,,125
126,,1502039.24,987256.053,,,,126
127,,1494239,985210,,,,127
128,,1493163,978948,,,,128
129,,1496386,974539,,,,129
130,,1520461,1005413,,,,130
131,,1522022,1004954,,,,131
132,,1522266.361,1003284.835,,,,132
133,,1520402,1003953,,,,133
134,,1519317.966,1002619.051,,,,134
135,,1522614,1002264,,,,135
136,,1513047,1008300,,,,136
137,,1518079,1007573,,,,137
138,,1520223,1007508,,,,138
139,,1516876,1004903,,,,139
140,,1514370,1005280,,,,140
141,,1511498,1006068,,,,141
