segment_id,road_link_id,ref_node,start_lr,end_lr,capacity,free_speed,bike_facility,ped_facility,parking,allowed_uses,lanes_added_l,lanes_added_r
977,100000 100001,100000,64,264,1330,,,,,,1,0
980,100001 100000,100001,64,264,1497,,,,,,1,0
986,100002 100003,100002,15,215,1497,,,,,,1,0
993,100004 100003,100004,-10,190,1228,,,,,,1,0
999,100006 100097,100006,392,592,1734,,,,,,1,0
1030,100018 100019,100018,100,300,1421,,,,,,1,0
1044,100023 100013,100023,-2,198,1330,,,,,,0,1
1059,100028 100029,100028,70,270,1800,,,,,,1,0
1062,100029 100028,100029,70,270,1330,,,,,,1,0
1073,100033 100034,100033,105,305,1461,,,,,,1,0
1076,100034 100033,100034,105,305,1461,,,,,,1,0
1139,100058 100059,100058,107,307,1461,,,,,,1,0
1144,100060 100088,100060,342,542,1734,,,,,,1,1
1151,100062 100056,100062,27,227,1405,,,,,,0,1
1185,100073 100079,100073,772,972,1734,,,,,,1,0
1199,100078 100079,100078,79,279,1734,,,,,,1,0
1205,100080 100079,100080,248,448,1421,,,,,,1,0
1209,100081 100082,100081,680,880,1421,,,,,,1,0
1215,100083 100082,100083,1549,1749,1734,,,,,,1,0
1227,100086 100082,100086,1442,1642,1421,,,,,,1,0
1228,100086 100088,100086,656,856,1734,,,,,,1,0
1231,100087 100088,100087,1149,1349,1734,,,,,,1,0
1232,100087 100107,100087,695,895,1676,,,,,,1,0
1238,100089 100088,100089,585,785,1734,,,,,,1,0
1239,100089 100091,100089,53,253,1734,,,,,,1,0
1246,100092 100091,100092,86,286,1657,,,,,,0,1
1250,100093 100092,100093,294,494,1734,,,,,,1,0
1252,100093 100097,100093,263,463,1657,,,,,,1,0
1260,100096 100097,100096,321,521,1657,,,,,,1,0
1262,100097 100093,100097,263,463,1734,,,,,,1,0
1265,100098 100097,100098,281,481,1734,,,,,,1,0
1285,100104 100120,100104,3558,3758,1734,,,,,,1,0
1297,100107 100108,100107,1192,1392,1676,,,,,,1,0
1298,100108 100107,100108,1192,1392,1734,,,,,,1,0
1301,100108 100222,100108,1250,1450,1676,,,,,,1,0
1304,100109 100222,100109,943,1143,1676,,,,,,1,0
1307,100110 100109,100110,197,397,1676,,,,,,1,0
1308,100110 100111,100110,298,498,1546,,,,,,0,1
1312,100112 100307,100112,104,304,1546,,,,,,1,0
1315,100113 100114,100113,909,1109,1546,,,,,,1,1
1319,100114 100113,100114,909,1109,1546,,,,,,1,0
1322,100114 100240,100114,1160,1360,1546,,,,,,1,1
1326,100115 100240,100115,1383,1583,1676,,,,,,1,0
1327,100116 100118,100116,5165,5365,1734,,,,,,1,0
1328,100116 100154,100116,526,726,1734,,,,,,1,0
1331,100117 100118,100117,742,942,1676,,,,,,1,0
1332,100117 100162,100117,4156,4356,1618,,,,,,1,0
1333,100118 100116,100118,5165,5365,1734,,,,,,1,0
1347,100122 100123,100122,459,659,1657,,,,,,1,0
1352,100124 100123,100124,3918,4118,1734,,,,,,1,0
1361,100127 100113,100127,694,894,1657,,,,,,1,0
1363,100127 100650,100127,289,489,1734,,,,,,1,1
1366,100128 100119,100128,1102,1302,1734,,,,,,1,0
1390,100135 100115,100135,-22,178,1548,,,,,,1,0
1414,100142 100115,100142,-2,198,1546,,,,,,1,0
1441,100150 100151,100150,3640,3840,1676,,,,,,0,1
1444,100151 100153,100151,5062,5262,1618,,,,,,0,1
1455,100154 100115,100154,358,558,1548,,,,,,1,0
1456,100154 100116,100154,526,726,1676,,,,,,1,0
1460,100156 100119,100156,5080,5280,1734,,,,,,1,0
1478,100161 100118,100161,1896,2096,1548,,,,,,1,0
1479,100161 100119,100161,3006,3206,1734,,,,,,1,0
1491,100165 101870,100165,-86,114,1497,,,,,,0,1
1506,100170 100171,100170,548,748,1657,,,,,,1,0
1513,100173 100171,100173,650,850,1657,,,,,,1,0
1522,100176 100234,100176,834,1034,1734,,,,,,1,0
1523,100176 101757,100176,2472,2672,1657,,,,,,1,1
1532,100179 101834,100179,548,748,1676,,,,,,1,0
1575,100195 101897,100195,1715,1915,1657,,,,,,1,0
1576,100195 101903,100195,1821,2021,1734,,,,,,1,0
1596,100203 100177,100203,2677,2877,1657,,,,,,1,0
1597,100203 101903,100203,2460,2660,1734,,,,,,1,0
1598,100204 100082,100204,508,708,1734,,,,,,1,0
1623,100214 100219,100214,2,202,1548,,,,,,1,0
1640,100222 100108,100222,1250,1450,1548,,,,,,1,0
1650,100225 101765,100225,1394,1594,1546,,,,,,1,0
1664,100230 101757,100230,0,200,1548,,,,,,1,0
1666,100231 101757,100231,184,384,1548,,,,,,1,0
1668,100232 100176,100232,284,484,1548,,,,,,1,0
1671,100233 100176,100233,-5,195,1548,,,,,,1,0
1673,100234 100176,100234,834,1034,1676,,,,,,1,0
1675,100234 101790,100234,547,747,1657,,,,,,1,0
1677,100235 100234,100235,412,612,1548,,,,,,1,0
1685,100239 100114,100239,-52,148,1548,,,,,,0,1
1686,100240 100114,100240,1160,1360,1548,,,,,,1,0
1687,100240 100115,100240,1383,1583,1546,,,,,,1,0
1691,100241 100240,100241,-52,148,1734,,,,,,1,0
1692,100241 100651,100241,1467,1667,1602,,,,,,1,0
1700,100245 101809,100245,81,281,1548,,,,,,1,0
1725,100253 101999,100253,77,277,1228,,,,,,1,0
1754,100266 100555,100266,834,1034,1734,,,,,,1,0
1755,100267 100555,100267,128,328,1734,,,,,,1,0
1759,100268 101930,100268,644,844,1618,,,,,,1,1
1762,100269 101903,100269,1719,1919,1734,,,,,,1,0
1765,100270 100121,100270,1981,2181,1734,,,,,,1,0
1769,100271 101852,100271,602,802,1734,,,,,,1,0
1771,100272 101847,100272,550,750,1734,,,,,,1,0
1777,100274 101844,100274,217,417,1330,,,,,,1,0
1778,100274 101845,100274,211,411,1497,,,,,,1,0
1782,100275 101857,100275,199,399,1497,,,,,,1,0
1789,100278 101845,100278,69,269,1228,,,,,,1,0
1790,100278 101855,100278,7,207,1508,,,,,,1,0
1804,100283 100000,100283,21,221,1497,,,,,,0,1
1805,100283 101999,100283,3,203,1800,,,,,,1,0
1809,100285 101877,100285,545,745,1657,,,,,,0,1
1814,100287 101871,100287,648,848,1271,,,,,,1,0
1829,100292 101857,100292,85,285,1497,,,,,,1,0
1830,100292 101870,100292,25,225,1734,,,,,,1,0
1835,100294 101870,100294,53,253,1548,,,,,,1,1
1836,100294 101871,100294,8,208,1734,,,,,,1,0
1841,100296 100253,100296,235,435,1228,,,,,,1,0
1842,100296 101871,100296,190,390,1497,,,,,,1,0
1855,100300 101826,100300,741,941,1734,,,,,,1,0
1860,100302 101803,100302,440,640,1734,,,,,,1,0
1861,100302 101804,100302,545,745,1734,,,,,,1,0
1863,100303 101794,100303,153,353,1657,,,,,,0,1
1866,100305 100177,100305,33,233,1734,,,,,,1,1
1871,100307 100113,100307,449,649,1602,,,,,,1,1
1880,100310 101796,100310,108,308,1657,,,,,,1,0
1882,100311 101795,100311,524,724,1657,,,,,,1,0
1883,100311 101796,100311,682,882,1657,,,,,,1,0
1886,100312 100311,100312,24,224,1548,,,,,,1,0
1902,100497 100561,100497,584,784,1548,,,,,,0,1
1909,100500 100557,100500,3344,3544,1734,,,,,,1,0
2035,100540 100547,100540,3961,4161,1676,,,,,,1,0
2039,100541 100544,100541,3750,3950,1734,,,,,,1,0
2045,100543 100544,100543,1191,1391,1676,,,,,,1,0
2052,100545 100544,100545,236,436,1676,,,,,,1,0
2056,100546 100544,100546,2230,2430,1676,,,,,,1,0
2057,100546 100547,100546,3618,3818,1734,,,,,,1,0
2062,100548 100547,100548,937,1137,1676,,,,,,1,0
2076,100552 100606,100552,3796,3996,1676,,,,,,1,0
2083,100554 100555,100554,1762,1962,1548,,,,,,1,0
2089,100556 100555,100556,1070,1270,1676,,,,,,1,0
2090,100556 100557,100556,959,1159,1734,,,,,,1,0
2096,100558 100557,100558,950,1150,1734,,,,,,1,0
2100,100559 100561,100559,2554,2754,1734,,,,,,1,0
2102,100560 100559,100560,2693,2893,1734,,,,,,1,1
2103,100560 100606,100560,2764,2964,1734,,,,,,1,0
2106,100561 100559,100561,2554,2754,1734,,,,,,1,0
2112,100563 100500,100563,1318,1518,1734,,,,,,1,0
2113,100563 100566,100563,971,1171,1548,,,,,,1,0
2116,100564 104445,100564,993,1193,1734,,,,,,1,0
2119,100565 100566,100565,1642,1842,1734,,,,,,0,1
2120,100565 104445,100565,1378,1578,1734,,,,,,1,0
2125,100567 101830,100567,555,755,1676,,,,,,1,0
2131,100569 100561,100569,5818,6018,1734,,,,,,1,0
2136,100570 100572,100570,951,1151,1734,,,,,,1,0
2142,100572 101838,100572,1300,1500,1421,,,,,,1,0
2144,100573 100572,100573,669,869,1734,,,,,,1,0
2151,100575 100079,100575,541,741,1421,,,,,,1,0
2152,100575 100579,100575,471,671,1734,,,,,,1,0
2163,100578 100579,100578,24,224,1734,,,,,,1,0
2169,100580 100579,100580,307,507,1421,,,,,,1,0
2170,100580 100581,100580,611,811,1734,,,,,,1,0
2179,100583 100581,100583,536,736,1734,,,,,,1,0
2184,100584 100583,100584,1547,1747,1734,,,,,,0,1
2187,100585 100579,100585,1284,1484,1734,,,,,,1,0
2193,100587 100572,100587,641,841,1734,,,,,,1,0
2199,100589 100588,100589,1162,1362,1548,,,,,,1,0
2237,100602 100647,100602,490,690,1618,,,,,,1,0
2241,100603 100614,100603,2457,2657,1734,,,,,,1,0
2256,100608 100606,100608,2630,2830,1734,,,,,,1,0
2275,100613 100614,100613,3181,3381,1502,,,,,,1,0
2281,100615 100614,100615,2463,2663,1734,,,,,,1,0
2282,100615 100642,100615,2454,2654,1618,,,,,,0,1
2283,100616 100614,100616,776,976,1734,,,,,,1,0
2363,100641 100642,100641,5109,5309,1618,,,,,,1,0
2377,100645 100647,100645,3522,3722,1734,,,,,,1,0
2378,100645 100650,100645,392,592,1676,,,,,,2,0
2381,100646 100647,100646,2504,2704,1618,,,,,,1,0
2383,100647 100645,100647,3522,3722,1618,,,,,,1,0
2387,100648 100647,100648,712,912,1618,,,,,,1,0
2393,100650 100645,100650,392,592,1800,,,,,,0,1
2397,100651 100650,100651,1634,1834,1657,,,,,,1,0
2461,100671 100557,100671,3157,3357,1734,,,,,,1,0
2540,100698 101834,100698,1518,1718,1734,,,,,,1,0
2588,100713 100714,100713,131,331,1734,,,,,,1,0
2595,100715 100714,100715,260,460,1734,,,,,,1,0
2667,100738 100739,100738,1272,1472,1676,,,,,,1,0
2674,100740 100739,100740,1009,1209,1657,,,,,,1,1
2680,100742 101821,100742,898,1098,1676,,,,,,1,0
2683,100743 101811,100743,820,1020,1734,,,,,,1,1
2688,100745 100739,100745,798,998,1676,,,,,,1,0
2691,100746 100745,100746,1441,1641,1657,,,,,,1,0
2696,100747 100750,100747,2188,2388,1657,,,,,,1,0
2699,100748 101800,100748,399,599,1734,,,,,,1,0
2703,100749 100750,100749,3178,3378,1734,,,,,,1,1
2770,100774 100714,100774,3895,4095,1734,,,,,,1,0
2790,101746 101794,101746,698,898,1548,,,,,,1,0
2791,101746 101795,101746,61,261,1657,,,,,,1,0
2793,101747 101760,101747,23,223,1657,,,,,,1,0
2795,101748 101760,101748,152,352,1548,,,,,,1,0
