segment_lane_id,segment_id,lane_num,parent_lane_id,allowed_uses,r_barrier,l_barrier,width
6659,1044,3,,,,,
6660,1144,3,,,,,
6661,1144,-1,,,,,
6662,1151,2,,,,,
6663,1246,3,,,,,
6664,1308,3,,,,,
6665,1315,4,,,,,
6666,1315,-1,,,,,
6667,1322,3,,,,,
6668,1322,-1,,,,,
6669,1363,3,,,,,
6670,1363,-1,,,,,
6671,1441,2,,,,,
6672,1444,2,,,,,
6673,1491,2,,,,,
6674,1523,3,,,,,
6675,1523,-1,,,,,
6676,1685,2,,,,,
6677,1759,2,,,,,
6678,1759,-1,,,,,
6679,1804,2,,,,,
6680,1809,3,,,,,
6681,1835,2,,,,,
6682,1835,-1,,,,,
6683,1863,2,,,,,
6684,1866,2,,,,,
6685,1866,-1,,,,,
6686,1871,4,,,,,
6687,1871,-1,,,,,
6688,1902,2,,,,,
6689,2102,2,,,,,
6690,2102,-1,,,,,
6691,2119,2,,,,,
6692,2184,3,,,,,
6693,2282,2,,,,,
6694,2393,2,,,,,
6695,2674,2,,,,,
6696,2674,-1,,,,,
6697,2683,2,,,,,
6698,2683,-1,,,,,
6699,2703,3,,,,,
6700,2703,-1,,,,,
6701,2826,3,,,,,
6702,2826,-1,,,,,
6703,2830,3,,,,,
6704,2830,-1,,,,,
6705,2833,3,,,,,
6706,2833,-1,,,,,
6707,2850,2,,,,,
6708,2850,-1,,,,,
6709,2927,3,,,,,
6710,2927,-1,,,,,
6711,2934,3,,,,,
6712,2934,-1,,,,,
6713,3006,2,,,,,
6714,3006,-1,,,,,
6715,3068,2,,,,,
6716,3068,-1,,,,,
6717,3095,2,,,,,
6718,3172,2,,,,,
6719,3172,-1,,,,,
6720,3204,3,,,,,
6721,3311,3,,,,,
6722,3311,-1,,,,,
6723,3346,2,,,,,
6724,3448,2,,,,,
6725,3448,-1,,,,,
6726,3484,3,,,,,
6727,3504,3,,,,,
6728,3601,4,,,,,
6729,3701,2,,,,,
6730,3701,-1,,,,,
6731,4154,2,,,,,
6732,4337,3,,,,,
6733,4600,3,,,,,
6734,4863,2,,,,,
6735,5032,2,,,,,
6736,5814,2,,,,,
6737,5823,3,,,,,
6738,5832,3,,,,,
6739,6075,2,,,,,
6740,977,-1,,,,,
6741,980,-1,,,,,
6742,986,-1,,,,,
6743,993,-1,,,,,
6744,999,-1,,,,,
6745,1030,-1,,,,,
6746,1059,-1,,,,,
6747,1062,-1,,,,,
6748,1073,-1,,,,,
6749,1076,-1,,,,,
6750,1139,-1,,,,,
6751,1185,-1,,,,,
6752,1199,-1,,,,,
6753,1205,-1,,,,,
6754,1209,-1,,,,,
6755,1215,-1,,,,,
6756,1227,-1,,,,,
6757,1228,-1,,,,,
6758,1231,-1,,,,,
6759,1232,-1,,,,,
6760,1238,-1,,,,,
6761,1239,-1,,,,,
6762,1250,-1,,,,,
6763,1252,-1,,,,,
6764,1260,-1,,,,,
6765,1262,-1,,,,,
6766,1265,-1,,,,,
6767,1285,-1,,,,,
6768,1297,-1,,,,,
6769,1298,-1,,,,,
6770,1301,-1,,,,,
6771,1304,-1,,,,,
6772,1307,-1,,,,,
6773,1312,-1,,,,,
6774,1319,-1,,,,,
6775,1326,-1,,,,,
6776,1327,-1,,,,,
6777,1328,-1,,,,,
6778,1331,-1,,,,,
6779,1332,-1,,,,,
6780,1333,-1,,,,,
6781,1347,-1,,,,,
6782,1352,-1,,,,,
6783,1361,-1,,,,,
6784,1366,-1,,,,,
6785,1390,-1,,,,,
6786,1414,-1,,,,,
6787,1455,-1,,,,,
6788,1456,-1,,,,,
6789,1460,-1,,,,,
6790,1478,-1,,,,,
6791,1479,-1,,,,,
6792,1506,-1,,,,,
6793,1513,-1,,,,,
6794,1522,-1,,,,,
6795,1532,-1,,,,,
6796,1575,-1,,,,,
6797,1576,-1,,,,,
6798,1596,-1,,,,,
6799,1597,-1,,,,,
6800,1598,-1,,,,,
6801,1623,-1,,,,,
6802,1640,-1,,,,,
6803,1650,-1,,,,,
6804,1664,-1,,,,,
6805,1666,-1,,,,,
6806,1668,-1,,,,,
6807,1671,-1,,,,,
6808,1673,-1,,,,,
6809,1675,-1,,,,,
6810,1677,-1,,,,,
6811,1686,-1,,,,,
6812,1687,-1,,,,,
6813,1691,-1,,,,,
6814,1692,-1,,,,,
6815,1700,-1,,,,,
6816,1725,-1,,,,,
6817,1754,-1,,,,,
6818,1755,-1,,,,,
6819,1762,-1,,,,,
6820,1765,-1,,,,,
6821,1769,-1,,,,,
6822,1771,-1,,,,,
6823,1777,-1,,,,,
6824,1778,-1,,,,,
6825,1782,-1,,,,,
6826,1789,-1,,,,,
6827,1790,-1,,,,,
6828,1805,-1,,,,,
6829,1814,-1,,,,,
6830,1829,-1,,,,,
6831,1830,-1,,,,,
6832,1836,-1,,,,,
6833,1841,-1,,,,,
6834,1842,-1,,,,,
6835,1855,-1,,,,,
6836,1860,-1,,,,,
6837,1861,-1,,,,,
6838,1880,-1,,,,,
6839,1882,-1,,,,,
6840,1883,-1,,,,,
6841,1886,-1,,,,,
6842,1909,-1,,,,,
6843,2035,-1,,,,,
6844,2039,-1,,,,,
6845,2045,-1,,,,,
6846,2052,-1,,,,,
6847,2056,-1,,,,,
6848,2057,-1,,,,,
6849,2062,-1,,,,,
6850,2076,-1,,,,,
6851,2083,-1,,,,,
6852,2089,-1,,,,,
6853,2090,-1,,,,,
6854,2096,-1,,,,,
6855,2100,-1,,,,,
6856,2103,-1,,,,,
6857,2106,-1,,,,,
6858,2112,-1,,,,,
6859,2113,-1,,,,,
6860,2116,-1,,,,,
6861,2120,-1,,,,,
6862,2125,-1,,,,,
6863,2131,-1,,,,,
6864,2136,-1,,,,,
6865,2142,-1,,,,,
6866,2144,-1,,,,,
6867,2151,-1,,,,,
6868,2152,-1,,,,,
6869,2163,-1,,,,,
6870,2169,-1,,,,,
6871,2170,-1,,,,,
6872,2179,-1,,,,,
6873,2187,-1,,,,,
6874,2193,-1,,,,,
6875,2199,-1,,,,,
6876,2237,-1,,,,,
6877,2241,-1,,,,,
6878,2256,-1,,,,,
6879,2275,-1,,,,,
6880,2281,-1,,,,,
6881,2283,-1,,,,,
6882,2363,-1,,,,,
6883,2377,-1,,,,,
6884,2378,-1,,,,,
6885,2378,-2,,,,,
6886,2381,-1,,,,,
6887,2383,-1,,,,,
6888,2387,-1,,,,,
6889,2397,-1,,,,,
6890,2461,-1,,,,,
6891,2540,-1,,,,,
6892,2588,-1,,,,,
6893,2595,-1,,,,,
6894,2667,-1,,,,,
6895,2680,-1,,,,,
6896,2688,-1,,,,,
6897,2691,-1,,,,,
6898,2696,-1,,,,,
6899,2699,-1,,,,,
6900,2770,-1,,,,,
6901,2790,-1,,,,,
6902,2791,-1,,,,,
6903,2793,-1,,,,,
6904,2795,-1,,,,,
6905,2797,-1,,,,,
6906,2802,-1,,,,,
6907,2804,-1,,,,,
6908,2821,-1,,,,,
6909,2822,-1,,,,,
6910,2823,-1,,,,,
6911,2824,-1,,,,,
6912,2828,-1,,,,,
