mvmt_id,node_id,name,ib_link_id,ib_lane,ob_link_id,ob_lane,type,penalty,capacity,ctrl_type,notes
2201,22,,384306521,-1,8615409,1,LEFT,,,Signal,EB Left turn
2202,22,,384306521,-1,8615409,2,LEFT,,,Signal,EB Left turn (Bike)
2203,22,,384306521,1,356677797,1,THRU,,,Signal,EB Thru
2204,22,,384306521,2,356677797,2,THRU,,,Signal,EB Thru
2205,22,,384306521,3,356677797,3,THRU,,,Signal,EB Thru (Bike)
2206,22,,384306521,2,34065677,1,RIGHT,,,Signal,EB Right
2207,22,,384306521,3,34065677,2,RIGHT,,,Signal,EB Right (Bike)
2209,22,,576786011,1,8615409,2,THRU,,,Signal,NB Thru (Bike)
2210,22,,576786011,1,356677797,3,RIGHT,,,Signal,NB Right (Bike)
2211,22,,356677798,1,533596803,1,THRU,,,Signal,WB Thru
2212,22,,356677798,2,8615409,1,RIGHT,,,Signal,WB Right
2213,22,,356677798,3,533596803,2,THRU,,,Signal,WB Thru (Bike)
2214,22,,356677798,3,8615409,2,RIGHT,,,Signal,WB Right (Bike)
2215,22,,86154099,3,533596803,1,RIGHT,,,Signal,SB Right
2216,22,,86154099,4,533596803,2,RIGHT,,,Signal,SB Right (Bike)
2217,22,,86154099,1,34065677,1,THRU,,,Signal,SB Thru
2218,22,,86154099,2,34065677,2,THRU,,,Signal,SB Thru (Bike)
2219,22,,86154099,1,356677797,1,LEFT,,,Signal,SB Left
2220,22,,86154099,1,356677797,3,LEFT,,,Signal,SB Left (Bike)
2101,21,,34065677,1,35667846199,1,MERGE,,,None,3rd/Main merge
2102,21,,34065677,2,35667846199,2,MERGE,,,None,3rd/Main merge (bike)
2103,21,,3566784619,1,356678461,1,DIVERGE,,,None,Main split
2104,21,,3566784619,2,356678461,2,DIVERGE,,,None,Main split (bike)
2105,21,,3566784619,2,576786011,1,LEFT,,,None,Main split (to contraflow)
2501,25,,356678461,1,356674425,1,MERGE,,,Stop,Main merge
2502,25,,356678461,2,356674425,2,MERGE,,,Stop,Main merge (bike)
2503,25,,356677797,1,356674425,1,THRU,,,None,Main merge
2504,25,,356677797,2,356674425,2,THRU,,,None,Main merge (bike)
1101,11,,302156851,1,384306521,1,RIGHT,,,Signal,Ames NB R to Broadway
1102,11,,302156851,-1,426493082,1,LEFT,,,Signal,Ames NB L to Broadway
1103,11,,302156851,-1,426493082,2,LEFT,,,Signal,Ames NB L to Broadway
1104,11,,6689542229,1,6689542209,1,THRU,,,Signal,Ames Cycletrack to Volpe path
1105,11,,6689542229,1,426493082,3,LEFT,,,Signal,Ames Cycletrack L to Broadway
1106,11,,6689542229,1,384306521,3,RIGHT,,,Signal,Ames Cycletrack R to Broadway
1107,11,,8614848,1,384306521,1,THRU,,,Signal,Broadway EB thru @ Ames
1108,11,,8614848,2,3021568519,1,RIGHT,,,Signal,Broadway EB R to Ames
1109,11,,8614848,3,384306521,3,THRU,,,Signal,Broadway EB thru @ Ames (bike)
1110,11,,8614848,3,668954222,1,RIGHT,,,Signal,Broadway EB R to Ames (bike)
1111,11,,8614848,3,6689542209,1,LEFT,,,Signal,Broadway EB L to Volpe path
1112,11,,533596803,-1,3021568519,1,LEFT,,,Signal,Broadway WB L to Ames
1113,11,,533596803,1,426493082,1,THRU,,,Signal,Broadway WB thru @ Ames
1114,11,,533596803,1,426493082,2,THRU,,,Signal,Broadway WB thru @ Ames
1115,11,,533596803,2,426493082,3,THRU,,,Signal,Broadway WB thru @ Ames (Bike)
1116,11,,533596803,2,6689542209,1,RIGHT,,,Signal,Broadway WB R to Volpe path
1117,11,,533596803,2,668954222,1,LEFT,,,Signal,Broadway WB L to Ames cycletrack
1118,11,,668954220,1,668954222,1,THRU,,,Signal,Volpe path to Ames cycletrack
1119,11,,668954220,1,426493082,3,RIGHT,,,Signal,Volpe path to Broadway WB
1120,11,,668954220,1,384306521,3,LEFT,,,Signal,Volpe path to Broadway EB
701,7,,668954222,1,427699109,1,THRU,,,Signal,Ames cycletrack thru to Ames roadway
702,7,,668954222,1,3566784619,2,LEFT,,,Signal,Ames cycletrack to Main EB
703,7,,668954222,1,370197761,2,RIGHT,,,Signal,Ames cycletrack to Main WB
704,7,,3021568519,1,427699109,1,THRU,,,Signal,Ames thru @ Main
705,7,,3021568519,1,3566784619,1,LEFT,,,Signal,Ames SB L to Main
706,7,,3021568519,2,370197761,1,RIGHT,,,Signal,Ames SB R to Main
707,7,,35667846199,1,370197761,1,THRU,,,Signal,Main WB thru @ Ames
708,7,,35667846199,1,427699109,1,LEFT,,,Signal,Main WB L to Ames 
709,7,,35667846199,1,302156851,1,RIGHT,,,Signal,Main WB R to Ames
710,7,,35667846199,2,370197761,2,THRU,,,Signal,Main WB thru @ Ames (Bike)
711,7,,35667846199,2,427699109,1,LEFT,,,Signal,Main WB L to Ames (bike)
712,7,,35667846199,2,6689542229,1,RIGHT,,,Signal,Main WB R to Ames cycletrack
713,7,,42769910,1,302156851,1,THRU,,,Signal,Ames NB thru @ Main
714,7,,42769910,1,370197761,1,LEFT,,,Signal,Ames NB L to Main
715,7,,42769910,1,3566784619,1,RIGHT,,,Signal,Ames NB R to Main
716,7,,42769910,1,6689542229,1,THRU,,,Signal,Ames NB thru @ Main (to cycletrack)
717,7,,42769910,1,370197761,2,LEFT,,,Signal,Ames NB L to Main (bike)
718,7,,42769910,1,3566784619,2,RIGHT,,,Signal,Ames NB R to Main (bike)
719,7,,591217337,1,3566784619,1,THRU,,,Signal,Main EB thru @ Ames
720,7,,591217337,1,302156851,1,LEFT,,,Signal,Main EB L to Ames
721,7,,591217337,1,427699109,1,RIGHT,,,Signal,Main EB R to Ames
722,7,,591217337,2,3566784619,2,THRU,,,Signal,Main EB thru @ Ames (bike)
723,7,,591217337,2,6689542229,1,LEFT,,,Signal,Main EB L to Ames cycletrack
724,7,,591217337,2,427699109,1,RIGHT,,,Signal,Main EB R to Ames (bike)
