road_link_id,name,from_node,to_node,physical_link_id,shapepoint_flag,capacity,free_speed,lanes,bike_facility,ped_facility,parking,allowed_uses,other fields
8614848,Broadway,3,11,8614848,With,1000,25,1,BikeLane,Sidewalk,Parallel,"AUTO, BIKE",Broadway EB approaching Ames
8615409,Third Street,22,29,8615409,With,1000,25,1,BikeLane,Sidewalk,Parallel,"AUTO, BIKE",Third
86154099,Third Street,29,22,8615409,Against,1000,25,1,BikeLane,Sidewalk,Parallel,"AUTO, BIKE",
34065677,Main Street,22,21,34065677,With,1000,25,1,BikeLane,Sidewalk,None,"AUTO, BIKE",Main WB approaching Ames
42769910,Ames Street,10,7,42769910,With,1000,25,1,None,Sidewalk,Parallel,"AUTO, BIKE",Ames south of Main
427699109,Ames Street,7,10,42769910,Against,1000,25,1,None,Sidewalk,Parallel,"AUTO, BIKE",
302156851,Ames Street,7,11,302156851,With,1000,25,1,CycleTrack,Sidewalk,None,"AUTO, BIKE",Ames between Main and Broadway
3021568519,Ames Street,11,7,302156851,Against,1000,25,1,CycleTrack,Sidewalk,None,"AUTO, BIKE",
356674425,Main Street,25,28,356674425,With,2000,25,2,BikeLane,Sidewalk,None,"AUTO, BIKE",Main EB approaching bridge
356677797,Broadway,22,25,356677797,With,2000,25,2,BikeLane,Sidewalk,None,"AUTO, BIKE",Eastbound just east of Third
356677798,Broadway,27,22,356677798,With,2000,25,1,BikeLane,Sidewalk,Parallel,"AUTO, BIKE",Westbound approaching Third
3566784619,Main Street,7,21,3566784619,With,1000,25,1,BikeLane,Sidewalk,None,"AUTO, BIKE",
35667846199,Main Street,21,7,3566784619,Against,1000,25,1,BikeLane,Sidewalk,Parallel,"AUTO, BIKE",
356678461,Main Street,21,25,356678461,With,1000,25,1,BikeLane,Sidewalk,Parallel,"AUTO, BIKE",Main EB approaching Third
370197761,Main Street,7,1,370197761,With,1000,25,1,BikeLane,Sidewalk,Parallel,"AUTO, BIKE",Main WB west of Ames
384306521,Broadway,11,22,384306521,With,1000,25,1,BikeLane,Sidewalk,Parallel,"AUTO, BIKE",Eastbound approaching Third
426493082,Broadway,11,3,426493082,With,1000,25,1,BikeLane,Sidewalk,None,"AUTO, BIKE","Westbound, west of Ames"
533596803,Broadway,22,11,533596803,With,1000,25,1,BikeLane,Sidewalk,None,"AUTO, BIKE",Westbound approaching Ames
576786011,Main Street,21,22,576786011,With,1000,15,0,BikeLane,Sidewalk,None,BIKE,Contraflow bike lane
591217337,Main Street,1,7,591217337,With,1000,25,1,BikeLane,Sidewalk,Parallel,"AUTO, BIKE",Main EB approaching Ames
668954220,Loughrey Walkway/Knox Bikepath,17,11,668954220,With,1000,15,0,CycleTrack,Sidewalk,None,"WALK, BIKE",Bike/ped path west of Volpe
6689542209,Loughrey Walkway/Knox Bikepath,11,17,668954220,Against,1000,15,0,CycleTrack,Sidewalk,None,"WALK, BIKE",
668954222,Ames Street,11,7,668954222,With,1000,25,0,CycleTrack,None,None,BIKE,Ames cycletrack between Main and Broadway
6689542229,Ames Street,7,11,668954222,Against,1000,25,0,CycleTrack,None,None,BIKE,
