mvmt_id,node_id,name,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,type,penalty,capacity,ctrl_type
1,6,MM Bikeway to Mass EB,10,1,,32,3,,left,,,signal
2,6,MM Bikeway to Pleasant SB,10,1,,42,1,,thru,,,signal
3,6,MM Bikeway to Mass WB,10,1,,51,2,,right,,,signal
4,6,Mystic to Mass EB,21,-1,,32,1,2,left,,,signal
5,6,Mystic to Pleasant,21,1,,42,1,,thru,,,signal
6,6,Mystic to Mass WB,21,2,,51,1,2,right,,,signal
7,6,Mass WB to Pleasant,31,-1,,42,1,,left,,,signal
8,6,Mass WB thru,31,1,2,51,1,2,thru,,,signal
10,6,Mass WB to Mystic,31,3,,22,1,2,right,,,signal
11,6,Mass WB thru (bike),31,4,,51,2,,thru,,,signal
12,6,Mass WB to MM Bikeway,31,4,,11,1,,thru,,,signal
13,6,Pleasant to Mass WB,41,-1,,51,1,2,left,,,signal
14,6,Pleasant to MM Bikeway,41,-1,,11,1,,left,,,signal
15,6,Pleasant to Mystic,41,1,,22,1,2,thru,,,signal
16,6,Pleasant to Mass EB,41,2,,32,1,2,right,,,signal
17,6,Mass EB to Mystic,52,-1,,22,1,2,left,,,signal
18,6,Mass EB thru,52,1,2,32,1,2,thru,,,signal
19,6,Mass EB Thru bike,52,2,,32,3,,thru,,,signal
20,6,Mass EB to Pleasant,52,3,,42,1,,right,,,signal
21,7,Mass EB at Swan Place,32,1,2,72,1,2,thru,,,signal
22,7,Mass EB Bike,32,3,,72,2,2,thru,,,signal
23,7,Mass EB to Minuteman SB,32,3,,81,1,1,right,,,signal
24,7,MM to Mass WB at Swan,81,1,,31,3,,left,,,signal
25,7,MM to Mass EB at Swan,81,1,,72,2,,right,,,signal
26,7,Mass WB at Swan,71,1,2,31,1,2,thru,,,signal
27,7,Mass WB at Swan (Bike),71,2,,31,3,3,thru,,,signal
28,7,Mass WB to Minuteman SB,71,1,,80,1,,left,,,signal
