mvmt_id,node_id,name,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,type,penalty,capacity,ctrl_type,mvmt_code,allowed_uses,geometry
1101,11,Ames NB R to Broadway,711,1,1,1122,1,1,right,,,signal,NBR,all,
1102,11,Ames NB L to Broadway,711,-1,-1,113,1,1,left,,,signal,NBL,all,
1103,11,Ames NB L to Broadway,711,-1,-1,113,2,2,left,,,signal,NBL,all,
1104,11,Ames Cycletrack to Volpe path,71101,1,1,1117,1,1,thru,,,signal,NBT,bike,
1105,11,Ames Cycletrack L to Broadway,71101,1,1,113,3,3,left,,,signal,NBL,bike,
1106,11,Ames Cycletrack R to Broadway,71101,1,1,1122,3,3,right,,,signal,NBR,bike,
1107,11,Broadway EB thru @ Ames,311,1,1,1122,1,1,thru,,,signal,EBT,all,
1108,11,Broadway EB R to Ames,311,2,2,117,1,1,right,,,signal,EBR,all,
1109,11,Broadway EB thru @ Ames (bike),311,3,3,1122,3,3,thru,,,signal,EBT,bike,
1110,11,Broadway EB R to Ames (bike),311,3,3,11701,1,1,right,,,signal,EBR,bike,
1111,11,Broadway EB L to Volpe path,311,3,3,1117,1,1,left,,,signal,EBL,all,
1112,11,Broadway WB L to Ames,2211,-1,-1,117,1,1,left,,,signal,WBL,all,
1113,11,Broadway WB thru @ Ames,2211,1,1,113,1,1,thru,,,signal,WBT,all,
1114,11,Broadway WB thru @ Ames,2211,1,1,113,2,2,thru,,,signal,WBT,all,
1115,11,Broadway WB thru @ Ames (Bike),2211,2,2,113,3,3,thru,,,signal,WBT,bike,
1116,11,Broadway WB R to Volpe path,2211,2,2,1117,1,1,right,,,signal,WBR,all,
1117,11,Broadway WB L to Ames cycletrack,2211,2,2,11701,1,1,left,,,signal,WBL,bike,
1118,11,Volpe path to Ames cycletrack,1711,1,1,11701,1,1,thru,,,signal,SBT,bike,
1119,11,Volpe path to Broadway WB,1711,1,1,113,3,3,right,,,signal,SBR,bike,
1120,11,Volpe path to Broadway EB,1711,1,1,1122,3,3,left,,,signal,SBL,bike,
