link_id,parent_lin,name,from_node_,to_node_id,directed,geometry_id,geometry,dir_flag,length,grade,facility_t,capacity,free_speed,lanes,bike_facil,ped_facili,parking,allowed_us,toll,jurisdicti,row_width,u_osm_way_id,u_from_biway,u_bike_travel_time,u_bike_speed,u_walk_travel_time,u_walk_speed,u_Shape_Length
1, , ,1312,1313,1,,"MULTILINESTRING ((-71.0864612998945 42.3730530996073,-71.0864290997831 42.3731021002251))",1,8.207585205, ,service, ,16,0,shared use path,sidewalk, ,walk;bike, , , ,8605680,1,0.000431978,19,0.00146564,5.6,8.2076009
2, , ,1313,1312,1,,"MULTILINESTRING ((-71.0864290997831 42.3731021002251,-71.0864612998945 42.3730530996073))",1,8.207585205, ,service, ,16,0,shared use path,sidewalk, ,walk;bike, , , ,8605680,1,0.000431978,19,0.00146564,5.6,8.2076009
3, , ,1313,1314,1,,"MULTILINESTRING ((-71.0864290997831 42.3731021002251,-71.086379500203 42.3731775001124))",1,12.63200888, ,service, ,16,0,shared use path,sidewalk, ,walk;bike, , , ,8605680,1,0.000664843,19,0.002255716,5.6,12.63199382
4, , ,1314,1313,1,,"MULTILINESTRING ((-71.086379500203 42.3731775001124,-71.0864290997831 42.3731021002251))",1,12.63200888, ,service, ,16,0,shared use path,sidewalk, ,walk;bike, , , ,8605680,1,0.000664843,19,0.002255716,5.6,12.63199382
5, , ,1314,1315,1,,"MULTILINESTRING ((-71.086379500203 42.3731775001124,-71.0862740999724 42.3733377001834))",1,26.83971926, ,service, ,16,0,shared use path,sidewalk, ,walk;bike, , , ,8605680,1,0.001412617,19,0.004792807,5.6,26.83973622
6, , ,1315,1314,1,,"MULTILINESTRING ((-71.0862740999724 42.3733377001834,-71.086379500203 42.3731775001124))",1,26.83971926, ,service, ,16,0,shared use path,sidewalk, ,walk;bike, , , ,8605680,1,0.001412617,19,0.004792807,5.6,26.83973622
7, , ,1315,1316,1,,"MULTILINESTRING ((-71.0862740999724 42.3733377001834,-71.0862331996775 42.3734000000638))",1,10.43332375, ,service, ,16,0,shared use path,sidewalk, ,walk;bike, , , ,8605680,1,0.000549122,19,0.001863094,5.6,10.4333583
8, , ,1316,1315,1,,"MULTILINESTRING ((-71.0862331996775 42.3734000000638,-71.0862740999724 42.3733377001834))",1,10.43332375, ,service, ,16,0,shared use path,sidewalk, ,walk;bike, , , ,8605680,1,0.000549122,19,0.001863094,5.6,10.4333583
9, ,Marcella Street,1317,1318,1,,"MULTILINESTRING ((-71.0901377998235 42.3715864002086,-71.0900863003066 42.3715696997144))",1,6.260874704, ,residential,5000,40,1, ,sidewalk, ,walk;bike;auto, , , ,8614582,0,0.000391305,16,0.001252175,5,6.26086347
10, ,Marcella Street,1318,1319,1,,"MULTILINESTRING ((-71.0900863003066 42.3715696997144,-71.0890585000607 42.3712373002887))",1,124.8964809, ,residential,5000,40,1, ,sidewalk, ,walk;bike;auto, , , ,8614582,0,0.00780603,16,0.024979296,5,124.8965028
11, ,Marcella Street,1319,1320,1,,"MULTILINESTRING ((-71.0890585000607 42.3712373002887,-71.0889739991352 42.3712099995653))",1,10.26666997, ,residential,5000,40,1, ,sidewalk, ,walk;bike;auto, , , ,8614582,0,0.000641667,16,0.002053334,5,10.26673407
12, ,W Harrington Memorial Way,1324,1325,1,,"MULTILINESTRING ((-71.0888874006435 42.369019099726,-71.0888551996339 42.3690507001402,-71.088835600191 42.3690916997508,-71.0887101998689 42.3696118996904))",1,92.12461925, ,residential,5000,40,1, ,sidewalk, ,walk;bike;auto, , , ,8614588,1,0.005757789,16,0.018424924,5,92.12467092
13, ,W Harrington Memorial Way,1325,1324,1,,"MULTILINESTRING ((-71.0887101998689 42.3696118996904,-71.088835600191 42.3690916997508,-71.0888551996339 42.3690507001402,-71.0888874006435 42.369019099726))",1,92.12461925, ,residential,5000,40,1, ,sidewalk, ,walk;bike;auto, , , ,8614588,1,0.005757789,16,0.018424924,5,92.12467092
14, ,W Harrington Memorial Way,1325,1326,1,,"MULTILINESTRING ((-71.0887101998689 42.3696118996904,-71.0885436001129 42.3702252993496))",1,94.26584451, ,residential,5000,40,1, ,sidewalk, ,walk;bike;auto, , , ,8614588,1,0.005891615,16,0.018853169,5,94.26584774
15, ,W Harrington Memorial Way,1326,1325,1,,"MULTILINESTRING ((-71.0885436001129 42.3702252993496,-71.0887101998689 42.3696118996904))",1,94.26584451, ,residential,5000,40,1, ,sidewalk, ,walk;bike;auto, , , ,8614588,1,0.005891615,16,0.018853169,5,94.26584774
16, ,Fifth Street,1327,1328,1,,"MULTILINESTRING ((-71.0831419000538 42.3714501998638,-71.0831622001826 42.3713641997835))",1,13.1537821, ,residential,5000,40,1, ,sidewalk, ,walk;bike;auto, , , ,8614708,1,0.000822111,16,0.002630756,5,13.15386768
17, ,Fifth Street,1328,1327,1,,"MULTILINESTRING ((-71.0831622001826 42.3713641997835,-71.0831419000538 42.3714501998638))",1,13.1537821, ,residential,5000,40,1, ,sidewalk, ,walk;bike;auto, , , ,8614708,1,0.000822111,16,0.002630756,5,13.15386768
18, ,Fifth Street,1328,1329,1,,"MULTILINESTRING ((-71.0831622001826 42.3713641997835,-71.0831733006646 42.3713166001421,-71.0832906996924 42.3708119004963))",1,84.4393241, ,residential,5000,40,1, ,sidewalk, ,walk;bike;auto, , , ,8614708,1,0.005277458,16,0.016887865,5,84.43925329
