link_id,from_node_id,to_node_id,time_period,volume,travel_time,speed,VOC,queue,density,geometry,notes
1,1,100002,0700_0800,2.00000,0.12591,25.00000,0.00111,0,0,"",period-based
2,1,101990,0700_0800,0.00000,0.10864,25.00000,0.00000,0,0,"",period-based
3,1,101997,0700_0800,0.00000,0.13318,25.00000,0.00000,0,0,"",period-based
4,1,101998,0700_0800,61.00000,0.10455,24.99999,0.03389,0,0,"",period-based
5,2,100004,0700_0800,0.00000,0.12000,25.00000,0.00000,0,0,"",period-based
6,2,101992,0700_0800,163.00000,0.10273,24.99975,0.09056,0,0,"",period-based
7,2,101996,0700_0800,3.00000,0.12591,25.00000,0.00167,0,0,"",period-based
8,2,101997,0700_0800,6.00000,0.09364,25.00000,0.00333,0,0,"",period-based
9,3,101995,0700_0800,0.00000,0.07727,25.00000,0.00000,0,0,"",period-based
10,3,101996,0700_0800,170.00000,0.05091,24.99970,0.09444,0,0,"",period-based
11,4,100020,0700_0800,0.00000,0.09273,25.00000,0.00000,0,0,"",period-based
12,4,100021,0700_0800,13.00000,0.04364,25.00000,0.00722,0,0,"",period-based
13,5,100004,0700_0800,0.00000,0.08909,25.00000,0.00000,0,0,"",period-based
14,5,100007,0700_0800,0.00000,0.13045,25.00000,0.00000,0,0,"",period-based
15,5,100008,0700_0800,4.00000,0.08545,25.00000,0.00222,0,0,"",period-based
16,5,100017,0700_0800,14.00000,0.11818,25.00000,0.00778,0,0,"",period-based
17,6,100002,0700_0800,7.92028,0.11000,25.00000,0.00440,0,0,"",period-based
18,6,100008,0700_0800,0.00000,0.14227,25.00000,0.00000,0,0,"",period-based
19,6,100009,0700_0800,6.00000,0.10273,25.00000,0.00333,0,0,"",period-based
20,6,100014,0700_0800,6.00000,0.10455,25.00000,0.00333,0,0,"",period-based
21,7,100014,0700_0800,0.00000,0.10500,25.00000,0.00000,0,0,"",period-based
22,7,100022,0700_0800,0.00000,0.15091,25.00000,0.00000,0,0,"",period-based
23,7,100023,0700_0800,6.00000,0.09136,25.00000,0.00333,0,0,"",period-based
24,7,100030,0700_0800,0.00000,0.13273,25.00000,0.00000,0,0,"",period-based
25,8,100017,0700_0800,0.00000,0.10455,25.00000,0.00000,0,0,"",period-based
26,8,100021,0700_0800,5.00000,0.12909,25.00000,0.00278,0,0,"",period-based
27,8,100022,0700_0800,0.00000,0.08500,25.00000,0.00000,0,0,"",period-based
28,8,100032,0700_0800,0.00000,0.13500,25.00000,0.00000,0,0,"",period-based
29,9,100035,0700_0800,0.00000,0.28773,25.00000,0.00000,0,0,"",period-based
30,9,100100,0700_0800,0.00000,0.14909,25.00000,0.00000,0,0,"",period-based
31,10,100032,0700_0800,6.00000,0.10409,25.00000,0.00333,0,0,"",period-based
32,10,100035,0700_0800,2.00000,0.14045,25.00000,0.00111,0,0,"",period-based
33,10,100036,0700_0800,0.00000,0.08000,25.00000,0.00000,0,0,"",period-based
34,10,100046,0700_0800,3.75062,0.11636,25.00000,0.00208,0,0,"",period-based
35,11,100030,0700_0800,0.00000,0.10409,25.00000,0.00000,0,0,"",period-based
36,11,100036,0700_0800,2.00000,0.11545,25.00000,0.00111,0,0,"",period-based
37,11,100037,0700_0800,0.00000,0.11364,25.00000,0.00000,0,0,"",period-based
38,11,100044,0700_0800,1.00000,0.11955,25.00000,0.00056,0,0,"",period-based
39,12,100044,0700_0800,3.00000,0.11091,25.00000,0.00167,0,0,"",period-based
40,12,100050,0700_0800,0.00000,0.14727,25.00000,0.00000,0,0,"",period-based
41,12,100051,0700_0800,43.00000,0.08545,25.00000,0.02389,0,0,"",period-based
42,12,100055,0700_0800,1.00000,0.12227,25.00000,0.00056,0,0,"",period-based
43,13,100046,0700_0800,2.00000,0.11500,25.00000,0.00111,0,0,"",period-based
44,13,100049,0700_0800,0.00000,0.13318,25.00000,0.00000,0,0,"",period-based
45,13,100050,0700_0800,0.00000,0.08500,25.00000,0.00000,0,0,"",period-based
46,13,100057,0700_0800,29.00000,0.11773,25.00000,0.01611,0,0,"",period-based
47,14,101975,0700_0800,0.00000,0.46318,25.00000,0.00000,0,0,"",period-based
48,14,101983,0700_0800,0.00000,0.13773,25.00000,0.00000,0,0,"",period-based
49,14,101984,0700_0800,0.00000,0.10318,25.00000,0.00000,0,0,"",period-based
50,15,100143,0700_0800,0.00000,0.12500,25.00000,0.00000,0,0,"",period-based
51,15,101983,0700_0800,4.00000,0.18136,25.00000,0.00222,0,0,"",period-based
52,16,101900,0700_0800,11.00000,0.50364,25.00000,0.00611,0,0,"",period-based
53,16,101961,0700_0800,20.00000,0.15364,25.00000,0.01111,0,0,"",period-based
54,17,101932,0700_0800,0.00000,0.30500,25.00000,0.00000,0,0,"",period-based
55,17,101936,0700_0800,0.00000,0.42636,25.00000,0.00000,0,0,"",period-based
56,17,101939,0700_0800,1.00000,0.47409,25.00000,0.00056,0,0,"",period-based
57,18,100232,0700_0800,0.00000,0.31500,25.00000,0.00000,0,0,"",period-based
58,18,100235,0700_0800,0.00000,0.38045,25.00000,0.00000,0,0,"",period-based
59,18,100305,0700_0800,9.00000,0.31591,25.00000,0.00500,0,0,"",period-based
60,19,101940,0700_0800,0.00000,0.22136,25.00000,0.00000,0,0,"",period-based
61,19,101941,0700_0800,24.00000,0.24000,25.00000,0.01333,0,0,"",period-based
62,20,101940,0700_0800,0.00000,0.41955,25.00000,0.00000,0,0,"",period-based
63,20,101946,0700_0800,11.00000,0.44045,25.00000,0.00611,0,0,"",period-based
64,21,101946,0700_0800,0.00000,0.75909,25.00000,0.00000,0,0,"",period-based
65,21,101967,0700_0800,0.00000,0.42864,25.00000,0.00000,0,0,"",period-based
66,21,101969,0700_0800,0.00000,0.42227,25.00000,0.00000,0,0,"",period-based
67,22,100172,0700_0800,0.00000,0.61227,25.00000,0.00000,0,0,"",period-based
68,22,100208,0700_0800,0.00000,0.38227,25.00000,0.00000,0,0,"",period-based
69,22,101944,0700_0800,0.00000,0.62955,25.00000,0.00000,0,0,"",period-based
70,22,101970,0700_0800,0.00000,0.24136,25.00000,0.00000,0,0,"",period-based
71,23,100207,0700_0800,0.00000,0.34591,25.00000,0.00000,0,0,"",period-based
72,23,100265,0700_0800,0.00000,0.25000,25.00000,0.00000,0,0,"",period-based
73,23,101892,0700_0800,3.00000,0.79091,25.00000,0.00167,0,0,"",period-based
74,24,101783,0700_0800,3.00000,1.89864,25.00000,0.00167,0,0,"",period-based
75,24,101786,0700_0800,1.00000,1.19273,25.00000,0.00056,0,0,"",period-based
76,24,101909,0700_0800,0.00000,1.65909,25.00000,0.00000,0,0,"",period-based
77,25,101906,0700_0800,0.00000,1.11136,25.00000,0.00000,0,0,"",period-based
78,25,101922,0700_0800,0.00000,0.93409,25.00000,0.00000,0,0,"",period-based
79,26,101919,0700_0800,0.00000,1.20500,25.00000,0.00000,0,0,"",period-based
80,26,101922,0700_0800,0.00000,1.05955,25.00000,0.00000,0,0,"",period-based
81,27,100131,0700_0800,0.00000,1.39818,25.00000,0.00000,0,0,"",period-based
82,27,101917,0700_0800,0.00000,1.36591,25.00000,0.00000,0,0,"",period-based
83,27,101926,0700_0800,4.00000,1.43045,25.00000,0.00222,0,0,"",period-based
84,28,101924,0700_0800,0.00000,1.20909,25.00000,0.00000,0,0,"",period-based
85,28,101929,0700_0800,0.00000,1.74364,25.00000,0.00000,0,0,"",period-based
86,29,100268,0700_0800,0.00000,1.93682,25.00000,0.00000,0,0,"",period-based
87,29,101906,0700_0800,54.99999,1.15773,25.00000,0.03056,0,0,"",period-based
88,29,101928,0700_0800,0.00000,0.87864,25.00000,0.00000,0,0,"",period-based
89,30,100751,0700_0800,0.00000,2.26909,25.00000,0.00000,0,0,"",period-based
