name,node_id,zone_id,node_type,control_type,x_coord,y_coord,geometry
,1,1,centroid,,-84.10610676,40.74332242,
,2,2,centroid,,-84.10430239,40.74331937,
,3,3,centroid,,-84.10289421,40.7432835,
,4,4,centroid,,-84.10297469,40.74070251,
,5,5,centroid,,-84.10434144,40.74205634,
,6,6,centroid,,-84.10614385,40.74197707,
,7,7,centroid,,-84.10622248,40.74071076,
,8,8,centroid,,-84.1043461,40.74071143,
,9,9,centroid,,-84.10122766,40.73866766,
,10,10,centroid,,-84.10445706,40.73928275,
,11,11,centroid,,-84.10600881,40.73928921,
,12,12,centroid,,-84.10622916,40.73791119,
,13,13,centroid,,-84.10438468,40.73788399,
,14,14,centroid,,-84.10611253,40.74804301,
,15,15,centroid,,-84.1041052,40.74715116,
,16,16,centroid,,-84.1114198,40.76490493,
,17,17,centroid,,-84.10532109,40.76760307,
,18,18,centroid,,-84.15058321,40.76676575,
,19,19,centroid,,-84.10676907,40.7617596,
,20,20,centroid,,-84.10167574,40.76174882,
,21,21,centroid,,-84.10164752,40.75450362,
,22,22,centroid,,-84.10696795,40.75514257,
,23,23,centroid,,-84.11098802,40.75557936,
,24,24,centroid,,-84.14097992,40.78741143,
,25,25,centroid,,-84.11612229,40.7944625,
,26,26,centroid,,-84.10039853,40.79553438,
,27,27,centroid,,-84.08015801,40.79510273,
,28,28,centroid,,-84.10138731,40.78110976,
,29,29,centroid,,-84.11568121,40.78124827,
,30,30,centroid,,-84.16508,40.80202816,
,31,31,centroid,,-84.14195271,40.8018121,
,32,32,centroid,,-84.12190187,40.80833341,
,33,33,centroid,,-84.08944159,40.81018317,
,34,34,centroid,,-84.09883678,40.74880266,
,35,35,centroid,,-84.0978163,40.74387618,
,36,36,centroid,,-84.09596782,40.76309364,
,37,37,centroid,,-84.09882911,40.75591388,
,38,38,centroid,,-84.0920073,40.75589851,
,39,39,centroid,,-84.08007251,40.76442071,
,40,40,centroid,,-84.08306355,40.75182446,
,41,41,centroid,,-84.15969694,40.73819935,
,42,42,centroid,,-84.0881764,40.74381891,
,43,43,centroid,,-84.08436519,40.77914794,
,44,44,centroid,,-84.05445327,40.77247614,
,45,45,centroid,,-84.04209022,40.7673981,
,46,46,centroid,,-84.05243051,40.75542436,
,47,47,centroid,,-84.05816157,40.80575353,
,48,48,centroid,,-84.02026602,40.81209549,
,49,49,centroid,,-84.00904923,40.79660631,
,50,50,centroid,,-84.00950209,40.78074596,
,51,51,centroid,,-84.00819719,40.76818743,
,52,52,centroid,,-84.03274565,40.75031109,
,53,53,centroid,,-84.09671016,40.74131116,
,54,54,centroid,,-84.10034127,40.73934106,
,55,55,centroid,,-84.09435466,40.7349754,
,56,56,centroid,,-84.08919475,40.73200085,
,57,57,centroid,,-84.08495195,40.74029406,
,58,58,centroid,,-84.07887058,40.73474873,
,59,59,centroid,,-84.08626101,40.73635458,
,60,60,centroid,,-84.08320821,40.72914415,
,61,61,centroid,,-84.0785375,40.72857785,
,62,62,centroid,,-84.08124986,40.71961632,
,63,63,centroid,,-84.06401133,40.73200877,
,64,64,centroid,,-84.02528459,40.73838611,
,65,65,centroid,,-84.02826987,40.7222289,
,66,66,centroid,,-84.067227,40.73000964,
,67,67,centroid,,-84.07231277,40.72615742,
,68,68,centroid,,-84.05657419,40.72734196,
,69,69,centroid,,-84.06765584,40.70942756,
,70,70,centroid,,-84.02764827,40.70612069,
,71,71,centroid,,-84.00403088,40.74163239,
,72,72,centroid,,-84.00599321,40.71718082,
,73,73,centroid,,-84.01182486,40.68458606,
,74,74,centroid,,-84.10442926,40.73670322,
,75,75,centroid,,-84.1018695,40.73679268,
,76,76,centroid,,-84.10397554,40.73288065,
,77,77,centroid,,-84.10343137,40.72811789,
,78,78,centroid,,-84.09426069,40.72750863,
,79,79,centroid,,-84.09151431,40.72046442,
,80,80,centroid,,-84.10089977,40.7205797,
,81,81,centroid,,-84.10269494,40.71279369,
,82,82,centroid,,-84.10214147,40.70601987,
,83,83,centroid,,-84.09251989,40.70953559,
,84,84,centroid,,-84.08173339,40.703488,
,85,85,centroid,,-84.0989477,40.68755236,
,86,86,centroid,,-84.07835325,40.67990161,
,87,87,centroid,,-84.06097824,40.68777541,
,88,88,centroid,,-84.04170602,40.67925009,
,89,89,centroid,,-84.0970983,40.64955506,
,90,90,centroid,,-84.06826016,40.66069377,
,91,91,centroid,,-84.01303935,40.65795761,
,92,92,centroid,,-84.1062656,40.73653841,
,93,93,centroid,,-84.10610386,40.73286284,
,94,94,centroid,,-84.11049173,40.7318071,
,95,95,centroid,,-84.11748554,40.72743041,
,96,96,centroid,,-84.11032742,40.72695413,
,97,97,centroid,,-84.10586321,40.72812618,
,98,98,centroid,,-84.10984719,40.71816416,
,99,99,centroid,,-84.1113815,40.71452592,
,100,100,centroid,,-84.12377064,40.71737612,
,101,101,centroid,,-84.14718085,40.70260288,
,102,102,centroid,,-84.15611419,40.68764627,
,103,103,centroid,,-84.12774064,40.701175,
,104,104,centroid,,-84.12034178,40.69817757,
,105,105,centroid,,-84.16558294,40.6754562,
,106,106,centroid,,-84.14244223,40.67576247,
,107,107,centroid,,-84.12237717,40.66479361,
,108,108,centroid,,-84.11640489,40.73930454,
,109,109,centroid,,-84.10871481,40.73927727,
,110,110,centroid,,-84.11134315,40.73611004,
,111,111,centroid,,-84.11649509,40.73562556,
,112,112,centroid,,-84.14194002,40.73864118,
,113,113,centroid,,-84.12964566,40.73830835,
,114,114,centroid,,-84.12742389,40.73393375,
,115,115,centroid,,-84.13864817,40.73391106,
,116,116,centroid,,-84.13861331,40.72806551,
,117,117,centroid,,-84.16038238,40.73565649,
,118,118,centroid,,-84.15607692,40.7338256,
,119,119,centroid,,-84.14594684,40.71745354,
,120,120,centroid,,-84.15780293,40.7190848,
,121,121,centroid,,-84.16527447,40.70855563,
,122,122,centroid,,-84.17989382,40.71446889,
,123,123,centroid,,-84.16559525,40.69185505,
,124,124,centroid,,-84.21374517,40.70719882,
,125,125,centroid,,-84.19491004,40.71126527,
,126,126,centroid,,-84.18199181,40.69841478,
,127,127,centroid,,-84.20997198,40.69239895,
,128,128,centroid,,-84.21342217,40.67516169,
,129,129,centroid,,-84.20150766,40.66323166,
,130,130,centroid,,-84.11675231,40.7491556,
,131,131,centroid,,-84.11109107,40.7479728,
,132,132,centroid,,-84.11010209,40.74340507,
,133,133,centroid,,-84.11687083,40.7451469,
,134,134,centroid,,-84.12069511,40.74143362,
,135,135,centroid,,-84.10878238,40.7406212,
,136,136,centroid,,-84.14368953,40.75670926,
,137,137,centroid,,-84.1254862,40.75496458,
,138,138,centroid,,-84.11774636,40.7548919,
,139,139,centroid,,-84.12965281,40.74757947,
,140,140,centroid,,-84.13871824,40.74848939,
,141,141,centroid,,-84.14913143,40.75050792,
,142,142,centroid,,-84.15046503,40.738877,
,143,143,centroid,,-84.14177746,40.74316104,
,144,144,centroid,,-84.12999683,40.74170133,
,145,145,centroid,,-84.16287897,40.77230561,
,146,146,centroid,,-84.13714601,40.77415753,
,147,147,centroid,,-84.14525388,40.76505849,
,148,148,centroid,,-84.15315455,40.75676723,
,149,380,centroid,,-84.17428022,40.76595644,
,150,150,centroid,,-84.15986442,40.74662021,
,151,151,centroid,,-84.1745085,40.74763864,
,152,152,centroid,,-84.19440646,40.72964705,
,153,153,centroid,,-84.216623,40.79885201,
,154,154,centroid,,-84.1886356,40.79630273,
,155,155,centroid,,-84.15938815,40.78396383,
,156,156,centroid,,-84.19086247,40.78583909,
,157,157,centroid,,-84.20507258,40.78952499,
,158,158,centroid,,-84.20400728,40.7880692,
,159,159,centroid,,-84.20173253,40.78711846,
,160,160,centroid,,-84.19166514,40.76800726,
,161,161,centroid,,-84.21274429,40.7704936,
,162,162,centroid,,-84.21666926,40.73963169,
,163,163,centroid,,-84.11193404,40.76851249,
,164,164,centroid,,-84.12391761,40.76128204,
,165,165,centroid,,-84.12258907,40.77456178,
,166,166,centroid,,-84.08545038,40.7661053,
,167,167,centroid,,-84.08637508,40.75769472,
,168,168,centroid,,-84.07274016,40.76183919,
,169,169,centroid,,-84.0818519,40.73541988,
,170,170,centroid,,-84.0843458,40.73169516,
,171,171,centroid,,-84.08770496,40.73373067,
,172,172,centroid,,-84.05207952,40.73678451,
,173,173,centroid,,-84.06922008,40.74032743,
,174,174,centroid,,-84.06015724,40.72943294,
,175,175,centroid,,-84.11628081,40.73801902,
,176,176,centroid,,-84.12175061,40.73800204,
,177,177,centroid,,-84.12174275,40.73934975,
,178,178,centroid,,-84.11212325,40.73936826,
,179,179,centroid,,-84.11203358,40.73800816,
,180,180,centroid,,-84.1087798,40.73789312,
,181,181,centroid,,-84.11167412,40.74467689,
,182,182,centroid,,-84.10863421,40.74338426,
,183,183,centroid,,-84.12194908,40.74655695,
,184,184,centroid,,-84.11521198,40.7416674,
,185,185,centroid,,-84.11193792,40.74069641,
,186,186,centroid,,-84.11211958,40.74197841,
,187,187,centroid,,-84.10876047,40.74199653,
,188,188,centroid,,-84.13520491,40.73856124,
,189,189,centroid,,-84.12627625,40.73834084,
,190,190,centroid,,-84.12618195,40.74182502,
,191,191,centroid,,-84.13502988,40.7419697,
,192,192,centroid,,-84.16763338,40.73187978,
,193,193,centroid,,-84.14947738,40.72945749,
,194,140,centroid,,-84.14486736,40.75073175,
,195,34,centroid,,-84.14979077,40.74490528,
,196,196,centroid,,-84.16817502,40.77350354,
,197,197,centroid,,-84.16243125,40.7784614,
,198,198,centroid,,-84.13717639,40.76465141,
,199,199,centroid,,-84.15144144,40.75982381,
,200,200,centroid,,-84.14982379,40.76247965,
,201,201,centroid,,-84.16254414,40.76603048,
,202,202,centroid,,-84.16056213,40.7671179,
,203,203,centroid,,-84.1678668,40.74668919,
,204,204,centroid,,-84.09960134,40.70029795,
,205,205,centroid,,-84.06145079,40.78459179,
,206,206,centroid,,-84.14967022,40.75325599,
,207,207,centroid,,-84.15355929,40.7527408,
,208,208,centroid,,-84.14410714,40.75390323,
,209,209,centroid,,-84.23280948,40.70219554,
,210,210,centroid,,-84.26077313,40.69889684,
,211,211,centroid,,-84.23161737,40.71874716,
,212,212,centroid,,-84.26131569,40.72005977,
,213,213,centroid,,-84.26106723,40.74175895,
,214,214,centroid,,-84.29060649,40.69687555,
,215,215,centroid,,-84.30881184,40.71602074,
,216,216,centroid,,-84.29577825,40.73642726,
,217,217,centroid,,-84.32897033,40.7088004,
,218,218,centroid,,-84.34347535,40.69239114,
,219,219,centroid,,-84.34919521,40.70420002,
,220,220,centroid,,-84.34311687,40.71330567,
,221,221,centroid,,-84.34843594,40.71016079,
,222,222,centroid,,-84.35853634,40.70596438,
,223,223,centroid,,-84.35307335,40.71254088,
,224,224,centroid,,-84.37812077,40.69255705,
,225,225,centroid,,-84.38060582,40.70713816,
,226,226,centroid,,-84.36745862,40.71918765,
,227,227,centroid,,-84.23264059,40.75860927,
,228,228,centroid,,-84.25795568,40.75856788,
,229,229,centroid,,-84.23278499,40.7781218,
,230,230,centroid,,-84.25805816,40.77616272,
,231,231,centroid,,-84.3032134,40.75678528,
,232,232,centroid,,-84.32329449,40.7521577,
,233,233,centroid,,-84.2955212,40.77454369,
,234,234,centroid,,-84.32240319,40.77757405,
,235,235,centroid,,-84.23131227,40.79205698,
,236,236,centroid,,-84.23530707,40.80904333,
,237,237,centroid,,-84.25260536,40.7997568,
,238,238,centroid,,-84.27324001,40.80487445,
,239,239,centroid,,-84.26637369,40.79201519,
,240,240,centroid,,-84.31574222,40.80417315,
,241,241,centroid,,-84.34528382,40.74770434,
,242,242,centroid,,-84.37335446,40.74592801,
,243,243,centroid,,-84.34879606,40.77134331,
,244,244,centroid,,-84.37509583,40.76874376,
,245,245,centroid,,-84.34835749,40.79066931,
,246,246,centroid,,-84.38159244,40.79585811,
,247,247,centroid,,-84.34724658,40.80879051,
,248,248,centroid,,-84.38108304,40.806437,
,249,249,centroid,,-84.34799067,40.82448078,
,250,250,centroid,,-84.34370171,40.83298958,
,251,251,centroid,,-84.34468626,40.83935738,
,252,252,centroid,,-84.35078007,40.84382879,
,253,253,centroid,,-84.34785044,40.84325146,
,254,254,centroid,,-84.34782022,40.84533377,
,255,255,centroid,,-84.34439468,40.84317399,
,256,256,centroid,,-84.34455986,40.84530245,
,257,257,centroid,,-84.34125951,40.84217349,
,258,258,centroid,,-84.34154659,40.84321815,
,259,259,centroid,,-84.34159765,40.84431566,
,260,260,centroid,,-84.34183849,40.84604952,
,261,261,centroid,,-84.3527841,40.85009226,
,262,262,centroid,,-84.3444779,40.85041166,
,263,263,centroid,,-84.33665641,40.85567003,
,264,264,centroid,,-84.32723284,40.85365147,
,265,265,centroid,,-84.33555772,40.85011362,
,266,266,centroid,,-84.33943856,40.84610337,
,267,267,centroid,,-84.33691587,40.84611888,
,268,268,centroid,,-84.33948601,40.84440997,
,269,269,centroid,,-84.33681023,40.84448661,
,270,270,centroid,,-84.33937523,40.84316569,
,271,271,centroid,,-84.3367453,40.84321811,
,272,272,centroid,,-84.33947285,40.84218854,
,273,273,centroid,,-84.33741604,40.84225562,
,274,274,centroid,,-84.330822,40.84514322,
,275,275,centroid,,-84.32346769,40.84565592,
,276,276,centroid,,-84.32427008,40.84207021,
,277,277,centroid,,-84.32632828,40.84147438,
,278,278,centroid,,-84.33329479,40.84268365,
,279,279,centroid,,-84.33576425,40.84010653,
,280,280,centroid,,-84.33101283,40.83721764,
,281,281,centroid,,-84.33774941,40.83448061,
,282,282,centroid,,-84.3320104,40.83400499,
,283,283,centroid,,-84.32984729,40.82534671,
,284,284,centroid,,-84.30011566,40.82274886,
,285,285,centroid,,-84.30081089,40.832134,
,286,286,centroid,,-84.31565652,40.84274341,
,287,287,centroid,,-84.3201833,40.85165304,
,288,288,centroid,,-84.30066494,40.84937409,
,289,289,centroid,,-84.2852647,40.82892097,
,290,290,centroid,,-84.27141021,40.82935561,
,291,291,centroid,,-84.27736203,40.85116443,
,292,292,centroid,,-84.24495119,40.84800764,
,293,293,centroid,,-84.24681832,40.82729497,
,294,294,centroid,,-84.21104222,40.82059072,
,295,295,centroid,,-84.18898559,40.8431609,
,296,296,centroid,,-84.17832066,40.84518965,
,297,297,centroid,,-84.16105364,40.82422081,
,298,298,centroid,,-84.15437913,40.85115832,
,299,299,centroid,,-84.12072774,40.84564095,
,300,300,centroid,,-84.10241128,40.82053327,
,301,301,centroid,,-84.09794951,40.83885577,
,302,302,centroid,,-84.08501176,40.8301934,
,303,303,centroid,,-84.0701091,40.82332471,
,304,304,centroid,,-84.07281784,40.84503258,
,305,305,centroid,,-84.0941104,40.87854702,
,306,306,centroid,,-84.06227964,40.88091648,
,307,307,centroid,,-84.03589109,40.89725456,
,308,308,centroid,,-84.03115459,40.87394973,
,309,309,centroid,,-84.00353099,40.87597109,
,310,310,centroid,,-84.03052748,40.84586267,
,311,311,centroid,,-84.03330107,40.8224603,
,312,312,centroid,,-84.00563435,40.84659775,
,313,313,centroid,,-83.99213792,40.8183439,
,314,314,centroid,,-83.96413902,40.81791418,
,315,315,centroid,,-83.97981577,40.8308247,
,316,316,centroid,,-83.97344969,40.83428518,
,317,317,centroid,,-83.96769161,40.83133547,
,318,318,centroid,,-83.95690278,40.83407718,
,319,319,centroid,,-83.95037885,40.84617194,
,320,320,centroid,,-83.95964392,40.85244363,
,321,321,centroid,,-83.98498935,40.8370252,
,322,322,centroid,,-83.98665678,40.87520962,
,323,323,centroid,,-83.95699049,40.8765058,
,324,324,centroid,,-83.99127164,40.90560269,
,325,325,centroid,,-83.95798874,40.90642711,
,326,326,centroid,,-83.91917556,40.91115292,
,327,327,centroid,,-83.92702374,40.89691632,
,328,328,centroid,,-83.90523195,40.90198151,
