geometry_id,geometry
1,"LINESTRING(1523373 1003235,1523448.678 1002967.757)"
2,"LINESTRING(1523373 1003235,1523365.11 1003474.169)"
3,"LINESTRING(1523373 1003235,1523666.177 1003224.848)"
4,"LINESTRING(1523373 1003235,1523143 1003235)"
5,"LINESTRING(1523873 1003225,1523854.344 1002961.414)"
6,"LINESTRING(1523873 1003225,1523854.344 1003450.648)"
7,"LINESTRING(1523873 1003225,1524150.707 1003215.44)"
8,"LINESTRING(1523873 1003225,1523666.177 1003224.848)"
9,"LINESTRING(1524263 1003205,1524432.957 1003196.623)"
10,"LINESTRING(1524263 1003205,1524150.707 1003215.44)"
11,"LINESTRING(1524224 1002265,1524428.253 1002274.606)"
12,"LINESTRING(1524224 1002265,1524128.379 1002273.724)"
13,"LINESTRING(1523854 1002765,1523854.344 1002961.414)"
14,"LINESTRING(1523854 1002765,1524141.299 1002763.839)"
15,"LINESTRING(1523854 1002765,1523666.177 1002777.952)"
16,"LINESTRING(1523854 1002765,1523854 1002505)"
17,"LINESTRING(1523354 1002745,1523448.678 1002967.757)"
18,"LINESTRING(1523354 1002745,1523666.177 1002777.952)"
19,"LINESTRING(1523354 1002745,1523129 1002769)"
20,"LINESTRING(1523354 1002745,1523334 1002515)"
21,"LINESTRING(1523324 1002284,1523334 1002515)"
22,"LINESTRING(1523324 1002284,1523656.769 1002284.014)"
23,"LINESTRING(1523324 1002284,1523123.576 1002307.867)"
24,"LINESTRING(1523324 1002284,1523341.59 1001992.355)"
25,"LINESTRING(1523844 1002275,1523854 1002505)"
26,"LINESTRING(1523844 1002275,1524128.379 1002273.724)"
27,"LINESTRING(1523844 1002275,1523656.769 1002284.014)"
28,"LINESTRING(1523844 1002275,1523783.803 1001983.927)"
29,"LINESTRING(1524695 1001515,1524113.746 1001766.444)"
30,"LINESTRING(1524695 1001515,1524404.732 1001361.997)"
31,"LINESTRING(1523804 1001755,1523783.803 1001983.927)"
32,"LINESTRING(1523804 1001755,1524113.746 1001766.444)"
33,"LINESTRING(1523804 1001755,1523628.544 1001775.964)"
