lane_id,link_id,lane_num,allowed_uses,r_barrier,l_barrier,width
1,1 100002,1,,,,
2,1 101990,1,,,,
3,1 101997,1,,,,
4,1 101998,1,,,,
5,10 100032,1,,,,
6,10 100035,1,,,,
7,10 100036,1,,,,
8,10 100046,1,,,,
9,100 100263,1,,,,
10,100 100497,1,,,,
11,100000 100001,1,,,,
12,100000 100283,1,,,,
13,100000 100289,1,,,,
14,100000 100289,2,,,,
15,100001 100000,1,,,,
16,100001 100002,1,,,,
17,100001 101998,1,,,,
18,100001 101998,2,,,,
19,100002 1,1,,,,
20,100002 100001,1,,,,
21,100002 100003,1,,,,
22,100002 6,1,,,,
23,100003 100002,1,,,,
24,100003 100004,1,,,,
25,100003 100008,1,,,,
26,100003 101997,1,,,,
27,100003 101997,2,,,,
28,100004 100003,1,,,,
29,100004 100005,1,,,,
30,100004 2,1,,,,
31,100004 5,1,,,,
32,100005 100004,1,,,,
33,100005 100004,2,,,,
34,100005 100006,1,,,,
35,100005 100006,2,,,,
36,100005 100007,1,,,,
37,100005 100007,2,,,,
38,100006 100005,1,,,,
39,100006 100005,2,,,,
40,100006 100097,1,,,,
41,100006 100097,2,,,,
42,100006 101995,1,,,,
43,100006 101995,2,,,,
44,100007 100018,1,,,,
45,100007 100018,2,,,,
46,100007 5,1,,,,
47,100008 100003,1,,,,
48,100008 100016,1,,,,
49,100008 5,1,,,,
50,100008 6,1,,,,
51,100009 100001,1,,,,
52,100009 100001,2,,,,
53,100009 6,1,,,,
54,100010 100011,1,,,,
55,100010 100011,2,,,,
56,100010 100025,1,,,,
57,100010 100290,1,,,,
58,100011 100012,1,,,,
59,100011 100012,2,,,,
60,100011 135,1,,,,
61,100011 187,1,,,,
62,100012 100013,1,,,,
63,100012 100013,2,,,,
64,100012 100024,1,,,,
65,100012 100024,2,,,,
66,100013 100009,1,,,,
67,100013 100009,2,,,,
68,100013 100014,1,,,,
69,100013 100014,2,,,,
70,100014 100016,1,,,,
71,100014 100016,2,,,,
72,100014 6,1,,,,
73,100014 7,1,,,,
74,100015 100063,1,,,,
75,100015 100063,2,,,,
76,100015 100251,1,,,,
77,100016 100008,1,,,,
78,100016 100017,1,,,,
