mvmt_id,node_id,name,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,type,penalty,capacity,ctrl_type
1,1,,100002 1,1,1,1 100002,1,1,uturn,,,none
2,1,,101990 1,1,1,1 101990,1,1,uturn,,,none
3,1,,101997 1,1,1,1 101997,1,1,uturn,,,none
4,1,,101998 1,1,1,1 101998,1,1,uturn,,,none
5,2,,100004 2,1,1,2 100004,1,1,uturn,,,none
6,2,,101992 2,1,1,2 101992,1,1,uturn,,,none
7,2,,101996 2,1,1,2 101996,1,1,uturn,,,none
8,2,,101997 2,1,1,2 101997,1,1,uturn,,,none
9,3,,101995 3,1,1,3 101995,1,1,uturn,,,none
10,3,,101996 3,1,1,3 101996,1,1,uturn,,,none
11,4,,100020 4,1,1,4 100020,1,1,uturn,,,none
12,4,,100021 4,1,1,4 100021,1,1,uturn,,,none
13,5,,100004 5,1,1,5 100004,1,1,uturn,,,none
14,5,,100007 5,1,1,5 100007,1,1,uturn,,,none
15,5,,100008 5,1,1,5 100008,1,1,uturn,,,none
16,5,,100017 5,1,1,5 100017,1,1,uturn,,,none
17,6,,100002 6,1,1,6 100002,1,1,uturn,,,none
18,6,,100008 6,1,1,6 100008,1,1,uturn,,,none
19,6,,100009 6,1,1,6 100009,1,1,uturn,,,none
20,6,,100014 6,1,1,6 100014,1,1,uturn,,,none
21,7,,100014 7,1,1,7 100014,1,1,uturn,,,none
22,7,,100022 7,1,1,7 100022,1,1,uturn,,,none
23,7,,100023 7,1,1,7 100023,1,1,uturn,,,none
24,7,,100030 7,1,1,7 100030,1,1,uturn,,,none
25,8,,100017 8,1,1,8 100017,1,1,uturn,,,none
26,8,,100021 8,1,1,8 100021,1,1,uturn,,,none
27,8,,100022 8,1,1,8 100022,1,1,uturn,,,none
28,8,,100032 8,1,1,8 100032,1,1,uturn,,,none
29,9,,100035 9,1,1,9 100035,1,1,uturn,,,none
30,9,,100100 9,1,1,9 100100,1,1,uturn,,,none
31,10,,100032 10,1,1,10 100032,1,1,uturn,,,none
32,10,,100035 10,1,1,10 100035,1,1,uturn,,,none
33,10,,100036 10,1,1,10 100036,1,1,uturn,,,none
34,10,,100046 10,1,1,10 100046,1,1,uturn,,,none
35,11,,100030 11,1,1,11 100030,1,1,uturn,,,none
36,11,,100036 11,1,1,11 100036,1,1,uturn,,,none
37,11,,100037 11,1,1,11 100037,1,1,uturn,,,none
38,11,,100044 11,1,1,11 100044,1,1,uturn,,,none
39,12,,100044 12,1,1,12 100044,1,1,uturn,,,none
40,12,,100050 12,1,1,12 100050,1,1,uturn,,,none
41,12,,100051 12,1,1,12 100051,1,1,uturn,,,none
42,12,,100055 12,1,1,12 100055,1,1,uturn,,,none
43,13,,100046 13,1,1,13 100046,1,1,uturn,,,none
44,13,,100049 13,1,1,13 100049,1,1,uturn,,,none
45,13,,100050 13,1,1,13 100050,1,1,uturn,,,none
46,13,,100057 13,1,1,13 100057,1,1,uturn,,,none
47,14,,101975 14,1,1,14 101975,1,1,uturn,,,none
48,14,,101983 14,1,1,14 101983,1,1,uturn,,,none
49,14,,101984 14,1,1,14 101984,1,1,uturn,,,none
50,15,,100143 15,1,1,15 100143,1,1,uturn,,,none
51,15,,101983 15,1,1,15 101983,1,1,uturn,,,none
52,16,,101900 16,1,1,16 101900,1,1,uturn,,,none
53,16,,101961 16,1,1,16 101961,1,1,uturn,,,none
54,17,,101932 17,1,1,17 101932,1,1,uturn,,,none
55,17,,101936 17,1,1,17 101936,1,1,uturn,,,none
56,17,,101939 17,1,1,17 101939,1,1,uturn,,,none
57,18,,100232 18,1,1,18 100232,1,1,uturn,,,none
58,18,,100235 18,1,1,18 100235,1,1,uturn,,,none
59,18,,100305 18,1,1,18 100305,1,1,uturn,,,none
60,19,,101940 19,1,1,19 101940,1,1,uturn,,,none
61,19,,101941 19,1,1,19 101941,1,1,uturn,,,none
62,20,,101940 20,1,1,20 101940,1,1,uturn,,,none
63,20,,101946 20,1,1,20 101946,1,1,uturn,,,none
64,21,,101946 21,1,1,21 101946,1,1,uturn,,,none
65,21,,101967 21,1,1,21 101967,1,1,uturn,,,none
66,21,,101969 21,1,1,21 101969,1,1,uturn,,,none
67,22,,100172 22,1,1,22 100172,1,1,uturn,,,none
68,22,,100208 22,1,1,22 100208,1,1,uturn,,,none
69,22,,101944 22,1,1,22 101944,1,1,uturn,,,none
70,22,,101970 22,1,1,22 101970,1,1,uturn,,,none
71,23,,100207 23,1,1,23 100207,1,1,uturn,,,none
