node_id,name,x_coord,y_coord,z_coord,node_type,ctrl_type,zone_id,parent_node_id
1,,1523373.0,1003235.0,,,none,1,
2,,1523873.0,1003225.0,,,none,2,
3,,1524263.0,1003205.0,,,none,3,
4,,1524224.0,1002265.0,,,none,4,
5,,1523854.0,1002765.0,,,none,5,
6,,1523354.0,1002745.0,,,none,6,
7,,1523324.0,1002284.0,,,none,7,
8,,1523844.0,1002275.0,,,none,8,
9,,1524695.0,1001515.0,,,none,9,
10,,1523804.0,1001755.0,,,none,10,
11,,1523374.0,1001765.0,,,none,11,
12,,1523304.0,1001264.0,,,none,12,
13,,1523815.0,1001245.0,,,none,13,
14,,1523402.0,1004955.0,,,none,14,
15,,1523952.454,1004620.162,,,none,15,
16,,1522041.0,1011125.0,,,none,16,
17,,1523748.0,1012078.0,,,none,17,
18,,1511204.0,1011999.0,,,none,18,
19,,1523309.0,1009956.0,,,none,19,
20,,1524720.0,1009927.0,,,none,20,
21,,1524681.0,1007287.0,,,none,21,
22,,1523211.0,1007546.0,,,none,22,
23,,1522100.0,1007725.0,,,none,23,
24,,1514001.0,1019473.0,,,none,24,
25,,1520931.0,1021918.0,,,none,25,
26,,1525292.0,1022231.0,,,none,26,
27,,1530894.0,1021975.0,,,none,27,
28,,1524925.0,1016980.0,,,none,28,
29,,1520967.0,1017101.0,,,none,29,
30,,1507425.0,1024921.0,,,none,30,
31,,1513827.0,1024725.0,,,none,31,
32,,1519421.348,1027000.82,,,none,32,
33,,1528420.0,1027515.0,,,none,33,
34,,1525423.0,1005196.0,,,none,34,
35,,1525674.0,1003396.0,,,none,35,
36,,1526310.0,1010389.0,,,none,36,
37,,1525471.0,1007787.0,,,none,37,
38,,1527361.0,1007748.0,,,none,38,
39,,1530722.073,1010795.08,,,none,39,
40,,1529813.0,1006220.0,,,none,40,
41,,1508488.0,1001637.0,,,none,41,
42,,1528345.0,1003328.0,,,none,42,
43,,1529627.0,1016182.0,,,none,43,
44,,1537870.0,1013607.0,,,none,44,
45,,1541263.0,1011698.0,,,none,45,
46,,1538323.502,1007384.282,,,none,46,
47,,1537052.0,1025750.0,,,none,47,
48,,1547583.0,1027882.0,,,none,48,
49,,1550594.0,1022186.0,,,none,49,
50,,1550372.0,1016409.0,,,none,50,
51,,1550657.0,1011827.0,,,none,51,
52,,1543746.0,1005428.0,,,none,52,
53,,1525964.0,1002456.0,,,none,53,
54,,1524945.0,1001756.0,,,none,54,
55,,1526576.0,1000136.0,,,none,55,
56,,1527987.0,999027.0,,,none,56,
57,,1529216.0,1002028.0,,,none,57,
58,,1530866.0,999978.0,,,none,58,
59,,1528828.0,1000599.0,,,none,59,
60,,1529628.0,997957.0,,,none,60,
61,,1530919.0,997728.0,,,none,61,
62,,1530110.0,994476.0,,,none,62,
63,,1534967.0,998908.0,,,none,63,
64,,1545740.0,1001048.0,,,none,64,
65,,1544813.0,995175.0,,,none,65,
66,,1534063.084,998195.062,,,none,66,
67,,1532629.0,996816.0,,,none,67,
68,,1536999.0,997172.0,,,none,68,
69,,1533814.0,990698.0,,,none,69,
70,,1544886.0,989303.0,,,none,70,
71,,1551650.0,1002132.0,,,none,71,
72,,1550957.567,993231.938,,,none,72,
73,,1549142.0,981383.0,,,none,73,
74,,1523795.0,1000815.0,,,none,74,
75,,1524505.0,1000835.0,,,none,75,
76,,1523896.0,999420.0,,,none,76,
77,,1524016.0,997682.0,,,none,77,
78,,1526554.0,997415.0,,,none,78,
79,,1527270.0,994835.0,,,none,79,
80,,1524669.0,994923.0,,,none,80,
81,,1524121.0,992095.0,,,none,81,
82,,1524230.643,989624.25,,,none,82,
83,,1526921.0,990858.0,,,none,83,
84,,1529873.0,988602.0,,,none,84,
85,,1524997.0,982880.0,,,none,85,
86,,1530660.0,979992.0,,,none,86,
87,,1535529.0,982777.0,,,none,87,
88,,1540821.0,979579.0,,,none,88,
89,,1525265.0,969027.0,,,none,89,
90,,1533338.0,972945.0,,,none,90,
91,,1548642.553,971686.688,,,none,91,
92,,1523285.0,1000764.0,,,none,92,
93,,1523306.0,999424.0,,,none,93,
94,,1522083.0,999061.0,,,none,94,
95,,1520116.0,997501.0,,,none,95,
96,,1522097.0,997292.0,,,none,96,
97,,1523342.0,997697.0,,,none,97,
98,,1522173.0,994087.0,,,none,98,
99,,1521724.0,992769.0,,,none,99,
100,,1518308.0,993869.0,,,none,100,
101,,1511720.0,988604.0,,,none,101,
102,,1509143.0,983200.0,,,none,102,
103,,1517101.0,987986.0,,,none,103,
104,,1519133.0,986857.0,,,none,104,
105,,1506435.0,978807.0,,,none,105,
106,,1512856.0,978801.0,,,none,106,
107,,1518350.0,974704.0,,,none,107,
108,,1520493.0,1001822.0,,,none,108,
109,,1522624.0,1001774.0,,,none,109,
110,,1521875.0,1000633.0,,,none,110,
111,,1520444.0,1000482.0,,,none,111,
112,,1513412.0,1001708.0,,,none,112,
113,,1516817.0,1001525.0,,,none,113,
114,,1517404.0,999920.0,,,none,114,
115,,1514293.0,999968.0,,,none,115,
116,,1514264.0,997838.0,,,none,116,
117,,1508281.0,1000714.0,,,none,117,
118,,1509462.0,1000025.0,,,none,118,
119,,1512160.82,994008.525,,,none,119,
120,,1508885.0,994663.0,,,none,120,
121,,1506743.03,990864.869,,,none,121,
122,,1502729.852,993094.412,,,none,122,
123,,1506541.825,984781.791,,,none,123,
124,,1493295.0,990622.0,,,none,124,
125,,1498545.0,992005.0,,,none,125,
126,,1502039.24,987256.053,,,none,126,
127,,1494239.0,985210.0,,,none,127,
128,,1493163.0,978948.0,,,none,128,
129,,1496386.0,974539.0,,,none,129,
130,,1520461.0,1005413.0,,,none,130,
131,,1522022.0,1004954.0,,,none,131,
132,,1522266.361,1003284.835,,,none,132,
133,,1520402.0,1003953.0,,,none,133,
134,,1519317.966,1002619.051,,,none,134,
135,,1522614.0,1002264.0,,,none,135,
136,,1513047.0,1008300.0,,,none,136,
137,,1518079.0,1007573.0,,,none,137,
138,,1520223.0,1007508.0,,,none,138,
139,,1516876.0,1004903.0,,,none,139,
140,,1514370.0,1005280.0,,,none,140,
141,,1511498.0,1006068.0,,,none,141,
142,,1511051.0,1001837.0,,,none,142,
143,,1513487.0,1003354.0,,,none,143,
144,,1516742.0,1002763.0,,,none,144,
145,,1507835.0,1014080.0,,,none,145,
146,,1514975.206,1014624.498,,,none,146,
147,,1512669.0,1011350.0,,,none,147,
148,,1510425.0,1008369.0,,,none,148,
149,,1504634.0,1011825.0,,,none,380,
150,,1508498.0,1004706.0,,,none,150,
151,,1504447.0,1005152.0,,,none,151,
152,,1498810.326,998699.673,,,none,152,
153,,1493132.0,1024031.0,,,none,153,
154,,1500864.0,1022956.0,,,none,154,
155,,1508880.0,1018310.0,,,none,155,
156,,1500176.0,1019155.0,,,none,156,
157,,1496266.0,1020572.0,,,none,157,
158,,1496551.0,1020036.0,,,none,158,
159,,1497174.423,1019677.708,,,none,159,
160,,1499832.0,1012662.0,,,none,160,
161,,1494010.0,1013678.0,,,none,161,
162,,1492708.998,1002454.097,,,none,162,
163,,1521922.0,1012442.0,,,none,163,
164,,1518555.0,1009867.0,,,none,164,
165,,1519010.0,1014699.0,,,none,165,
166,,1529243.0,1011435.0,,,none,166,
167,,1528933.0,1008375.0,,,none,167,
168,,1532737.0,1009819.0,,,none,168,
169,,1530044.0,1000237.0,,,none,169,
170,,1529329.0,998892.0,,,none,170,
171,,1528411.0,999650.0,,,none,171,
172,,1538304.0,1000591.0,,,none,172,
173,,1533576.0,1001964.0,,,none,173,
174,,1536019.0,997951.0,,,none,174,
175,,1520519.0,1001353.0,,,none,175,
176,,1519003.0,1001374.0,,,none,176,
177,,1519014.0,1001865.0,,,none,177,
178,,1521680.0,1001824.0,,,none,178,
179,,1521696.0,1001328.0,,,none,179,
180,,1522597.0,1001270.0,,,none,180,
181,,1521839.0,1003756.0,,,none,181,
182,,1522673.0,1003270.0,,,none,182,
183,,1519004.0,1004492.0,,,none,183,
184,,1520839.0,1002677.0,,,none,184,
185,,1521740.0,1002307.0,,,none,185,
186,,1521698.0,1002775.0,,,none,186,
187,,1522629.0,1002765.0,,,none,187,
188,,1515278.0,1001645.0,,,none,188,
189,,1517751.0,1001520.0,,,none,189,
190,,1517800.0,1002789.0,,,none,190,
191,,1515349.0,1002886.0,,,none,191,
192,,1506246.0,999375.0,,,none,192,
193,,1511262.0,998400.0,,,none,193,
194,,1512681.0,1006128.0,,,none,140,
195,,1511278.0,1004030.0,,,none,34,
196,,1506376.073,1014543.536,,,none,196,
197,,1508000.305,1016320.637,,,none,197,
198,,1514904.0,1011161.0,,,none,198,
199,,1510920.0,1009474.0,,,none,199,
200,,1511385.846,1010433.479,,,none,200,
201,,1507885.654,1011791.895,,,none,201,
202,,1508442.0,1012178.0,,,none,202,
203,,1506281.0,1004772.0,,,none,203,
204,,1524898.0,987527.0,,,none,204,
205,,1536008.0,1018055.0,,,none,205,
206,,1511367.0,1007072.0,,,none,206,
207,,1510286.0,1006904.0,,,none,207,
208,,1512912.682,1007279.711,,,none,208,
209,,1487974.305,988900.0,,,none,209,
210,,1480197.212,987848.188,,,none,210,
211,,1488420.531,994924.063,,,none,211,
212,,1480197.212,995561.563,,,none,212,
213,,1480420.326,1003466.137,,,none,213,
214,,1471910.146,987274.5,,,none,214,
215,,1467001.653,994350.375,,,none,215,
216,,1470762.706,1001713.104,,,none,216,
217,,1461360.074,991832.375,,,none,217,
218,,1457216.541,985935.813,,,none,218,
219,,1455718.494,990270.563,,,none,219,
220,,1457471.528,993553.563,,,none,220,
221,,1455973.481,992437.938,,,none,221,
222,,1453141.783,990966.563,,,none,222,
223,,1454705.609,993331.438,,,none,223,
224,,1447610.285,986194.312,,,none,224,
225,,1447031.828,991520.938,,,none,225,
226,,1450767.698,995835.25,,,none,226,
227,,1488415.628,1009453.087,,,none,227,
228,,1481401.833,1009573.599,,,none,228,
229,,1488512.037,1016563.292,,,none,229,
230,,1481498.243,1015984.834,,,none,230,
231,,1468850.307,1009171.463,,,none,231,
232,,1463252.735,1007597.203,,,none,232,
233,,1471110.113,1015599.196,,,none,233,
234,,1463686.578,1016852.52,,,none,234,
235,,1489017.276,1021632.838,,,none,235,
236,,1488029.99,1027843.209,,,none,236,
237,,1483175.385,1024552.086,,,none,237,
238,,1477498.629,1026528.325,,,none,238,
239,,1479308.0,1021805.696,,,none,239,
240,,1465726.332,1026506.74,,,none,240,
241,,1457126.976,1006098.485,,,none,241,
242,,1449335.538,1005611.52,,,none,242,
243,,1456330.124,1014731.044,,,none,243,
244,,1449025.651,1013934.192,,,none,244,
245,,1456595.741,1021769.899,,,none,245,
246,,1447431.948,1023850.568,,,none,246,
247,,1457038.436,1028366.06,,,none,247,
248,,1447653.295,1027702.017,,,none,248,
249,,1456949.441,1034087.083,,,none,249,
250,,1458199.832,1037163.046,,,none,250,
251,,1457974.762,1039488.774,,,none,251,
252,,1456321.892,1041152.489,,,none,252,
253,,1457128.213,1040925.525,,,none,253,
254,,1457152.103,1041684.063,,,none,254,
255,,1458083.852,1040877.743,,,none,255,
256,,1458053.988,1041654.2,,,none,256,
257,,1458943.927,1040495.487,,,none,257,
258,,1458872.254,1040877.743,,,none,258,
259,,1458866.281,1041277.917,,,none,259,
260,,1458812.526,1041911.028,,,none,260,
261,,1455814.209,1043446.023,,,none,261,
262,,1458114.693,1043515.333,,,none,262,
263,,1460317.658,1045387.164,,,none,263,
264,,1462909.828,1044598.762,,,none,264,
265,,1460580.458,1043356.432,,,none,265,
266,,1459476.965,1041917.109,,,none,266,
267,,1460175.083,1041908.544,,,none,267,
268,,1459451.267,1041300.367,,,none,268,
269,,1460192.214,1041313.216,,,none,269,
