segment_lane_id,segment_id,lane_num,parent_lane_id,allowed_uses,r_barrier,l_barrier,width
6659,977,-1,,,,,
6660,980,-1,,,,,
6661,986,-1,,,,,
6662,993,-1,,,,,
6663,999,-1,,,,,
6664,1030,-1,,,,,
6665,1044,4,,,,,
6666,1059,-1,,,,,
6667,1062,-1,,,,,
6668,1073,-1,,,,,
6669,1076,-1,,,,,
6670,1139,-1,,,,,
6671,1144,5,,,,,
6672,1144,-1,,,,,
6673,1151,3,,,,,
6674,1185,-1,,,,,
6675,1199,-1,,,,,
6676,1205,-1,,,,,
6677,1209,-1,,,,,
6678,1215,-1,,,,,
6679,1227,-1,,,,,
6680,1228,-1,,,,,
6681,1231,-1,,,,,
6682,1232,-1,,,,,
6683,1238,-1,,,,,
6684,1239,-1,,,,,
6685,1246,4,,,,,
6686,1250,-1,,,,,
6687,1252,-1,,,,,
6688,1260,-1,,,,,
6689,1262,-1,,,,,
6690,1265,-1,,,,,
6691,1285,-1,,,,,
6692,1297,-1,,,,,
6693,1298,-1,,,,,
6694,1301,-1,,,,,
6695,1304,-1,,,,,
6696,1307,-1,,,,,
6697,1308,4,,,,,
6698,1312,-1,,,,,
6699,1315,6,,,,,
6700,1315,-1,,,,,
6701,1319,-1,,,,,
6702,1322,5,,,,,
6703,1322,-1,,,,,
6704,1326,-1,,,,,
6705,1327,-1,,,,,
6706,1328,-1,,,,,
6707,1331,-1,,,,,
6708,1332,-1,,,,,
6709,1333,-1,,,,,
6710,1347,-1,,,,,
6711,1352,-1,,,,,
6712,1361,-1,,,,,
6713,1363,5,,,,,
6714,1363,-1,,,,,
6715,1366,-1,,,,,
6716,1390,-1,,,,,
6717,1414,-1,,,,,
6718,1441,3,,,,,
6719,1444,3,,,,,
6720,1455,-1,,,,,
6721,1456,-1,,,,,
6722,1460,-1,,,,,
6723,1478,-1,,,,,
6724,1479,-1,,,,,
6725,1491,3,,,,,
6726,1506,-1,,,,,
6727,1513,-1,,,,,
6728,1522,-1,,,,,
6729,1523,5,,,,,
6730,1523,-1,,,,,
6731,1532,-1,,,,,
6732,1575,-1,,,,,
6733,1576,-1,,,,,
6734,1596,-1,,,,,
6735,1597,-1,,,,,
6736,1598,-1,,,,,
6737,1623,-1,,,,,
6738,1640,-1,,,,,
6739,1650,-1,,,,,
6740,1664,-1,,,,,
6741,1666,-1,,,,,
6742,1668,-1,,,,,
6743,1671,-1,,,,,
6744,1673,-1,,,,,
6745,1675,-1,,,,,
6746,1677,-1,,,,,
6747,1685,3,,,,,
6748,1686,-1,,,,,
6749,1687,-1,,,,,
6750,1691,-1,,,,,
6751,1692,-1,,,,,
6752,1700,-1,,,,,
6753,1725,-1,,,,,
6754,1754,-1,,,,,
6755,1755,-1,,,,,
6756,1759,4,,,,,
6757,1759,-1,,,,,
6758,1762,-1,,,,,
6759,1765,-1,,,,,
6760,1769,-1,,,,,
6761,1771,-1,,,,,
6762,1777,-1,,,,,
6763,1778,-1,,,,,
6764,1782,-1,,,,,
6765,1789,-1,,,,,
6766,1790,-1,,,,,
6767,1804,3,,,,,
6768,1805,-1,,,,,
6769,1809,4,,,,,
6770,1814,-1,,,,,
6771,1829,-1,,,,,
6772,1830,-1,,,,,
6773,1835,4,,,,,
6774,1835,-1,,,,,
6775,1836,-1,,,,,
6776,1841,-1,,,,,
6777,1842,-1,,,,,
6778,1855,-1,,,,,
6779,1860,-1,,,,,
6780,1861,-1,,,,,
6781,1863,3,,,,,
6782,1866,4,,,,,
6783,1866,-1,,,,,
6784,1871,6,,,,,
6785,1871,-1,,,,,
6786,1880,-1,,,,,
6787,1882,-1,,,,,
6788,1883,-1,,,,,
6789,1886,-1,,,,,
6790,1902,3,,,,,
6791,1909,-1,,,,,
6792,2035,-1,,,,,
6793,2039,-1,,,,,
6794,2045,-1,,,,,
6795,2052,-1,,,,,
6796,2056,-1,,,,,
6797,2057,-1,,,,,
6798,2062,-1,,,,,
6799,2076,-1,,,,,
6800,2083,-1,,,,,
6801,2089,-1,,,,,
6802,2090,-1,,,,,
6803,2096,-1,,,,,
6804,2100,-1,,,,,
6805,2102,4,,,,,
6806,2102,-1,,,,,
6807,2103,-1,,,,,
6808,2106,-1,,,,,
6809,2112,-1,,,,,
6810,2113,-1,,,,,
6811,2116,-1,,,,,
6812,2119,3,,,,,
6813,2120,-1,,,,,
6814,2125,-1,,,,,
6815,2131,-1,,,,,
6816,2136,-1,,,,,
6817,2142,-1,,,,,
6818,2144,-1,,,,,
6819,2151,-1,,,,,
6820,2152,-1,,,,,
6821,2163,-1,,,,,
6822,2169,-1,,,,,
6823,2170,-1,,,,,
6824,2179,-1,,,,,
6825,2184,4,,,,,
6826,2187,-1,,,,,
6827,2193,-1,,,,,
6828,2199,-1,,,,,
6829,2237,-1,,,,,
6830,2241,-1,,,,,
6831,2256,-1,,,,,
6832,2275,-1,,,,,
6833,2281,-1,,,,,
6834,2282,3,,,,,
6835,2283,-1,,,,,
6836,2363,-1,,,,,
6837,2377,-1,,,,,
6838,2378,-1,,,,,
