signal_phase_mvmt_id,timing_phase_id,mvmt_id,link_id,protection
0,10000001,1016,,
1,10000001,1019,,
2,10000002,1017,,
3,10000101,1023,,
4,10000101,1026,,
5,10000102,1024,,
6,10000301,1042,,
7,10000301,1043,,
8,10000302,1042,,
9,10000302,1043,,
10,10000303,1044,,
11,10000303,1045,,
12,10000601,1073,,
13,10000601,1077,,
14,10000602,1074,,
15,10001001,1098,,
16,10001002,1099,,
17,10001002,1100,,
18,10001201,1113,,
19,10001202,1112,,
20,10001301,1116,,
21,10001302,1118,,
22,10001601,1130,,
23,10001601,1134,,
24,10001602,1131,,
25,10002601,1189,,
26,10002601,1191,,
27,10002602,1188,,
28,10002602,1190,,
29,10002801,1215,,
30,10002801,1213,,
31,10002802,1212,,
32,10002901,1219,,
33,10002901,1222,,
34,10002902,1220,,
35,10003301,1250,,
36,10003302,1253,,
37,10003302,1251,,
38,10003401,1257,,
39,10003401,1261,,
40,10003402,1258,,
41,10004201,1310,,
42,10004202,1309,,
43,10004501,1326,,
44,10004501,1325,,
45,10004502,1324,,
46,10005201,1363,,
47,10005202,1362,,
48,10005202,1364,,
49,10005601,1384,,
50,10005601,1388,,
51,10005602,1385,,
52,10007901,1538,,
53,10007901,1539,,
54,10007902,1538,,
55,10007902,1539,,
56,10007903,1540,,
57,10007903,1537,,
58,10007904,1540,,
59,10007904,1537,,
60,10008101,1557,,
61,10008101,1556,,
62,10008102,1555,,
63,10008102,1558,,
64,10008201,1567,,
65,10008201,1568,,
66,10008202,1567,,
67,10008202,1568,,
68,10008203,1570,,
69,10008203,1569,,
70,10008204,1570,,
71,10008204,1569,,
72,10008301,1579,,
73,10008301,1580,,
74,10008302,1582,,
75,10008302,1581,,
76,10008801,1630,,
77,10008801,1632,,
78,10008802,1630,,
79,10008802,1632,,
80,10008803,1631,,
81,10008803,1633,,
82,10008804,1631,,
83,10008804,1633,,
84,10009101,1653,,
85,10009101,1651,,
86,10009102,1650,,
87,10009201,1656,,
88,10009201,1657,,
89,10009202,1659,,
90,10009202,1658,,
91,10009203,1659,,
92,10009203,1658,,
93,10009701,1695,,
94,10009701,1697,,
95,10009702,1695,,
96,10009702,1697,,
97,10009703,1696,,
98,10009703,1698,,
99,10009704,1696,,
100,10009704,1698,,
101,10010701,1791,,
102,10010701,1793,,
103,10010702,1794,,
104,10010702,1792,,
105,10010801,1803,,
106,10010801,1806,,
107,10010802,1803,,
108,10010802,1806,,
109,10010803,1805,,
110,10010803,1804,,
111,10010901,1815,,
112,10010902,1818,,
113,10010902,1816,,
114,10011301,1844,,
115,10011301,1847,,
116,10011302,1844,,
117,10011302,1847,,
118,10011303,1846,,
119,10011303,1845,,
120,10011401,1856,,
121,10011401,1859,,
122,10011402,1856,,
123,10011402,1859,,
124,10011403,1858,,
125,10011403,1857,,
126,10011501,1870,,
127,10011501,1871,,
128,10011502,1870,,
129,10011502,1871,,
130,10011503,1869,,
131,10011503,1868,,
132,10011504,1869,,
133,10011504,1868,,
134,10011801,1892,,
135,10011801,1893,,
136,10011802,1892,,
137,10011802,1893,,
138,10011803,1894,,
139,10011803,1895,,
140,10011901,1906,,
141,10011901,1904,,
142,10011902,1905,,
143,10012001,1913,,
144,10012001,1910,,
145,10012002,1911,,
146,10012301,1924,,
147,10012301,1925,,
148,10012302,1924,,
149,10012302,1925,,
150,10012303,1926,,
151,10012303,1927,,
152,10016801,2317,,
153,10016801,2320,,
154,10016802,2319,,
155,10016802,2318,,
156,10017101,2336,,
157,10017101,2337,,
158,10017102,2336,,
159,10017102,2337,,
160,10017103,2339,,
161,10017103,2338,,
162,10017104,2339,,
163,10017104,2338,,
164,10017301,2352,,
165,10017302,2351,,
166,10017601,2364,,
167,10017601,2363,,
168,10017602,2368,,
169,10017602,2367,,
170,10017603,2365,,
171,10017603,2366,,
172,10017604,2369,,
173,10017604,2370,,
174,10017701,2378,,
175,10017701,2377,,
176,10017702,2378,,
177,10017702,2377,,
178,10017703,2375,,
179,10017703,2376,,
180,10017704,2375,,
181,10017704,2376,,
182,10020401,2535,,
183,10020401,2538,,
184,10020402,2537,,
185,10020402,2536,,
186,10021101,2567,,
187,10021101,2569,,
188,10021102,2567,,
189,10021102,2569,,
190,10021103,2568,,
191,10021103,2566,,
192,10021901,2599,,
193,10021901,2600,,
194,10021902,2597,,
195,10021902,2598,,
196,10022201,2619,,
197,10022201,2620,,
198,10022202,2619,,
199,10022202,2620,,
200,10022203,2622,,
201,10022203,2621,,
202,10022501,2643,,
203,10022501,2642,,
204,10022502,2641,,
205,10023401,2688,,
206,10023401,2686,,
207,10023402,2685,,
208,10023402,2687,,
209,10024001,2712,,
210,10024001,2713,,
211,10024002,2712,,
212,10024002,2713,,
213,10024003,2714,,
214,10024003,2715,,
215,10024901,2756,,
216,10024901,2757,,
217,10024902,2759,,
218,10024902,2758,,
219,10028701,2993,,
220,10028701,2992,,
221,10028702,2996,,
222,10028702,2995,,
223,10028703,2994,,
224,10028704,2997,,
225,10030701,3105,,
226,10030701,3109,,
227,10030702,3107,,
228,10030702,3106,,
229,10050001,3195,,
230,10050001,3194,,
231,10050002,3193,,
232,10054401,3512,,
233,10054401,3514,,
234,10054402,3512,,
235,10054402,3514,,
236,10054403,3515,,
237,10054403,3513,,
238,10054404,3515,,
239,10054404,3513,,
240,10054701,3548,,
241,10054701,3549,,
242,10054702,3548,,
243,10054702,3549,,
244,10054703,3550,,
245,10054703,3551,,
246,10054704,3550,,
247,10054704,3551,,
248,10055501,3613,,
249,10055501,3614,,
250,10055502,3613,,
251,10055502,3614,,
252,10055503,3612,,
253,10055503,3611,,
254,10055504,3612,,
255,10055504,3611,,
256,10055701,3629,,
257,10055701,3630,,
258,10055702,3629,,
259,10055702,3630,,
260,10055703,3632,,
261,10055703,3631,,
262,10055704,3632,,
263,10055704,3631,,
264,10056101,3662,,
265,10056101,3663,,
266,10056102,3662,,
267,10056102,3663,,
268,10056103,3660,,
269,10056103,3661,,
270,10056601,3703,,
271,10056601,3705,,
272,10056602,3702,,
273,10056602,3704,,
274,10056701,3716,,
275,10056701,3715,,
276,10056702,3714,,
277,10057201,3743,,
278,10057201,3744,,
279,10057202,3743,,
280,10057202,3744,,
281,10057203,3742,,
282,10057203,3741,,
283,10057204,3742,,
284,10057204,3741,,
285,10057901,3807,,
286,10057901,3810,,
287,10057902,3807,,
288,10057902,3810,,
289,10057903,3808,,
290,10057903,3809,,
291,10057904,3808,,
292,10057904,3809,,
293,10058101,3825,,
294,10058101,3828,,
295,10058102,3826,,
296,10058102,3827,,
297,10058201,3837,,
298,10058201,3840,,
299,10058202,3839,,
300,10058202,3838,,
301,10058401,3857,,
302,10058401,3858,,
303,10058402,3855,,
304,10058402,3856,,
305,10058801,3885,,
306,10058801,3884,,
307,10058802,3883,,
308,10058901,3891,,
309,10058901,3889,,
310,10058902,3890,,
311,10059201,3909,,
312,10059201,3907,,
313,10059202,3908,,
314,10059301,3916,,
315,10059301,3914,,
316,10059302,3913,,
317,10059501,3923,,
318,10059501,3924,,
319,10059502,3922,,
320,10059502,3921,,
321,10059601,3933,,
322,10059601,3936,,
323,10059602,3934,,
324,10059602,3935,,
325,10060601,3993,,
326,10060601,3996,,
327,10060602,3993,,
328,10060602,3996,,
329,10060603,3995,,
330,10060603,3994,,
331,10060604,3995,,
332,10060604,3994,,
333,10061401,4067,,
334,10061401,4070,,
335,10061402,4067,,
336,10061402,4070,,
337,10061403,4068,,
338,10061403,4069,,
339,10061404,4068,,
340,10061404,4069,,
341,10065001,4343,,
342,10065001,4345,,
343,10065002,4343,,
344,10065002,4345,,
345,10065003,4344,,
346,10065003,4346,,
347,10065004,4344,,
348,10065004,4346,,
