timing_plan_id,signal_phase_num,max_green,min_green,clearance,extension,walk_time,ped_clearance,ring,barrier,position,timing_phase_id
100000,1,90,15,4,,,,,,,10000001
100000,2,90,15,4,,,,,,,10000002
100001,1,90,15,4,,,,,,,10000101
100001,2,90,15,4,,,,,,,10000102
100003,1,40,5,2,,,,,,,10000301
100003,2,90,15,2,,,,,,,10000302
100003,3,90,12,2,,,,,,,10000303
100006,1,90,15,4,,,,,,,10000601
100006,2,90,15,4,,,,,,,10000602
100010,1,90,15,4,,,,,,,10001001
100010,2,90,15,4,,,,,,,10001002
100012,1,90,15,4,,,,,,,10001201
100012,2,90,15,4,,,,,,,10001202
100013,1,90,15,4,,,,,,,10001301
100013,2,90,15,4,,,,,,,10001302
100016,1,90,15,4,,,,,,,10001601
100016,2,90,15,4,,,,,,,10001602
100026,1,90,17,3,,,,,,,10002601
100026,2,90,14,3,,,,,,,10002602
100028,1,90,15,4,,,,,,,10002801
100028,2,90,15,4,,,,,,,10002802
100029,1,90,15,4,,,,,,,10002901
100029,2,90,15,4,,,,,,,10002902
100033,1,90,15,4,,,,,,,10003301
100033,2,90,15,4,,,,,,,10003302
100034,1,90,15,4,,,,,,,10003401
100034,2,90,15,4,,,,,,,10003402
100042,1,90,17,3,,,,,,,10004201
100042,2,90,14,3,,,,,,,10004202
100045,1,90,15,4,,,,,,,10004501
100045,2,90,15,4,,,,,,,10004502
100052,1,90,17,3,,,,,,,10005201
100052,2,90,14,3,,,,,,,10005202
100056,1,90,15,4,,,,,,,10005601
100056,2,90,15,4,,,,,,,10005602
100079,1,40,5,2,,,,,,,10007901
100079,2,90,20,2,,,,,,,10007902
100079,3,40,5,2,,,,,,,10007903
100079,4,90,15,2,,,,,,,10007904
100081,1,90,27,5,,,,,,,10008101
100081,2,90,17,5,,,,,,,10008102
100082,1,40,5,2,,,,,,,10008201
100082,2,90,17,2,,,,,,,10008202
100082,3,40,5,2,,,,,,,10008203
100082,4,90,17,2,,,,,,,10008204
100083,1,90,27,5,,,,,,,10008301
100083,2,90,17,5,,,,,,,10008302
100088,1,40,5,2,,,,,,,10008801
100088,2,90,20,2,,,,,,,10008802
100088,3,40,5,2,,,,,,,10008803
100088,4,90,15,2,,,,,,,10008804
100091,1,90,27,5,,,,,,,10009101
100091,2,90,17,5,,,,,,,10009102
100092,1,90,22,3,,,,,,,10009201
100092,2,40,5,3,,,,,,,10009202
100092,3,90,17,3,,,,,,,10009203
100097,1,40,5,2,,,,,,,10009701
100097,2,90,17,2,,,,,,,10009702
100097,3,40,5,2,,,,,,,10009703
100097,4,90,17,2,,,,,,,10009704
100107,1,90,22,5,,,,,,,10010701
100107,2,90,22,5,,,,,,,10010702
100108,1,40,5,3,,,,,,,10010801
100108,2,90,27,3,,,,,,,10010802
100108,3,90,12,3,,,,,,,10010803
100109,1,60,5,5,,,,,,,10010901
100109,2,60,5,5,,,,,,,10010902
100113,1,40,5,3,,,,,,,10011301
100113,2,90,20,3,,,,,,,10011302
100113,3,90,20,3,,,,,,,10011303
100114,1,40,5,3,,,,,,,10011401
100114,2,90,27,3,,,,,,,10011402
100114,3,90,12,3,,,,,,,10011403
100115,1,40,5,2,,,,,,,10011501
100115,2,90,27,2,,,,,,,10011502
100115,3,40,5,2,,,,,,,10011503
100115,4,90,7,2,,,,,,,10011504
100118,1,40,5,3,,,,,,,10011801
100118,2,90,22,3,,,,,,,10011802
100118,3,90,17,3,,,,,,,10011803
100119,1,90,25,5,,,,,,,10011901
100119,2,90,20,5,,,,,,,10011902
100120,1,90,25,5,,,,,,,10012001
100120,2,90,20,5,,,,,,,10012002
100123,1,40,5,3,,,,,,,10012301
100123,2,90,22,3,,,,,,,10012302
100123,3,90,17,3,,,,,,,10012303
100168,1,90,27,5,,,,,,,10016801
100168,2,90,17,5,,,,,,,10016802
100171,1,40,5,2,,,,,,,10017101
100171,2,90,20,2,,,,,,,10017102
100171,3,40,5,2,,,,,,,10017103
100171,4,90,15,2,,,,,,,10017104
100173,1,60,5,5,,,,,,,10017301
100173,2,60,5,5,,,,,,,10017302
100176,1,60,5,5,,,,,,,10017601
100176,2,60,5,5,,,,,,,10017602
100176,3,60,5,5,,,,,,,10017603
100176,4,60,5,5,,,,,,,10017604
100177,1,40,5,2,,,,,,,10017701
100177,2,90,20,2,,,,,,,10017702
100177,3,40,5,2,,,,,,,10017703
100177,4,90,15,2,,,,,,,10017704
100204,1,90,27,5,,,,,,,10020401
100204,2,90,17,5,,,,,,,10020402
100211,1,40,5,3,,,,,,,10021101
100211,2,90,27,3,,,,,,,10021102
100211,3,90,12,3,,,,,,,10021103
100219,1,90,27,5,,,,,,,10021901
100219,2,90,17,5,,,,,,,10021902
100222,1,40,5,3,,,,,,,10022201
100222,2,90,27,3,,,,,,,10022202
100222,3,90,12,3,,,,,,,10022203
100225,1,90,27,5,,,,,,,10022501
100225,2,90,17,5,,,,,,,10022502
100234,1,60,5,5,,,,,,,10023401
100234,2,60,5,5,,,,,,,10023402
100240,1,40,5,3,,,,,,,10024001
100240,2,90,27,3,,,,,,,10024002
100240,3,90,12,3,,,,,,,10024003
100249,1,90,19,4,,,,,,,10024901
100249,2,90,12,4,,,,,,,10024902
100287,1,60,5,5,,,,,,,10028701
100287,2,60,5,5,,,,,,,10028702
100287,3,60,5,5,,,,,,,10028703
100287,4,60,5,5,,,,,,,10028704
100307,1,90,27,5,,,,,,,10030701
100307,2,90,17,5,,,,,,,10030702
100500,1,90,27,5,,,,,,,10050001
100500,2,90,17,5,,,,,,,10050002
100544,1,40,5,2,,,,,,,10054401
100544,2,90,17,2,,,,,,,10054402
100544,3,40,5,2,,,,,,,10054403
100544,4,90,17,2,,,,,,,10054404
100547,1,40,5,2,,,,,,,10054701
100547,2,90,17,2,,,,,,,10054702
100547,3,40,5,2,,,,,,,10054703
100547,4,90,17,2,,,,,,,10054704
100555,1,40,5,2,,,,,,,10055501
100555,2,90,27,2,,,,,,,10055502
100555,3,40,5,2,,,,,,,10055503
100555,4,90,7,2,,,,,,,10055504
100557,1,40,5,2,,,,,,,10055701
100557,2,90,17,2,,,,,,,10055702
100557,3,40,5,2,,,,,,,10055703
100557,4,90,17,2,,,,,,,10055704
100561,1,40,5,3,,,,,,,10056101
100561,2,90,27,3,,,,,,,10056102
100561,3,90,12,3,,,,,,,10056103
100566,1,90,22,5,,,,,,,10056601
100566,2,90,22,5,,,,,,,10056602
100567,1,90,22,5,,,,,,,10056701
100567,2,90,22,5,,,,,,,10056702
100572,1,40,5,2,,,,,,,10057201
100572,2,90,27,2,,,,,,,10057202
100572,3,40,5,2,,,,,,,10057203
100572,4,90,7,2,,,,,,,10057204
