From,To,NumMidPoints,Shape_Points
100003,100002,1,"1523610 1002962,"
100002,100003,1,"1523610 1002962,"
100053,100054,1,"1523057 1000994,"
100088,100060,2,"1524984 1000988,1524702 1000990,"
100066,100065,5,"1522766 1000082,1522711 1000066,1522647 1000044,1522607 1000024,1522607 1000024,"
100065,100066,5,"1522607 1000024,1522607 1000024,1522647 1000044,1522711 1000066,1522766 1000082,"
100576,100081,1,"1524343 998085,"
100082,100081,1,"1524504 998448,"
100086,100082,2,"1525239 998858,1525236 998614,"
100081,100082,1,"1524504 998448,"
100083,100082,5,"1526980 998456,1526781 998456,1525772 998453,1525433 998452,1525249 998451,"
100082,100083,5,"1525249 998451,1525433 998452,1525772 998453,1526781 998456,1526980 998456,"
100084,100083,1,"1527127 998457,"
100085,100084,3,"1529098 998457,1528807 998457,1528806 998457,"
100083,100084,1,"1527127 998457,"
100084,100085,3,"1528806 998457,1528807 998457,1529098 998457,"
100109,100085,6,"1530523 998440,1530518 998441,1530517 998441,1530466 998441,1530466 998441,1529792 998448,"
100088,100086,3,"1525234 1000643,1525234 1000641,1525233 1000605,"
100082,100086,2,"1525236 998614,1525239 998858,"
100088,100087,3,"1525731 1001080,1525880 1001140,1526581 1001105,"
100107,100087,2,"1527031 1001083,1527018 1001083,"
100087,100088,3,"1526581 1001105,1525880 1001140,1525731 1001080,"
100086,100088,3,"1525233 1000605,1525234 1000641,1525234 1000643,"
100060,100088,2,"1524702 1000990,1524984 1000988,"
100107,100090,9,"1527418 1001129,1526730 1001751,1526484 1001925,1526483 1001927,1526436 1001960,1526298 1001987,1526177 1002009,1525967 1002014,1525760 1002006,"
100091,100090,1,"1525713 1002004,"
100090,100091,1,"1525713 1002004,"
100104,100103,6,"1530930 1002726,1530600 1002724,1530598 1002724,1529277 1002727,1529275 1002760,1529275 1002761,"
100103,100104,6,"1529275 1002761,1529275 1002760,1529277 1002727,1530598 1002724,1530600 1002724,1530930 1002726,"
100120,100104,22,"1534397 1003774,1534223 1003773,1534137 1003761,1534049 1003747,1534043 1003745,1533920 1003704,1533741 1003571,1533608 1003447,1533481 1003286,1533324 1003121,1533199 1002989,1533062 1002897,1533057 1002893,1532889 1002825,1532739 1002808,1532677 1002804,1532676 1002804,1532603 1002798,1532272 1002779,1531993 1002751,1531846 1002745,1531308 1002723,"
100128,100105,4,"1541351 1003735,1539250 1003746,1536637 1003762,1536425 1003763,"
100107,100106,1,"1527919 1001083,"
100090,100107,9,"1525760 1002006,1525967 1002014,1526177 1002009,1526298 1001987,1526436 1001960,1526483 1001927,1526484 1001925,1526730 1001751,1527418 1001129,"
100106,100107,1,"1527919 1001083,"
100087,100107,2,"1527018 1001083,1527031 1001083,"
100085,100109,5,"1529792 998448,1530466 998441,1530466 998441,1530517 998441,1530518 998441,"
100110,100109,2,"1530876 998413,1530725 998423,"
100109,100110,2,"1530725 998423,1530876 998413,"
100111,100110,2,"1531307 998454,1531044 998420,"
102520,100111,7,"1531707 999090,1531692 998989,1531677 998900,1531652 998812,1531614 998723,1531542 998606,1531507 998549,"
104438,100111,1,"1531719 998459,"
100110,100111,2,"1531044 998420,1531307 998454,"
100307,100113,2,"1532634 998445,1532718 998443,"
100127,100113,8,"1533203 997565,1533181 997597,1533129 997671,1533055 997796,1533028 998116,1533018 998243,1533024 998382,1533025 998385,"
100114,100113,4,"1534107 998421,1533722 998412,1533703 998411,1533386 998417,"
