node_id,name,x_coord,y_coord,z_coord,node_type,ctrl_type,zone_id,parent_node_id
1237,,323784.13734055974,4694759.27611529,,,,,
150,,325887.820532012,4692134.121199565,,,,,
419,,325868.00269681576,4692261.303800649,,,,,
1021,,323407.21106191794,4694076.453000914,,,,,
67,,326753.27134485415,4691623.857492472,,,,,
1020,,323273.33968723577,4694073.844960216,,,,,
1029,,323215.0896021215,4694062.538752256,,traffic_signals,,,
280,,327943.00732385763,4692395.660729557,,traffic_signals,,,
1023,,324909.9734785877,4694053.342468019,,,,,
1005,,322940.81363697874,4693930.116089615,,,,,
1047,,325004.43040011585,4694093.134938573,,traffic_signals,,,
1066,,324885.74591392797,4694043.171002316,,,,,
1594,,322954.25282102625,4693865.429473372,,,,,
1435,,324822.4731372648,4695709.830281286,,,,,
901,,323686.77553110145,4693709.735920621,,,,,
952,,323682.9903100051,4693744.565532908,,,,,
344,,328051.24416181596,4692592.476149855,,,,,
50,,325942.08655122214,4691442.635291458,,,,,
386,,327830.8647409078,4692724.915664948,,,,,
1468,,324800.5883689454,4695688.089344822,,,,,
401,,327806.0773099147,4692670.537159763,,,,,
175,,327461.0195133928,4692218.161631113,,,,,
311,,328187.9953330145,4692553.1955677485,,,,,
1056,,325298.5836033161,4694115.78237753,,,,,
1043,,325285.50705593696,4694149.309437147,,,,,
418,,327207.20738128165,4692250.445429136,,,,,
421,,327120.1574842373,4692262.028437305,,traffic_signals,,,
1614,,322948.0056177351,4693894.9551756475,,,,,
922,,323420.2742084401,4693832.883134893,,,,,
173,,325915.36329603905,4692244.592201248,,,,,
743,,326523.2845576641,4693013.987269778,,,,,
262,,327249.68065632635,4692457.918107654,,,,,
271,,327218.7542178292,4692467.49265094,,,,,
1401,,324634.9891619075,4695423.346650309,,,,,
916,,323478.08200399135,4693826.279584305,,,,,
1117,,323720.41439979523,4694266.4801526405,,,,,
343,,328073.01637393335,4692562.763760073,,traffic_signals,,,
876,,326666.68939989636,4693707.089788938,,,,,
1091,,323623.0031881073,4694294.692123821,,turning_circle,,,
658,,325438.5556110256,4693320.767627737,,traffic_signals,,,
692,,325409.4419664459,4693276.304689553,,,,,
1470,,324450.63157920557,4695668.422868887,,traffic_signals,,,
188,,327147.0398213555,4692176.087059686,,,,,
542,,326783.3968242501,4693046.332125689,,,,,
82,,327627.7017180103,4691668.848115017,,traffic_signals,,,
1112,,324364.85461065936,4694260.979418237,,,,,
1116,,324308.242517381,4694265.856851593,,,,,
286,,327230.22755108855,4692395.209737284,,,,,
976,,325510.2913780746,4693669.570761134,,,,,
689,,325924.08437935513,4693250.970162009,,,,,
217,,327208.0972878684,4692322.200888839,,,,,
953,,323346.33546266885,4693750.7475591535,,,,,
644,,328647.67288691556,4693245.325679258,,,,,
687,,325566.5186673612,4693250.553252444,,,,,
732,,329034.74962410366,4693009.21602874,,,,,
698,,325849.49455498235,4693280.993236075,,,,,
1406,,322491.0650490548,4695530.005770628,,,,,
1596,,324278.26246720797,4693873.234981859,,,,,
647,,327180.56735336303,4693237.310542751,,traffic_signals,,,
989,,324258.6726831868,4693965.095698828,,,,,
695,,327203.4198074312,4693280.590423204,,,,,
685,,327771.06928710244,4693262.071740487,,traffic_signals,,,
1607,,324362.58864746336,4693887.59531859,,,,,
650,,323801.709995021,4693328.197729294,,,,,
882,,325492.5335348394,4693728.203237278,,,,,
1430,,322383.0293520587,4695678.977406196,,,,,
1235,,323715.8982990908,4694730.828442372,,,,,
1600,,323560.54837261996,4693864.122387521,,,,,
1413,,325024.6062967725,4695650.9674093155,,,,,
630,,327628.145538557,4693210.347364015,,,,,
1041,,322748.24504631525,4694137.099686582,,,,,
1236,,325642.2666869161,4694731.14718604,,,,,
1438,,322377.9218322415,4695712.0084533775,,,,,
444,,329299.7773549055,4692860.503782677,,traffic_signals,,,
1246,,325545.11797045113,4694739.792267951,,,,,
677,,325388.457280417,4693349.262508129,,,,,
356,,326661.68046998396,4692682.135094152,,,,,
378,,326685.9467087289,4692709.111831289,,,,,
795,,326076.2918757959,4693445.886044026,,,,,
74,,328117.50696338346,4691772.8026089845,,,,,
339,,326612.3780316069,4692627.7231444465,,traffic_signals,,,
1557,,324672.14168563846,4696416.947274624,,,,,
65,,327837.3951139602,4691654.510003966,,,,,
493,,325883.1508022242,4692948.586620359,,,,,
779,,326976.8136076791,4693476.246054276,,,,,
773,,326999.8364220661,4693416.776774309,,traffic_signals,,,
337,,327710.0820653198,4692620.78925545,,,,,
1128,,325975.0560086126,4694416.8553382745,,,,,
335,,328243.69096017047,4692622.194193849,,,,,
24,,326613.9538276702,4691342.096196831,,,,,
789,,326598.6406012294,4693496.364620723,,,,,
243,,326405.5711996118,4692354.005295738,,,,,
774,,326552.91652831185,4693419.942334545,,,,,
964,,325284.6915632162,4693765.058111537,,traffic_signals,,,
